"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Enshaei 2014",2014,"Time to wound healing",1,0,40,0,40,12,3.6,15.3,2.3,0,0,-3.3,-4.623883,-1.976117,0,32.583525,"1::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Maghsudi 2020",2020,"Time to wound healing",1,0,50,0,50,15.7,1.2,23,3.4,0,0,-7.3,-8.299389,-6.300611,0,34.149536,"1::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Galal 2012",2012,"Time to wound healing",1,0,60,0,60,14.1,2.9,19.1,3.7,0,0,-5,-6.189511,-3.810489,0,33.26694,"1::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Sakr 2006",2006,"Proportion of wounds healed",2,76,79,75,82,0,0,0,0,0,0.0253951722767218,1.051814,0.971606,1.138644,0.000644914774964384,63.708295,"2::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Abu 1999",1999,"Proportion of wounds healed",2,24,24,17,22,0,0,0,0,0,0,1.288,1.017384,1.630597,0,36.291705,"2::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sakr 2006",2006,"Recurrence rate",3,2,79,9,82,0,0,0,0,0,0,0.230661,0.051432,1.03447,0,21.940826,"3::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Enshaei 2014",2014,"Recurrence rate",3,0,40,1,40,0,0,0,0,0,0,0.333333,0.013984,7.945347,0,4.913498,"3::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Enshaei 2020",2020,"Recurrence rate",3,0,47,1,49,0,0,0,0,0,0,0.347222,0.014497,8.316307,0,4.898627,"3::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Abu 1999",1999,"Recurrence rate",3,0,24,2,22,0,0,0,0,0,0,0.184,0.009317,3.633767,0,5.552713,"3::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Akca 2005",2005,"Recurrence rate",3,0,100,11,100,0,0,0,0,0,0,0.043478,0.002597,0.727941,0,6.222553,"3::overall","CD015213_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
