"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"van Servellen 2005",2005,"HIV health literacy: understanding HIV terms (short-term: immediately post-intervention)",1,0,34,0,35,6.16,7.97,1.91,3.6,0,0,4.25,1.317546,7.182454,0,100,"1::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"van Servellen 2005",2005,"HIV health literacy: recognition of HIV terms (short-term: immediately post-intervention)",2,0,34,0,35,4.66,4.8,1.34,3.76,0,0,3.32,1.281658,5.358342,0,100,"2::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"van Servellen 2005",2005,"Health-related knowledge: HIV global disease/treatment knowledge, 0 to 100 (short-term: immediately post-intervention)",3,0,34,0,35,7.06,18.67,8.24,15.24,0,0,-1.18,-9.234464,6.874464,0,100,"3::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"van Servellen 2005",2005,"Health-related knowledge: HIV knowledge, risk of getting sicker (short-term: immediately post-intervention)",4,0,34,0,35,0.24,0.78,-0.09,0.67,0,0,0.33,-0.013524,0.673524,0,100,"4::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"van Servellen 2005",2005,"Health outcomes: subjective health status (short-term: immediately post-intervention)",5,0,34,0,35,0.47,1.21,0.09,0.95,0,0,0.38,-0.134271,0.894271,0,100,"5::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rosal 2011",2011,"Health behaviour: blood glucose self-monitoring 2 times per day (capped at 2), self-report (short-term: immediately post-intervention)",6,102,124,81,128,0,0,0,0,0,0,1.299881,1.112983,1.518163,0,100,"6::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Koniak-Griffin 2015",2015,"Health behaviour: physical activity, average daily steps (short-term: immediately post-intervention)",7,0,98,0,95,8769,2747,8480,3506,0,0,289,-601.414776,1179.414776,0,100,"7::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Koniak-Griffin 2015",2015,"Health behaviour: physical activity, average daily steps (short-term: three months post-intervention)",8,0,98,0,95,8577,2872,7241,2764,0,0,1336,540.860616,2131.139384,0,100,"8::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rosal 2011",2011,"Self-efficacy to manage one's disease (short-term: immediately post-intervention)",9,0,124,0,128,3.238,0.5,3.073,0.6,0,0,0.297442,0.049096,0.545788,0,75.589979,"9::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"van Servellen 2005",2005,"Self-efficacy to manage one's disease (short-term: immediately post-intervention)",9,0,41,0,40,0.12,0.95,-0.06,0.59,0,0,0.224832,-0.212193,0.661856,0,24.410021,"9::overall","CD013303_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
