"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Stralen 2013",2013,"Manual removal of the placenta (end of treatment)",1,24,48,28,51,0,0,0,0,0,0.192197231796829,0.910714,0.624861,1.327336,0.0369397759103641,38.95294,"1::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"van Beekhuizen 2006",2006,"Manual removal of the placenta (end of treatment)",1,11,24,22,26,0,0,0,0,0,0,0.541667,0.340313,0.862157,0,33.714842,"1::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"van Beekhuizen 2013",2013,"Manual removal of the placenta (end of treatment)",1,26,65,10,30,0,0,0,0,0,0.299572344757639,1.2,0.667091,2.158627,0.0897435897435897,27.332218,"1::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stralen 2013",2013,"PPH ? 1000 mL (end of treatment)",2,18,48,24,51,0,0,0,0,0,0.238287737308561,0.796875,0.499527,1.271221,0.0567810457516339,62.546415,"2::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"van Beekhuizen 2013",2013,"PPH ? 1000 mL (end of treatment)",2,19,65,11,30,0,0,0,0,0,0.428717061486664,0.797203,0.435969,1.457746,0.18379831880976,37.453585,"2::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stralen 2013",2013,"Adverse effects (shivering)",3,15,42,1,28,0,0,0,0,0,0,10,1.398827,71.488493,0,0,"3::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stralen 2013",2013,"Adverse effects (nausea)",4,6,42,1,51,0,0,0,0,0,0,7.285714,0.912724,58.157396,0,58.1014,"4::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"van Beekhuizen 2006",2006,"Adverse effects (nausea)",4,0,24,1,26,0,0,0,0,0,0,0.36,0.015365,8.434975,0,41.8986,"4::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stralen 2013",2013,"Adverse effects (vomiting)",5,3,42,0,32,0,0,0,0,0,0,5.372093,0.287352,100.432126,0,0,"5::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stralen 2013",2013,"Adverse effects (abdominal pain)",6,8,42,8,32,0,0,0,0,0,0,0.761905,0.320684,1.810188,0,79.439816,"6::overall","CD016147_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
