"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Abuel 2021","2021","Death in the delivery room",1,1,15,80,9,80,0,0,0,0,0,0.408248290463863,1.666667,0.774714,3.585553,0.166666666666667,94.437421,"1::1","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"El-Chimi 2017","2017","Death in the delivery room",1,1,0,57,0,55,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::1","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Jiravisitkul 2017","2017","Death in the delivery room",1,1,1,43,0,38,0,0,0,0,0,0,2.659091,0.11153,63.398029,0,5.562579,"1::1","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lindner 2005","2005","Death in the delivery room",1,1,0,31,0,30,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::1","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Mercadante 2016","2016","Death in the delivery room",1,1,0,93,0,92,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::1","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Schwaberger 2015","2015","Death in the delivery room",1,1,0,20,0,20,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::1","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Abd 2017","2017","Death during hospitalisation",2,NA,8,80,5,20,0,0,0,0,0,0.51234753829798,0.4,0.146538,1.09187,0.2625,6.006148,"2::overall","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Abuel 2021","2021","Death during hospitalisation",2,NA,36,80,46,80,0,0,0,0,0,0.156578760413283,0.782609,0.575791,1.063714,0.0245169082125603,34.535348,"2::overall","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"El-Chimi 2017","2017","Death during hospitalisation",2,NA,12,57,19,55,0,0,0,0,0,0.31660580293128,0.609418,0.327658,1.133472,0.100239234449761,14.519325,"2::overall","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Jiravisitkul 2017","2017","Death during hospitalisation",2,NA,2,43,2,38,0,0,0,0,0,0.974899172516229,0.883721,0.130761,5.972427,0.950428396572827,1.594224,"2::overall","CD004953_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
