"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Papi 2023",2023,"RSV-associated lower respiratory tract illness",1,1,30,12469,139,12498,0,0,0,0,0,0.200916252767051,0.216329,0.145913,0.320727,0.0403673406259537,50.744907,"1::1","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Walsh 2023",2023,"RSV-associated lower respiratory tract illness",1,1,11,17215,33,17069,0,0,0,0,0,0.347956885141967,0.330506,0.167098,0.653714,0.1210739939177,16.915898,"1::1","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Wilson 2023",2023,"RSV-associated lower respiratory tract illness",1,1,9,17572,55,17516,0,0,0,0,0,0,0.163115,0.080642,0.329935,0,15.857371,"1::1","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Falsey 2023",2023,"RSV-associated lower respiratory tract illness",1,2,10,2791,40,2801,0,0,0,0,0,0,0.250896,0.125722,0.500698,0,16.481823,"1::2","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Papi 2023",2023,"RSV-associated acute respiratory illness",2,NA,94,12469,292,12498,0,0,0,0,0,0.117909787952022,0.322667,0.256088,0.406555,0.0139027180948908,66.789931,"2::overall","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Walsh 2023",2023,"RSV-associated acute respiratory illness",2,NA,22,17215,58,17069,0,0,0,0,0,0,0.376093,0.230335,0.614089,0,14.838198,"2::overall","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Wilson 2023",2023,"RSV-associated acute respiratory illness",2,NA,26,17572,82,17516,0,0,0,0,0,0,0.316063,0.203427,0.491064,0,18.371872,"2::overall","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Papi 2023",2023,"Mortality from illness caused by RSV",3,NA,0,4991,0,10033,0,0,0,0,0,0,NA,NA,NA,0,NA,"3::overall","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Wilson 2023",2023,"Mortality from illness caused by RSV",3,NA,0,17734,0,17679,0,0,0,0,0,0,NA,NA,NA,0,NA,"3::overall","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Papi 2023",2023,"All-cause mortality&nbsp;",4,NA,71,4991,149,10033,0,0,0,0,0,0.139278105416463,0.957889,0.723526,1.268167,0.0193983906483995,97.33952,"4::overall","CD016131_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
