"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Patterson 2018",2018,"Severe maternal morbidity - composite excluding ICU admission",1,35,1065,5,1065,0,0,0,0,0,0,7,2.753094,17.798156,0,100,"1::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Patterson 2018",2018,"Severe maternal morbidity - ICU admission",2,36,1065,17,1065,0,0,0,0,0,0,2.117647,1.196994,3.746409,0,100,"2::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Patterson 2018",2018,"Breastfeeding",3,830,1065,858,1065,0,0,0,0,0,0,0.967366,0.926196,1.010366,0,100,"3::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ducloy-Bouthors 2021",2021,"Maternal death",1,0,220,0,210,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Wikkelso 2015",2015,"Maternal death",1,0,123,0,121,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Collins 2017",2017,"Severe maternal morbidity - ICU admission",2,2,28,2,27,0,0,0,0,0,0,0.964286,0.146067,6.365897,0,2.660139,"2::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ducloy-Bouthors 2021",2021,"Severe maternal morbidity - ICU admission",2,62,220,54,210,0,0,0,0,0,0,1.09596,0.802223,1.497249,0,97.339861,"2::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ducloy-Bouthors 2021",2021,"Severe maternal morbidity - arterial embolisation",3,6,220,10,210,0,0,0,0,0,0,0.572727,0.211899,1.547988,0,100,"3::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Ducloy-Bouthors 2021",2021,"Severe maternal morbidity - hysterectomy (randomised studies)",4,0,220,1,210,0,0,0,0,0,0,0.31825,0.013037,7.768884,0,100,"4::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Deleu 2022",2022,"Severe maternal morbidity - hysterectomy (non-randomised studies)",5,51,313,23,417,0,0,0,0,0,0,2.95416,1.84644,4.726426,0,100,"5::overall","CD016168_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
