"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Brennan 1997a Kidney",1997,"All symptomatic CMV disease",1,6,15,9,21,0,0,0,0,0,0,0.933333,0.422533,2.06164,0,28.83188,"1::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Koetz 2001 Kidney/liver",2001,"All symptomatic CMV disease",1,0,5,5,7,0,0,0,0,0,0,0.121212,0.00819,1.793914,0,9.940315,"1::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Paya 2002 Liver",2002,"All symptomatic CMV disease",1,0,35,5,34,0,0,0,0,0,0,0.088384,0.005075,1.539354,0,9.125431,"1::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Rayes 2001 Liver",2001,"All symptomatic CMV disease",1,3,30,6,30,0,0,0,0,0,0,0.5,0.137607,1.816768,0,22.229516,"1::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sagedal 2003 Kidney",2003,"All symptomatic CMV disease",1,2,42,11,38,0,0,0,0,0,0,0.164502,0.038924,0.69523,0,20.371892,"1::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"All symptomatic CMV disease",1,0,18,0,9,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Yang 1998 Kidney",1998,"All symptomatic CMV disease",1,0,15,7,16,0,0,0,0,0,0,0.070833,0.004394,1.141898,0,9.500965,"1::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Brennan 1997a Kidney",1997,"Death (any cause)",2,0,15,0,21,0,0,0,0,0,0,NA,NA,NA,0,NA,"2::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Rayes 2001 Liver",2001,"Death (any cause)",2,4,30,3,30,0,0,0,0,0,0,1.333333,0.325911,5.454795,0,79.05299,"2::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sagedal 2003 Kidney",2003,"Death (any cause)",2,1,42,1,38,0,0,0,0,0,0,0.904762,0.058605,13.968005,0,20.94701,"2::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Brennan 1997a Kidney",1997,"CMV organ involvement",3,0,15,1,21,0,0,0,0,0,0,0.458333,0.019934,10.538075,0,21.468553,"3::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Koetz 2001 Kidney/liver",2001,"CMV organ involvement",3,0,5,0,7,0,0,0,0,0,0,NA,NA,NA,0,NA,"3::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Rayes 2001 Liver",2001,"CMV organ involvement",3,3,30,1,30,0,0,0,0,0,0,3,0.330465,27.234348,0,31.163205,"3::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sagedal 2003 Kidney",2003,"CMV organ involvement",3,0,40,8,38,0,0,0,0,0,0,0.055954,0.003341,0.937113,0,24.347498,"3::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Yang 1998 Kidney",1998,"CMV organ involvement",3,0,15,2,16,0,0,0,0,0,0,0.2125,0.011027,4.09517,0,23.020744,"3::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Brennan 1997a Kidney",1997,"CMV-associated symptoms",4,6,15,8,21,0,0,0,0,0,0,1.05,0.45993,2.397102,0,36.152634,"4::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Koetz 2001 Kidney/liver",2001,"CMV-associated symptoms",4,0,5,5,7,0,0,0,0,0,0,0.121212,0.00819,1.793914,0,17.237252,"4::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Rayes 2001 Liver",2001,"CMV-associated symptoms",4,0,30,5,30,0,0,0,0,0,0,0.090909,0.005248,1.574659,0,16.118787,"4::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sagedal 2003 Kidney",2003,"CMV-associated symptoms",4,0,40,1,38,0,0,0,0,0,0,0.317073,0.013312,7.552045,0,14.106662,"4::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Yang 1998 Kidney",1998,"CMV-associated symptoms",4,0,15,5,16,0,0,0,0,0,0,0.096591,0.005795,1.609856,0,16.384666,"4::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Brennan 1997a Kidney",1997,"Acute rejection",5,3,15,4,21,0,0,0,0,0,0,1.05,0.2743,4.019316,0,17.479345,"5::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Paya 2002 Liver",2002,"Acute rejection",5,0,35,1,34,0,0,0,0,0,0,0.324074,0.013658,7.689287,0,3.140861,"5::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sagedal 2003 Kidney",2003,"Acute rejection",5,16,42,11,38,0,0,0,0,0,0,1.316017,0.700978,2.470694,0,79.379794,"5::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Paya 2002 Liver",2002,"Other infections",6,1,35,2,34,0,0,0,0,0,0,0.485714,0.046156,5.111375,0,18.775639,"6::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Other infections",6,6,18,3,9,0,0,0,0,0,0,1,0.322521,3.100569,0,81.224361,"6::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Brennan 1997a Kidney",1997,"Graft loss",7,0,15,2,21,0,0,0,0,0,0,0.275,0.014147,5.345761,0,100,"7::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Brennan 1997a Kidney",1997,"Adverse events",8,0,15,1,21,0,0,0,0,0,0,0.458333,0.019934,10.538075,0,48.104574,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sagedal 2003 Kidney",2003,"Adverse events",8,2,40,0,38,0,0,0,0,0,0,4.756098,0.235718,95.964218,0,51.895426,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Brennan 1997a Kidney",1997,"Adverse events",8,2,15,3,21,0,0,0,0,0,0,0.933333,0.177111,4.91844,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,14,18,6,9,0,0,0,0,0,0,1.166667,0.690961,1.969881,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,2,18,1,9,0,0,0,0,0,0,1,0.10402,9.61353,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,1,18,0,9,0,0,0,0,0,0,1.578947,0.070587,35.318972,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,1,18,0,9,0,0,0,0,0,0,1.578947,0.070587,35.318972,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,1,18,0,9,0,0,0,0,0,0,1.578947,0.070587,35.318972,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,3,18,0,9,0,0,0,0,0,0,3.684211,0.210454,64.495711,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,3,18,2,9,0,0,0,0,0,0,0.75,0.151376,3.715903,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,1,18,2,9,0,0,0,0,0,0,0.25,0.026005,2.403382,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,4,18,1,9,0,0,0,0,0,0,2,0.260059,15.381144,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,3,18,0,9,0,0,0,0,0,0,3.684211,0.210454,64.495711,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,2,18,0,9,0,0,0,0,0,0,2.631579,0.139367,49.690324,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,2,18,0,9,0,0,0,0,0,0,2.631579,0.139367,49.690324,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,1,18,0,9,0,0,0,0,0,0,1.578947,0.070587,35.318972,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stoelben 2014 Kidney/pancreas",2014,"Adverse events",8,3,18,2,9,0,0,0,0,0,0,0.75,0.151376,3.715903,0,100,"8::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Jarque 2020 Kidney",2017,"All symptomatic CMV disease",1,8,76,1,84,0,0,0,0,0,0,8.842105,1.131966,69.068172,0,7.339792,"1::overall","CD005133_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
