"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","CD016211_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","CD016211_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","CD016211_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","CD016211_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Subramaniam 2021",2021,"Maternal sepsis: subgroup analysis (polypharmacy vs monopharmacy)",2,1,8,253,3,125,0,0,0,0,0,0.669594689904537,1.317523,0.355677,4.88046,0.448357048748353,1.532506,"2::1","CD016211_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Oluwalana 2017",2017,"Maternal sepsis: subgroup analysis (polypharmacy vs monopharmacy)",2,2,4,414,5,415,0,0,0,0,0,0,0.801932,0.216872,2.96532,0,1.536657,"2::2","CD016211_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Roca 2023",2023,"Maternal sepsis: subgroup analysis (polypharmacy vs monopharmacy)",2,2,8,5802,13,5823,0,0,0,0,0,0.448977792877733,0.617612,0.256181,1.488964,0.201581058497361,3.393614,"2::2","CD016211_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Subramaniam 2021",2021,"Maternal sepsis: subgroup analysis (polypharmacy vs monopharmacy)",2,2,3,253,2,125,0,0,0,0,0,0.908504685823564,0.741107,0.12544,4.378499,0.825380764163373,0.832843,"2::2","CD016211_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Tita 2023",2023,"Maternal sepsis: subgroup analysis (polypharmacy vs monopharmacy)",2,2,219,14558,339,14662,0,0,0,0,0,0,0.650633,0.549814,0.769938,0,92.70438,"2::2","CD016211_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Oluwalana 2017",2017,"Maternal mortality",3,NA,0,414,0,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3::overall","CD016211_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,FALSE
