"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"ANBP 1980",1980,"All-Cause Mortality",1,NA,17,958,13,874,0,0,0,0,0,0.365456700908602,1.19303,0.582873,2.441905,0.133558600238999,14.021249,"1::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"MRC 1985",1985,"All-Cause Mortality",1,NA,58,3012,77,3049,0,0,0,0,0,0.171954676003802,0.7625,0.544342,1.06809,0.0295684105995725,78.923205,"1::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"PREVEND IT 2004",2004,"All-Cause Mortality",1,NA,6,112,6,100,0,0,0,0,0,0.560718077026915,0.892857,0.297507,2.679576,0.314404761904762,6.537877,"1::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"SHEP 1991",1991,"All-Cause Mortality",1,NA,0,3,0,4,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"VA-NHLBI 1978",1978,"All-Cause Mortality",1,NA,2,508,0,504,0,0,0,0,0,1.54791962499283,4.960707,0.238755,103.070688,2.39605516543796,0.51767,"1::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"MRC 1985",1985,"Total cardiovascular events",2,NA,73,3012,79,3049,0,0,0,0,0,0,0.935402,0.683201,1.280702,0,85.354338,"2::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"PREVEND IT 2004",2004,"Total cardiovascular events",2,NA,4,112,8,100,0,0,0,0,0,0.611496992166414,0.446429,0.13862,1.437734,0.373928571428571,9.188825,"2::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"SHEP 1991",1991,"Total cardiovascular events",2,NA,0,3,0,4,0,0,0,0,0,0,NA,NA,NA,0,NA,"2::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"VA-NHLBI 1978",1978,"Total cardiovascular events",2,NA,8,508,5,504,0,0,0,0,0,0,1.587402,0.522862,4.819328,0,5.456838,"2::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"MRC 1985",1985,"Stroke",3,NA,10,3012,20,3049,0,0,0,0,0,0,0.506142,0.237317,1.079482,0,77.387141,"3::overall","CD006742_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
