"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Albano 2000","2000","Live birth or ongoing pregnancy",1,1,42,188,21,85,0,0,0,0,0,0,0.904255,0.572611,1.427982,0,6.773571,"1::1","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Garcia-Velasco 2011","2011","Live birth or ongoing pregnancy",1,1,51,115,53,113,0,0,0,0,0,0,0.945529,0.712079,1.255514,0,17.587099,"1::1","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Huirne 2006","2006","Live birth or ongoing pregnancy",1,1,17,91,17,91,0,0,0,0,0,0,1,0.545406,1.833497,0,3.847721,"1::1","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lin 2006","2006","Live birth or ongoing pregnancy",1,1,22,60,21,60,0,0,0,0,0,0,1.047619,0.648865,1.691424,0,6.161804,"1::1","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lobo 2024","2024/07/01","Live birth or ongoing pregnancy",1,1,59,216,71,221,0,0,0,0,0,0,0.850222,0.636247,1.136157,0,16.824599,"1::1","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Papanikolaou 2012","2012","Live birth or ongoing pregnancy",1,1,27,96,23,94,0,0,0,0,0,0,1.149457,0.71274,1.853761,0,6.190813,"1::1","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"The European and Middle East Ogalutran Group 2001","2001","Live birth or ongoing pregnancy",1,1,70,226,37,111,0,0,0,0,0,0,0.929204,0.669863,1.28895,0,13.203788,"1::1","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Toftager 2016","2016","Live birth or ongoing pregnancy",1,1,122,534,123,516,0,0,0,0,0,0,0.958436,0.769723,1.193416,0,29.410604,"1::1","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Basly 2012","2012","Live birth or ongoing pregnancy",1,2,52,110,56,110,0,0,0,0,0,0,0.928571,0.709211,1.21578,0,55.522058,"1::2","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Haydardedeoglu 2012","2012","Live birth or ongoing pregnancy",1,2,47,150,51,150,0,0,0,0,0,0,0.921569,0.665642,1.275894,0,38.100295,"1::2","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Hwang 2004","2004","Live birth or ongoing pregnancy",1,2,9,27,8,29,0,0,0,0,0,0,1.208333,0.545576,2.676196,0,6.377647,"1::2","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Cheung 2005","2005","Live birth or ongoing pregnancy",1,3,3,33,2,33,0,0,0,0,0,0,1.5,0.26782,8.401159,0,2.501671,"1::3","CD012586_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
