"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Emadedin 2018",2018,"Mean overall pain (0 to 10, 0 is no pain)",1,1,0,18,0,23,-2.38,3.095,-1.68,3.486,0,1.02898316207122,-0.7,-2.718406,1.318406,1.05880634782609,7.412829,"1::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Khalifeh Soltani 2019",2019,"Mean overall pain (0 to 10, 0 is no pain)",1,1,0,10,0,10,4.1,2.4,4.7,1.8,0,0,-0.6,-2.459385,1.259385,0,8.498219,"1::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kim 2023",2023,"Mean overall pain (0 to 10, 0 is no pain)",1,1,0,125,0,127,-2.22,2.46,-1.32,2.37,0,0.304368787912161,-0.9,-1.496552,-0.303448,0.0926403590551181,32.242034,"1::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kuah 2018",2018,"Mean overall pain (0 to 10, 0 is no pain)",1,1,0,16,0,4,-2.09,2.8,-0.408,3.5,0,1.88480768249708,-1.682,-5.376155,2.012155,3.5525,2.48526,"1::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Lee 2019",2019,"Mean overall pain (0 to 10, 0 is no pain)",1,1,0,12,0,12,5.03,1.5,5.93,1.5,0,0.633113997107419,-0.9,-2.100228,0.300228,0.400833333333333,16.307386,"1::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Sadri 2023",2023,"Mean overall pain (0 to 10, 0 is no pain)",1,1,0,18,0,18,3.75,1.58,6.1,1.48,0,0.498205669266106,-2.35,-3.350115,-1.349885,0.248208888888889,20.400184,"1::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Shapiro 2017",2017,"Mean overall pain (0 to 10, 0 is no pain)",1,1,0,25,0,25,0.9,2.98,1,2.149,0,0.734925846599506,-0.1,-1.540199,1.340199,0.540116,12.654089,"1::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Emadedin 2018",2018,"Mean overall pain (0 to 10, 0 is no pain)",1,2,0,19,0,24,-2.08,3.046,-1.57,3.936,0,1.06388880750614,-0.51,-2.596994,1.576994,1.13185939473684,13.076974,"1::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Khalifeh Soltani 2019",2019,"Mean overall pain (0 to 10, 0 is no pain)",1,2,0,10,0,10,4.6,3.3,3.8,3,0,0,0.8,-1.964175,3.564175,0,10.243587,"1::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kim 2023",2023,"Mean overall pain (0 to 10, 0 is no pain)",1,2,0,125,0,127,-2.52,2.46,-1.55,2.37,0,0.304368787912161,-0.97,-1.566552,-0.373448,0.0926403590551181,19.716968,"1::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kuah 2018",2018,"Mean overall pain (0 to 10, 0 is no pain)",1,2,0,16,0,4,-2.67,2.06,-1.124,3.9,0,2.01686018355264,-1.546,-5.498973,2.406973,4.067725,6.709744,"1::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Lee 2019",2019,"Mean overall pain (0 to 10, 0 is no pain)",1,2,0,12,0,12,3.4,1.5,5.75,1.5,0,0.633113997107419,-2.35,-3.550228,-1.149772,0.400833333333333,17.330546,"1::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Sadri 2023",2023,"Mean overall pain (0 to 10, 0 is no pain)",1,2,0,18,0,18,3.15,1.87,7,1.85,0,0.604480952737323,-3.85,-5.065195,-2.634805,0.365397222222222,17.260914,"1::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Shapiro 2017",2017,"Mean overall pain (0 to 10, 0 is no pain)",1,2,0,25,0,25,1.5,3.019,0.8,2.545,0,0.789074419810958,0.7,-0.84782,2.24782,0.62263844,15.661266,"1::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kuah 2018",2018,"Mean overall pain (0 to 10, 0 is no pain)",1,3,0,16,0,4,-1.98,3.1,-0.757,3.5,0,1.91392920454232,-1.223,-4.974232,2.528232,3.663125,27.106339,"1::3","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sadri 2023",2023,"Mean overall pain (0 to 10, 0 is no pain)",1,3,0,18,0,18,3.25,1.58,7.47,1.54,0,0,-4.22,-5.239265,-3.200735,0,37.00789,"1::3","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Shapiro 2017",2017,"Mean overall pain (0 to 10, 0 is no pain)",1,3,0,25,0,25,1.2,2.843,0.7,2.437,0,0.715305501167159,0.5,-0.967835,1.967835,0.51166196,35.885772,"1::3","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Emadedin 2018",2018,"Mean overall pain by cell origin (0 to 10, 0 is no pain)",2,1,0,19,0,24,-2.08,3.046,-1.57,3.936,0,1.06388880750614,-0.51,-2.596994,1.576994,1.13185939473684,16.427187,"2::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kim 2023",2023,"Mean overall pain by cell origin (0 to 10, 0 is no pain)",2,1,0,125,0,127,-2.52,2.46,-1.55,2.37,0,0.304368787912161,-0.97,-1.566552,-0.373448,0.0926403590551181,34.745848,"2::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Lee 2019",2019,"Mean overall pain by cell origin (0 to 10, 0 is no pain)",2,1,0,12,0,12,3.4,1.5,5.75,1.5,0,0.633113997107419,-2.35,-3.550228,-1.149772,0.400833333333333,26.677992,"2::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Shapiro 2017",2017,"Mean overall pain by cell origin (0 to 10, 0 is no pain)",2,1,0,25,0,25,1.5,3.019,0.8,2.545,0,0.789074419810958,0.7,-0.84782,2.24782,0.62263844,22.148973,"2::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Khalifeh Soltani 2019",2019,"Mean overall pain by cell origin (0 to 10, 0 is no pain)",2,2,0,10,0,10,4.6,3.3,3.8,3,0,0,0.8,-1.964175,3.564175,0,32.880139,"2::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kuah 2018",2018,"Mean overall pain by cell origin (0 to 10, 0 is no pain)",2,2,0,16,0,4,-2.67,2.06,-1.124,3.9,0,2.01686018355264,-1.546,-5.498973,2.406973,4.067725,26.219473,"2::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Sadri 2023",2023,"Mean overall pain by cell origin (0 to 10, 0 is no pain)",2,2,0,18,0,18,3.15,1.87,7,1.85,0,0.604480952737323,-3.85,-5.065195,-2.634805,0.365397222222222,40.900388,"2::2","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Emadedin 2018",2018,"Mean function (0 to 100, 0 is best function)",3,1,0,18,0,23,-23.53,28.33,-10,15.83,0,0,-13.53,-28.129225,1.069225,0,11.513612,"3::1","CD013342_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
