"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Bretherton 2024",NA,"Activity limitation (using OMAS; at the end of treatment)",1,0,236,0,234,47,21.3,39.1,22.2,0,0,7.9,3.966098,11.833902,0,26.103119,"1::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Dehghan 2016",2016,"Activity limitation (using OMAS; at the end of treatment)",1,0,56,0,54,45,22,30,17,0,0,15,7.667872,22.332128,0,17.575474,"1::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Park 2021",2021,"Activity limitation (using OMAS; at the end of treatment)",1,0,95,0,99,47,12.5,43.3,7.8,0,1.52339648224133,3.7,0.753996,6.646004,2.32073684210526,28.563514,"1::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Schubert 2020",2020,"Activity limitation (using OMAS; at the end of treatment)",1,0,24,0,24,36,19,27,13,0,0,9,-0.210441,18.210441,0,13.892057,"1::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Smeeing 2020",2020,"Activity limitation (using OMAS; at the end of treatment)",1,0,42,0,37,61.2,19,45.8,22.4,0,0,15.4,6.174352,24.625648,0,13.865836,"1::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Bretherton 2024",NA,"Activity limitation (using OMAS; short-term follow-up,  ? 6 months)",2,0,243,0,237,65.9,22.1,61.2,22.9,0,0,4.7,0.672468,8.727532,0,30.33634,"2::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Dehghan 2016",2016,"Activity limitation (using OMAS; short-term follow-up,  ? 6 months)",2,0,46,0,46,77,18,73,20,0,0,4,-3.775681,11.775681,0,8.138873,"2::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Park 2021",2021,"Activity limitation (using OMAS; short-term follow-up,  ? 6 months)",2,0,95,0,99,72.8,11,70.1,11.5,0,1.65623931090008,2.7,-0.466141,5.866141,2.74312865497076,49.088591,"2::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Schubert 2020",2020,"Activity limitation (using OMAS; short-term follow-up,  ? 6 months)",2,0,24,0,21,84,16,81,17,0,0,3,-6.687175,12.687175,0,5.24381,"2::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Smeeing 2020",2020,"Activity limitation (using OMAS; short-term follow-up,  ? 6 months)",2,0,42,0,37,85.5,19.5,80.9,18,0,0,4.6,-3.671496,12.871496,0,7.192387,"2::overall","CD005595_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
