"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Leventhal 2015",2015,"Mental well-being at study endpoint: children",1,0,1681,0,706,-0.99,7.01,-0.05,7.46,0,0,-0.131501,-0.21948,-0.043522,0,36.718336,"1::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Diab 2015",2015,"Mental well-being at study endpoint: children",1,0,242,0,240,-34.98,9.66,-36.66,8.86,0,0,0.180941,0.002023,0.359858,0,31.50994,"1::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Afifi 2010",2010,"Mental well-being at study endpoint: children",1,0,280,0,229,33.25,8.29,31.87,8.11,0,0,0.167848,-0.007085,0.342781,0,31.771725,"1::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Afifi 2010",2010,"Mental well-being at follow-up: children",2,0,140,0,118,30.99,6.76,31.69,6.98,0,0,-0.7,-2.385223,0.985223,0,0,"2::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Dybdahl 2001",2001,"Mental well-being at study endpoint: adults",3,0,35,0,40,-4.6,1.3,-4,1.3,0,0,-0.45678,-0.916598,0.003037,0,10.917352,"3::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Miller 2020",2020,"Mental well-being at study endpoint: adults",3,0,78,0,73,-52.44,7.59,-49.24,8.56,0,0,-0.39437,-0.716711,-0.07203,0,22.215598,"3::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Miller 2023",2023,"Mental well-being at study endpoint: adults",3,0,226,0,222,-48.93,8.83,-46.96,8.65,0,0,-0.224989,-0.410785,-0.039192,0,66.86705,"3::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Miller 2023",2023,"Mental well-being at follow-up: adults",4,0,223,0,218,-46.12,8.6,-45.68,8.83,0,0,-0.44,-2.06726,1.18726,0,0,"4::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Berger 2018",2018,"Functioning at study endpoint: children",5,0,95,0,88,14.98,5.3,17.16,6.22,0,0,-2.18,-3.860691,-0.499309,0,0,"5::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Berger 2018",2018,"Functioning at follow-up: children",6,0,95,0,88,14.64,5.05,17.97,6.55,0,0,-3.33,-5.034127,-1.625873,0,0,"6::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Leventhal 2015",2015,"Resilience at study endpoint: children",7,0,1681,0,706,-4.79,11.09,-1.25,11.79,0,0,-0.313136,-0.401484,-0.224788,0,52.378115,"7::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Panter-Brick 2018",2018,"Resilience at study endpoint: children",7,0,187,0,200,-50.11,6.28,-50.74,5.66,0,0,0.105365,-0.094149,0.304878,0,47.621885,"7::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Panter-Brick 2018",2018,"Resilience at follow-up: children",8,0,159,0,140,-51.07,6.14,-51.14,6.69,0,0,0.07,-1.392494,1.532494,0,0,"8::overall","CD014300_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
