"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Alexander 2022",2022,"Number of continent women (objective measure as reported by the trialists), short term (< 1 year)",1,NA,16,49,11,48,0,0,0,0,0,0,1.424861,0.739082,2.746958,0,31.295852,"1::overall","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Salvatore 2021",2021,"Number of continent women (objective measure as reported by the trialists), short term (< 1 year)",1,NA,13,14,8,9,0,0,0,0,0,0,1.044643,0.79517,1.372384,0,39.622321,"1::overall","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Seki 2022",2022,"Number of continent women (objective measure as reported by the trialists), short term (< 1 year)",1,NA,18,38,7,38,0,0,0,0,0,0,2.571429,1.216675,5.434683,0,29.081827,"1::overall","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Seki 2022",2022,"Number of continent women (objective measure as reported by the trialists), medium term (1 to 5 years)",2,NA,23,38,8,38,0,0,0,0,0,0,2.875,1.475437,5.602153,0,100,"2::overall","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Aguiar 2020",2020,"Improvement in patient-reported incontinence, short term (< 1 year)",3,1,0,24,0,24,-3.14,5.12,-0.18,2.6,0,0,-2.96,-5.25737,-0.66263,0,10.71257,"3::1","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Alexander 2022",2022,"Improvement in patient-reported incontinence, short term (< 1 year)",3,1,0,46,0,43,-2.52,2.82,-2.73,2.68,0,0.21213161394209,0.21,-0.932696,1.352696,0.0449998216336758,18.963392,"3::1","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Seki 2022",2022,"Improvement in patient-reported incontinence, short term (< 1 year)",3,1,0,38,0,38,-3.75,9.62,-2.08,8.21,0,0,-1.67,-5.691114,2.351114,0,4.884892,"3::1","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Blaganje 2018",2018,"Improvement in patient-reported incontinence, short term (< 1 year)",3,2,0,56,0,56,-3.86,4.48,-1.05,3.58,0,0,-2.81,-4.311983,-1.308017,0,16.013089,"3::2","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Edell 2023",2023,"Improvement in patient-reported incontinence, short term (< 1 year)",3,2,0,67,0,58,-2.91,3.64,-2.05,3.88,0,0,-0.86,-2.185425,0.465425,0,17.438426,"3::2","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"O'Reilly 2024",42017,"Improvement in patient-reported incontinence, short term (< 1 year)",3,2,0,55,0,33,8.8,4.7,10.8,4.6,0,1.45702128207976,-2,-4.001514,0.001514,2.12291101643335,12.446529,"3::2","CD013643_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
