"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Belizan 1991",1991,"Preterm birth < 37 weeks' gestation",1,34,544,38,554,0,0,0,0,0,0,0.911184,0.582566,1.425172,0,12.285706,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Boggess 1997",1997,"Preterm birth < 37 weeks' gestation",1,0,12,3,11,0,0,0,0,0,0,0.131868,0.007571,2.29669,0,0.537664,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Crowther 1999",1999,"Preterm birth < 37 weeks' gestation",1,10,227,23,229,0,0,0,0,0,0,0.438613,0.213634,0.900519,0,6.567411,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kumar 2009",2009,"Preterm birth < 37 weeks' gestation",1,19,273,32,251,0,0,0,0,0,0,0.545902,0.317755,0.937857,0,9.793259,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Levine 1997",1997,"Preterm birth < 37 weeks' gestation",1,248,2295,229,2294,0,0,0,0,0,0,1.082498,0.913221,1.283151,0,23.161373,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lopez-Jaramillo 1989",1989,"Preterm birth < 37 weeks' gestation",1,0,49,0,43,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Purwar 1996",1996,"Preterm birth < 37 weeks' gestation",1,2,97,6,93,0,0,0,0,0,0,0.319588,0.066169,1.54357,0,1.693461,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sanchez-Ramos 1994",1994,"Preterm birth < 37 weeks' gestation",1,5,29,8,34,0,0,0,0,0,0,0.732759,0.26916,1.994858,0,3.835973,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sanchez-Ramos 1995",1995,"Preterm birth < 37 weeks' gestation",1,18,36,19,39,0,0,0,0,0,0,1.026316,0.64875,1.623621,0,11.947753,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Villar 1990",1990,"Preterm birth < 37 weeks' gestation",1,7,94,20,95,0,0,0,0,0,0,0.353723,0.157022,0.79683,0,5.434982,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Villar 2006",2006,"Preterm birth < 37 weeks' gestation",1,398,4038,436,4042,0,0,0,0,0,0,0.913748,0.803411,1.039239,0,24.742417,"1::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Belizan 1991",1991,"Preterm birth < 37 weeks' gestation by dose of calcium",2,34,544,38,554,0,0,0,0,0,0,0.911184,0.582566,1.425172,0,12.285706,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Boggess 1997",1997,"Preterm birth < 37 weeks' gestation by dose of calcium",2,0,12,3,11,0,0,0,0,0,0,0.131868,0.007571,2.29669,0,0.537664,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Crowther 1999",1999,"Preterm birth < 37 weeks' gestation by dose of calcium",2,10,227,23,229,0,0,0,0,0,0,0.438613,0.213634,0.900519,0,6.567411,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kumar 2009",2009,"Preterm birth < 37 weeks' gestation by dose of calcium",2,19,273,32,251,0,0,0,0,0,0,0.545902,0.317755,0.937857,0,9.793259,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Levine 1997",1997,"Preterm birth < 37 weeks' gestation by dose of calcium",2,248,2295,229,2294,0,0,0,0,0,0,1.082498,0.913221,1.283151,0,23.161373,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lopez-Jaramillo 1989",1989,"Preterm birth < 37 weeks' gestation by dose of calcium",2,0,49,0,43,0,0,0,0,0,0,NA,NA,NA,0,NA,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Purwar 1996",1996,"Preterm birth < 37 weeks' gestation by dose of calcium",2,2,97,6,93,0,0,0,0,0,0,0.319588,0.066169,1.54357,0,1.693461,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sanchez-Ramos 1994",1994,"Preterm birth < 37 weeks' gestation by dose of calcium",2,5,29,8,34,0,0,0,0,0,0,0.732759,0.26916,1.994858,0,3.835973,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sanchez-Ramos 1995",1995,"Preterm birth < 37 weeks' gestation by dose of calcium",2,18,36,19,39,0,0,0,0,0,0,1.026316,0.64875,1.623621,0,11.947753,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Villar 1990",1990,"Preterm birth < 37 weeks' gestation by dose of calcium",2,7,94,20,95,0,0,0,0,0,0,0.353723,0.157022,0.79683,0,5.434982,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Villar 2006",2006,"Preterm birth < 37 weeks' gestation by dose of calcium",2,398,4038,436,4042,0,0,0,0,0,0,0.913748,0.803411,1.039239,0,24.742417,"2::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kumar 2009",2009,"Preterm birth < 37 weeks' gestation by started to take calcium",3,19,273,32,251,0,0,0,0,0,0,0.545902,0.317755,0.937857,0,9.808553,"3::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Levine 1997",1997,"Preterm birth < 37 weeks' gestation by started to take calcium",3,248,2295,229,2294,0,0,0,0,0,0,1.082498,0.913221,1.283151,0,23.133937,"3::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sanchez-Ramos 1994",1994,"Preterm birth < 37 weeks' gestation by started to take calcium",3,5,29,8,34,0,0,0,0,0,0,0.732759,0.26916,1.994858,0,3.846676,"3::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Villar 2006",2006,"Preterm birth < 37 weeks' gestation by started to take calcium",3,393,4008,433,4006,0,0,0,0,0,0,0.907168,0.797106,1.032428,0,24.682279,"3::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Belizan 1991",1991,"Preterm birth < 37 weeks' gestation by started to take calcium",3,34,544,38,554,0,0,0,0,0,0,0.911184,0.582566,1.425172,0,12.298588,"3::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Boggess 1997",1997,"Preterm birth < 37 weeks' gestation by started to take calcium",3,0,12,3,11,0,0,0,0,0,0,0.131868,0.007571,2.29669,0,0.539531,"3::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Crowther 1999",1999,"Preterm birth < 37 weeks' gestation by started to take calcium",3,10,227,23,229,0,0,0,0,0,0,0.438613,0.213634,0.900519,0,6.582035,"3::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Lopez-Jaramillo 1989",1989,"Preterm birth < 37 weeks' gestation by started to take calcium",3,0,49,0,43,0,0,0,0,0,0,NA,NA,NA,0,NA,"3::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Purwar 1996",1996,"Preterm birth < 37 weeks' gestation by started to take calcium",3,2,97,6,93,0,0,0,0,0,0,0.319588,0.066169,1.54357,0,1.698936,"3::overall","CD007079_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
