"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Jiang 2017",2017,"Secondary patency",1,1,27,1,39,0,0,0,0,0,0,1.444444,0.094391,22.103895,0,10.288088,"1::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Meng 2013",2013,"Secondary patency",1,6,41,12,27,0,0,0,0,0,0,0.329268,0.140578,0.77123,0,89.711912,"1::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Jiang 2017",2017,"Post-thrombotic syndrome",1,0,27,0,39,1.07,0.31,1.96,0.32,0,0,-0.89,-1.04414,-0.73586,0,49.992249,"1::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Meng 2013",2013,"Post-thrombotic syndrome",1,0,40,0,27,1.04,0.19,6.56,0.23,0,0,-5.52,-5.624849,-5.415151,0,50.007751,"1::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Jiang 2017",2017,"Secondary patency",2,4,27,14,39,0,0,0,0,0,0,0.412698,0.152282,1.118454,0,45.207402,"2::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Meng 2013",2013,"Secondary patency",2,5,40,19,27,0,0,0,0,0,0,0.177632,0.075494,0.417956,0,54.792598,"2::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Jiang 2017",2017,"Quality of life",3,0,27,0,39,93.11,1.28,88.56,1.4,0,0,4.55,3.897188,5.202812,0,50.598513,"3::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Meng 2013",2013,"Quality of life",3,0,40,0,27,77.33,3.01,60.66,6.66,0,0,16.67,13.990289,19.349711,0,49.401487,"3::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Meng 2013",2013,"Adverse events",4,1,40,1,27,0,0,0,0,0,0,0.675,0.04409,10.333983,0,100,"4::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Jiang 2017",2017,"Secondary patency",1,7,27,21,39,0,0,0,0,0,0,0.481481,0.238938,0.970229,0,100,"1::overall","CD011468_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
