"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Barber 2014",2014,"Awareness of prolapse ",1,NA,31,151,30,154,0,0,0,0,0,0,1.067778,0.609186,1.871595,0,100,"1::overall","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Barber 2014",2014,"Repeat surgery for recurrent prolapse",2,1,4,152,5,164,0,0,0,0,0,0,0.859459,0.226467,3.26172,0,100,"2::1","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Barber 2014",2014,"Objective failure at any site ",3,NA,26,149,23,158,0,0,0,0,0,0.312213529558416,1.240721,0.672849,2.287867,0.0974772880393241,100,"3::overall","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Barber 2014",2014,"POP-Q assessment ",4,1,21,149,24,159,0,0,0,0,0,0,0.922852,0.489735,1.739012,0,50.620747,"4::1","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Barber 2014",2014,"POP-Q assessment ",4,2,7,149,11,159,0,0,0,0,0,0,0.663252,0.250124,1.758741,0,25.738804,"4::2","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Barber 2014",2014,"POP-Q assessment ",4,3,6,149,10,158,0,0,0,0,0,0,0.620979,0.219952,1.753175,0,23.640449,"4::3","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"McClurg 2014",2014,"Adverse events ",5,1,0,13,0,14,31.1,23.2,29.4,17.7,0,0,1.7,-13.952854,17.352854,0,4.551853,"5::1","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Pauls 2013",2013,"Adverse events ",5,1,0,24,0,25,35.5,6.2,36.4,6,0,0,-0.9,-4.318251,2.518251,0,95.448147,"5::1","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Barber 2014",2014,"Patient-reported outcome measures ",6,2,0,184,0,185,45,67.5,43.1,63.6,0,0,1.9,-11.483394,15.283394,0,13.20123,"6::2","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Duarte 2020",2020,"Patient-reported outcome measures ",6,2,0,46,0,48,27,27,33,33,0,0,-6,-18.166835,6.166835,0,15.973191,"6::2","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Pauls 2013",2013,"Patient-reported outcome measures ",6,2,0,24,0,25,11.4,10.7,16.2,9.9,0,0,-4.8,-10.578011,0.978011,0,70.825579,"6::2","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Duarte 2020",2020,"Patient-reported outcome measures ",6,3,0,46,0,48,11,15,17,21,0,0,-6,-13.354124,1.354124,0,19.808189,"6::3","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Mathew 2021",2021,"Patient-reported outcome measures ",6,3,0,73,0,73,16.3,2.3,17.4,2.2,0,0,-1.1,-1.830115,-0.369885,0,44.739379,"6::3","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Pauls 2013",2013,"Patient-reported outcome measures ",6,3,0,24,0,25,8.3,5.8,4.2,6.4,0,0,4.1,0.682649,7.517351,0,35.452433,"6::3","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Duarte 2020",2020,"Patient-reported outcome measures ",6,4,0,46,0,48,6,9,6,13,0,0,0,-4.504381,4.504381,0,7.379487,"6::4","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Pauls 2013",2013,"Patient-reported outcome measures ",6,4,0,24,0,25,0,1.9,0,2.6,0,0,0,-1.271436,1.271436,0,92.620513,"6::4","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Duarte 2020",2020,"Patient-reported outcome measures ",6,5,0,46,0,48,11,14,11,20,0,0,0,-6.955581,6.955581,0,25.687128,"6::5","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Mathew 2021",2021,"Patient-reported outcome measures ",6,5,0,73,0,75,14.6,1.6,13.1,1.6,0,0,1.5,0.984407,2.015593,0,37.804099,"6::5","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Pauls 2013",2013,"Patient-reported outcome measures ",6,5,0,24,0,25,0,3.8,6.2,3.2,0,0,-6.2,-8.170974,-4.229026,0,36.508773,"6::5","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"McClurg 2014",2014,"Patient-reported outcome measures ",6,10,0,14,0,13,31.07,23.19,29.38,17.76,0,0,1.69,-13.826612,17.206612,0,100,"6::10","CD013105_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
