"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"An 2020",2020,"Mortality during follow-up (for all studies)",1,NA,1,32,3,34,0,0,0,0,0,0,0.354167,0.03881,3.232001,0,0.878549,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Blauenfeldt 2023",2023,"Mortality during follow-up (for all studies)",1,NA,38,436,47,466,0,0,0,0,0,0,0.864142,0.575126,1.298397,0,25.233236,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Chen 2022",2022,"Mortality during follow-up (for all studies)",1,NA,7,863,10,913,0,0,0,0,0,0,0.740556,0.28316,1.936794,0,4.628393,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"England 2017",2017,"Mortality during follow-up (for all studies)",1,NA,0,13,0,13,0,0,0,0,0,0,NA,NA,NA,0,NA,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"England 2019",2019,"Mortality during follow-up (for all studies)",1,NA,2,31,4,29,0,0,0,0,0,0,0.467742,0.092557,2.36377,0,1.635099,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Guo 2025",2025,"Mortality during follow-up (for all studies)",1,NA,11,268,5,264,0,0,0,0,0,0,2.167164,0.763414,6.152104,0,3.932534,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"He 2020",2020,"Mortality during follow-up (for all studies)",1,NA,0,24,1,25,0,0,0,0,0,0,0.346667,0.014808,8.115524,0,0.432207,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"He 2022",2022,"Mortality during follow-up (for all studies)",1,NA,0,63,1,63,0,0,0,0,0,0,0.333333,0.013837,8.030017,0,0.424468,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Hou 2022",2022,"Mortality during follow-up (for all studies)",1,NA,79,1517,84,1516,0,0,0,0,0,0.163908868237006,0.939856,0.697087,1.267173,0.0268661170867361,45.784912,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Hougaard 2014",2014,"Mortality during follow-up (for all studies)",1,NA,5,133,1,91,0,0,0,0,0,0,3.421053,0.406381,28.799554,0,0.94628,"1::overall","CD012503_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
