"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Dalakas 1993",1993,"Improvement in function or disability (assessed with change in NSS, ADL and HAQ) ",1,1,0,8,0,7,7.3,6.157493022,-0.2,6.157493022,0,3.1868053997798,7.5,1.253976,13.746024,10.1557286560657,100,"1::1","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"NCT00335985",2006,"Improvement in function or disability (assessed with change in NSS, ADL and HAQ) ",1,2,0,12,0,14,7.3,6.6,4,5.8,0,0,3.3,-1.514039,8.114039,0,100,"1::2","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ProDERM",2017,"Improvement in function or disability (assessed with change in NSS, ADL and HAQ) ",1,3,0,47,0,48,0.6,0.51088,0.16,0.344389,0,0.101284087161097,0.44,0.264432,0.615568,0.0102584663120567,100,"1::3","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Dalakas 1993",1993,"Improvement in function or disability (SMD)",2,1,0,8,0,7,7.3,6.16,-0.2,6.16,0,0.572051358653101,1.145913,0.024751,2.267075,0.327242756936858,9.9632,"2::1","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"NCT00335985",2006,"Improvement in function or disability (SMD)",2,2,0,12,0,14,7.3,6.6,4,5.8,0,0,0.517157,-0.268844,1.303158,0,20.271644,"2::2","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ProDERM",2017,"Improvement in function or disability (SMD)",2,3,0,47,0,48,0.6,0.51,0.2,0.34,0,0.218405266022095,0.917336,0.493645,1.341026,0.047700860226182,69.765156,"2::3","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ISRCTN87782942",2006,"Improvement of muscle strength (assessed with achievement of meaningful improvement in muscle strength defined using the modified BMRC index) ",3,NA,8,22,6,22,0,0,0,0,0,0,1.333333,0.554051,3.208691,0,100,"3::overall","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Dalakas 1993",1993,"Improvement of muscle strength (assessed with change in MMT or other validated muscle score)",4,1,0,8,0,7,8,5.71,0,5.71,0,0.590137467741606,1.318636,0.164977,2.472296,0.348262230832475,9.342152,"4::1","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"NCT00335985",2006,"Improvement of muscle strength (assessed with change in MMT or other validated muscle score)",4,1,0,12,0,14,11.8,8,9.9,8.3,0,3.20219418821651,0.225383,-0.548525,0.999292,10.2540476190476,20.759792,"4::1","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ProDERM",2017,"Improvement of muscle strength (assessed with change in MMT or other validated muscle score)",4,2,0,47,0,48,14.4,14.985815,3.2,9.987267,0,0.215955324526801,0.87422,0.452456,1.295983,0.046636702191476,69.898056,"4::2","CD015855_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
