"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Eeg-Olofsson 2022",2022,"Overall mortality",1,22,72,29,78,0,0,0,0,0,0,0.821839,0.522883,1.291722,0,100,"1::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Eeg-Olofsson 2022",2022,"Duration to liberation from invasive mechanical ventilation",2,0,72,0,78,19.6,12.6,21.1,13.9,0,0,-1.5,-5.74098,2.74098,0,100,"2::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Eeg-Olofsson 2022",2022,"Adverse events",3,53,72,61,78,0,0,0,0,0,0,0.941257,0.785221,1.1283,0,100,"3::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Eeg-Olofsson 2022",2022,"Ventilator-associated pneumonia",4,3,72,3,78,0,0,0,0,0,0,1.083333,0.225852,5.196376,0,100,"4::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Eeg-Olofsson 2022",2022,"Postoperative bleeding",5,11,72,12,78,0,0,0,0,0,0,0.993056,0.467764,2.108241,0,100,"5::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Eeg-Olofsson 2022",2022,"Airway obstruction",6,9,72,4,78,0,0,0,0,0,0,2.4375,0.784723,7.571344,0,100,"6::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Eeg-Olofsson 2022",2022,"ICU length of stay",7,0,72,0,78,23.7,15.3,24.2,14.9,0,0,-0.5,-5.339775,4.339775,0,100,"7::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Prats-Uribe 2021",2021,"Overall mortality",1,38,142,170,554,0,0,0,0,0,0,0.87208,0.646374,1.176598,0,59.087198,"1::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Volo 2021",2021,"Overall mortality",1,6,9,3,14,0,0,0,0,0,0,3.111111,1.03114,9.386707,0,40.912802,"1::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Chandran 2021",2021,"28-day (? 2) mortality",2,23,32,11,19,0,0,0,0,0,0,1.241477,0.799179,1.928561,0,100,"2::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Polok 2021",2021,"90-day mortality",3,71,135,156,315,0,0,0,0,0,0,1.061966,0.8737,1.290799,0,100,"3::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kwak 2021",2021,"Mortality (time to event)",4,0,52,0,96,0,0,0,0,0.029559,0.399485,1.03,0.470755,2.253614,0,27.526493,"4::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Prats-Uribe 2021",2021,"Mortality (time to event)",4,0,142,0,554,0,0,0,0,-0.094311,0.246199,0.91,0.561664,1.474369,0,72.473507,"4::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Aviles-Jurado 2020",2020,"Duration to liberation from invasive mechanical ventilation",5,0,32,0,18,9.2,5.1,7.22,2.6,0,0,1.98,-0.156602,4.116602,0,100,"5::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Aviles-Jurado 2020",2020,"Duration to decannulation",6,0,32,0,18,22.2,13,26.4,9,0,0,-4.2,-10.329785,1.929785,0,100,"6::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Aviles-Jurado 2020",2020,"Postoperative bleeding",7,5,32,1,18,0,0,0,0,0,0,2.8125,0.355637,22.242239,0,100,"7::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Evrard 2021",2021,"Tracheal stenosis",8,2,10,0,38,0,0,0,0,0,0,17.727273,0.91703,342.688942,0,100,"8::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Aviles-Jurado 2020",2020,"Ventilatory problems",9,5,32,1,18,0,0,0,0,0,0,2.8125,0.355637,22.242239,0,100,"9::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Angel 2021",2021,"In-hospital mortality",1,21,89,23,89,0,0,0,0,0,0,0.913043,0.546395,1.525724,0,27.851204,"1::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Arnold 2022",2022,"In-hospital mortality",1,4,14,19,58,0,0,0,0,0,0,0.87218,0.352269,2.159424,0,8.93291,"1::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Dal 2022",2022,"In-hospital mortality",1,12,18,10,15,0,0,0,0,0,0,1,0.615995,1.623389,0,31.275817,"1::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kuno 2021",2021,"In-hospital mortality",1,28,86,13,47,0,0,0,0,0,0,1.177102,0.6768,2.047236,0,23.971295,"1::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Mahmood 2021",2021,"In-hospital mortality",1,2,9,16,109,0,0,0,0,0,0,1.513889,0.411199,5.573607,0,4.32211,"1::overall","CD015532_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
