"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Hughes 2004",2004,"Live birth rate per woman",1,11,24,1,27,0,0,0,0,0,0,22,2.555854,189.369171,0,100,"1::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Hughes 2004",2004,"Clinical pregnancy rate per woman",2,12,24,3,27,0,0,0,0,0,0,8,1.8907,33.849898,0,38.181818,"2::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Soliman 1993",1993,"Clinical pregnancy rate per woman",2,1,21,2,14,0,0,0,0,0,0,0.3,0.024506,3.672597,0,61.818182,"2::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Elzeiny 2014",2013,"Live birth rate per woman",1,4,10,2,33,0,0,0,0,0,0,10.333333,1.531304,69.729961,0,6.046553,"1::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Goverde 2000",2000,"Live birth rate per woman",1,24,59,14,54,0,0,0,0,0,0,1.959184,0.880184,4.360906,0,93.953447,"1::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Elzeiny 2014",2013,"Clinical pregnancy rate per woman",2,4,10,4,33,0,0,0,0,0,0,4.833333,0.936475,24.945805,0,100,"2::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Elzeiny 2014",2013,"Multiple pregnancy rate per woman",3,0,10,1,33,0,0,0,0,0,0,1.031746,0.039004,27.292346,0,100,"3::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Elzeiny 2014",2013,"Miscarriage rate",4,1,10,2,33,0,0,0,0,0,0,1.722222,0.139605,21.246048,0,100,"4::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Reindollar 2010",2010,"Live birth rate per woman",1,58,111,37,169,0,0,0,0,0,0,3.904131,2.318329,6.574666,0,100,"1::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Goldman 2014",2014,"Live birth rate per woman",1,16,51,7,52,0,0,0,0,0,0,2.938776,1.089838,7.924483,0,26.714101,"1::overall","CD003357_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
