"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Shan 2014",2014,"Metformin plus progestin compared to progestin. Live birth rate. RCTs",1,NA,0,1,1,3,0,0,0,0,0,0,0.666667,0.044205,10.054117,0,6.926512,"1::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Yang 2020",2020,"Metformin plus progestin compared to progestin. Live birth rate. RCTs",1,NA,13,31,8,37,0,0,0,0,0,0,1.939516,0.925159,4.066029,0,93.073488,"1::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Shan 2014",2014,"Metformin plus progestin compared to progestin. Complete pathological response rate (12-16 weeks). RCTs",2,NA,6,8,2,8,0,0,0,0,0,0,3,0.84659,10.630887,0,18.510212,"2::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Yang 2020",2020,"Metformin plus progestin compared to progestin. Complete pathological response rate (12-16 weeks). RCTs",2,NA,23,67,12,58,0,0,0,0,0,0,1.659204,0.907889,3.032263,0,81.489788,"2::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Shan 2014",2014,"Metformin plus progestin compared to progestin.  Pregnancy rate. RCTs",3,NA,0,1,1,3,0,0,0,0,0,0,0.666667,0.044205,10.054117,0,3.036058,"3::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Yang 2020",2020,"Metformin plus progestin compared to progestin.  Pregnancy rate. RCTs",3,NA,19,37,15,31,0,0,0,0,0,0,1.061261,0.656596,1.715324,0,96.963942,"3::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Shan 2014",2014,"Metformin plus progestin compared to progestin. Surgery for persistent/progressive disease (hysterectomy). RCTs",4,NA,1,8,2,8,0,0,0,0,0,0,0.5,0.055885,4.473447,0,39.221902,"4::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Yang 2020",2020,"Metformin plus progestin compared to progestin. Surgery for persistent/progressive disease (hysterectomy). RCTs",4,NA,3,76,2,74,0,0,0,0,0,0,1.460526,0.251193,8.492012,0,60.778098,"4::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Yang 2020",2020,"Metformin plus progestin compared to progestin. Severe adverse events grade 3-4.",5,NA,2,76,5,74,0,0,0,0,0,0,0.389474,0.077985,1.945115,0,100,"5::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Xu 2023 B",2021,"Levonorgestrel intrauterine system compared to oral progestin. Live birth rate",1,NA,8,16,5,18,0,0,0,0,0,0,1.8,0.737991,4.390296,0,100,"1::overall","CD013111_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
