"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Cui 2014",2014,"Overall survival (Subgroup analysis: IPC Types)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.385662,0.505015,0.68,0.25272,1.829695,NA,10.516567,"1::1","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Fan 2025",2025,"Overall survival (Subgroup analysis: IPC Types)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.820981,1.638406,0.44,0.017735,10.916067,NA,0.99917,"1::1","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Fujimoto 1999",1999,"Overall survival (Subgroup analysis: IPC Types)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.415515,0.305007,0.66,0.363013,1.199959,NA,28.831214,"1::1","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Yin 2008",2008,"Overall survival (Subgroup analysis: IPC Types)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.314711,0.509568,0.73,0.268892,1.981836,NA,10.329475,"1::1","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Zhan 2010",2010,"Overall survival (Subgroup analysis: IPC Types)",1,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.139262,0.434265,0.87,0.371426,2.037822,NA,14.2224,"1::1","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Xu 2021",2021,"Overall survival (Subgroup analysis: IPC Types)",1,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.562119,0.276427,0.57,0.331573,0.979873,NA,35.101173,"1::2","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Cui 2014",2014,"Overall survival (Subgroup analysis: Chemotherapy drugs)",2,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.385662,0.505015,0.68,0.25272,1.829695,NA,10.516567,"2::1","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Yin 2008",2008,"Overall survival (Subgroup analysis: Chemotherapy drugs)",2,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.314711,0.509568,0.73,0.268892,1.981836,NA,10.329475,"2::1","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Fan 2025",2025,"Overall survival (Subgroup analysis: Chemotherapy drugs)",2,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.820981,1.638406,0.44,0.017735,10.916067,NA,0.99917,"2::2","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Zhan 2010",2010,"Overall survival (Subgroup analysis: Chemotherapy drugs)",2,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.139262,0.434265,0.87,0.371426,2.037822,NA,14.2224,"2::2","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Xu 2021",2021,"Overall survival (Subgroup analysis: Chemotherapy drugs)",2,3,NA,NA,NA,NA,NA,NA,NA,NA,-0.562119,0.276427,0.57,0.331573,0.979873,NA,35.101173,"2::3","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Fujimoto 1999",1999,"Overall survival (Subgroup analysis: Chemotherapy drugs)",2,4,NA,NA,NA,NA,NA,NA,NA,NA,-0.415515,0.305007,0.66,0.363013,1.199959,NA,28.831214,"2::4","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
"Xu 2021",2021,"Overall survival (Sensitivity analysis: Excluding studies with overall high risk of bias)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.562119,0.276427,0.57,0.331573,0.979873,NA,58.842212,"3::overall","CD015698_pub2_data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE
