"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Imberti 2012 - PRESICH",2012,"Death or dependence (mRS 4-6) at day 90",1,10,13,7,8,0,0,0,0,0,0,0.879121,0.591333,1.306969,0,13.052779,"1::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Gladstone 2019 - SPOTLIGHT - STOP-IT",2019,"Death or dependence (mRS 4-6) at day 90",1,19,30,23,34,0,0,0,0,0,0,0.936232,0.65449,1.339257,0,14.922007,"1::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Li 2012",2012,"Death or dependence (mRS 4-6) at day 90",1,5,32,13,32,0,0,0,0,0,0,0.384615,0.155192,0.953197,0,3.371845,"1::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Mayer 2005a",2005,"Death or dependence (mRS 4-6) at day 90",1,16,36,5,11,0,0,0,0,0,0,0.977778,0.464988,2.056074,0,4.829767,"1::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Mayer 2005b",2005,"Death or dependence (mRS 4-6) at day 90",1,160,303,66,96,0,0,0,0,0,0,0.768077,0.646826,0.912057,0,29.022582,"1::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Mayer 2006",2006,"Death or dependence (mRS 4-6) at day 90",1,15,32,4,8,0,0,0,0,0,0,0.9375,0.42761,2.055393,0,4.384033,"1::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Mayer 2008 - FAST",2008,"Death or dependence (mRS 4-6) at day 90",1,269,557,120,262,0,0,0,0,0,0,1.054428,0.900981,1.23401,0,30.416987,"1::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Gladstone 2019 - SPOTLIGHT - STOP-IT",2019,"Intracerebral haemorrhage expansion by 24 hours",2,13,32,16,37,0,0,0,0,0,0,0.939453,0.537527,1.641911,0,30.319068,"2::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Li 2012",2012,"Intracerebral haemorrhage expansion by 24 hours",2,4,32,11,32,0,0,0,0,0,0,0.363636,0.129281,1.02282,0,11.03743,"2::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Mayer 2005a",2005,"Intracerebral haemorrhage expansion by 24 hours",2,8,36,1,11,0,0,0,0,0,0,2.444444,0.342213,17.460809,0,3.29801,"2::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Mayer 2006",2006,"Intracerebral haemorrhage expansion by 24 hours",2,23,32,7,8,0,0,0,0,0,0,0.821429,0.584693,1.154016,0,55.345491,"2::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Mayer 2005a",2005,"All serious adverse events",3,9,36,3,11,0,0,0,0,0,0,0.916667,0.299493,2.805668,0,80.487805,"3::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Mayer 2006",2006,"All serious adverse events",3,2,32,1,8,0,0,0,0,0,0,0.5,0.051553,4.849364,0,19.512195,"3::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"F7ICH-1602 2007",2007,"Thromboembolic adverse events",4,1,45,2,45,0,0,0,0,0,0,0.5,0.046992,5.32003,0,3.123386,"4::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Gladstone 2019 - SPOTLIGHT - STOP-IT",2019,"Thromboembolic adverse events",4,2,32,4,37,0,0,0,0,0,0,0.578125,0.11326,2.950972,0,6.572374,"4::overall","CD005951_pub5_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
