"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","mismatch_type","k_rows","k_valid","invalid_rows","double_zero_rows","all_events_rows","sparse_rows","any_zero_rows","event_rate","log_or","rd","or_sig","rd_sig","direction_match"
"CD000028_pub4_data","1::2",1,"2","All-cause mortality","significance_only",11,11,0,1,0,1,3,0.1462,0.0932493150659765,0.0399949512151858,FALSE,TRUE,TRUE
"CD000143_pub2_data","2::overall",2,"","Endotracheal reintubation","significance_only",23,23,0,0,0,3,3,0.2971,-0.240630952618133,-0.0692555504467284,FALSE,TRUE,TRUE
"CD000219_pub5_data","4::overall",4,"","Tympanic membrane perforation","significance_only",7,7,0,2,0,4,3,0.023,-0.741655129157561,-0.0167414916007323,TRUE,FALSE,TRUE
"CD000219_pub5_data","5::overall",5,"","Contralateral otitis (in unilateral cases)","significance_only",6,6,0,0,0,0,0,0.1993,-0.435430088842618,-0.0509061863009239,FALSE,TRUE,TRUE
"CD000478_pub5_data","2::overall",2,"","Withdrawal due to adverse event","significance_only",6,6,0,2,0,5,4,0.125,0.469376506878793,0.0964145889662329,FALSE,TRUE,TRUE
"CD000547_pub3_data","5::overall",5,"","Haemoglobin (preoperative)","significance_only",25,25,0,14,0,18,16,0.2128,-0.430563744150343,-0.0385717406780236,TRUE,FALSE,TRUE
"CD000547_pub3_data","6::overall",6,"","Postoperative morbidity (complications)","significance_only",17,17,0,0,0,9,9,0.0581,-0.749172512053013,-0.0149074373138737,TRUE,FALSE,TRUE
"CD001155_pub3_data","4::overall",4,"","Wrist fractures","significance_only",78,78,0,29,0,49,49,0.0312,-0.258903149160523,-0.00179715119018787,TRUE,FALSE,TRUE
"CD001155_pub3_data","6::overall",6,"","Withdrawals due to adverse events","direction_only",40,40,0,4,0,15,7,0.0877,-0.0175221304564189,0.00138003227089727,FALSE,FALSE,FALSE
"CD001321_pub7_data","3::overall",3,"","Microbiological UTI: positive culture without known symptoms","direction_only",8,8,0,0,0,1,1,0.2772,-0.0353187757382847,0.0143322263162177,FALSE,FALSE,FALSE
"CD001321_pub7_data","5::overall",5,"","Gastrointestinal adverse events","significance_only",10,10,0,0,0,5,3,0.0452,0.334279996250128,0.0080710934066093,FALSE,TRUE,TRUE
"CD001396_pub4_data","14::overall",14,"","Withdrawal due to adverse effects","significance_only",26,26,0,0,0,7,1,0.0952,0.234223902239026,0.0231949619015941,FALSE,TRUE,TRUE
"CD001431_pub6_data","1::overall",1,"","Informed values-choice congruence - all studies","significance_only",437,437,0,249,0,256,256,0.1576,0.0878065725772917,0.0269153465455197,FALSE,TRUE,TRUE
"CD001431_pub6_data","6::overall",6,"","Unclear values - old vs new studies","significance_only",60,60,0,56,0,56,56,0.0059,0.276397250757166,0.0757616451729043,FALSE,TRUE,TRUE
"CD001797_pub4_data","3::overall",3,"","Improvement ? 1 point on Rankin scale","significance_only",5,5,0,2,0,3,3,0.116,0.880327102002256,0.195636338194229,FALSE,TRUE,TRUE
"CD001797_pub4_data","9::overall",9,"","Frequency of serious side effects","direction_only",3,3,0,0,0,1,1,0.0635,-0.238350754708517,0.00342872467560969,FALSE,FALSE,FALSE
"CD001797_pub4_data","10::overall",10,"","Frequency of any side effects","significance_only",3,3,0,0,0,1,1,0.3474,1.49683600746359,0.210141204307698,TRUE,FALSE,TRUE
"CD001909_pub4_data","5::overall",5,"","Somnolence","significance_only",13,13,0,1,0,4,4,0.1176,0.372785959428529,0.0309194995917767,TRUE,FALSE,TRUE
