"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","outcome_type","k","n_rows","meta_status","meta_error","pooled_effect","pooled_se","ci_lb","ci_ub","i2","tau2","q_stat","q_p","fe_re_diff","egger_p","max_cooks","max_dfbeta","max_weight_share","cc_applied","double_zero","all_events","sparse_events"
"CD000028_pub4_data","1::overall","1","overall","All-cause mortality","binary",13,13,"ok","",-0.115253952293261,0.0424539272009068,-0.198462120609324,-0.0320457839771983,0,0,10.8008758254861,0.546056424922042,0,0.448897233948116,NA,NA,0.238559403637481,FALSE,0,0,0
"CD000028_pub4_data","2::1","2","1","Cause of cardiovascular mortality","binary",22,22,"ok","",-0.43281307932279,0.0490062897769036,-0.528863642301455,-0.336762516344126,21.575602181267,0.00953248330633682,22.9179455918846,0.348368970408654,0.00462947085387205,0.574661456520081,NA,NA,0.135765936129319,FALSE,0,0,2
"CD000028_pub4_data","2::2","2","2","Cause of cardiovascular mortality","binary",20,20,"ok","",-0.289855697755644,0.054694424736183,-0.397054800393699,-0.182656595117588,0,0,9.63544038436031,0.94315788574012,0,0.988796859113944,NA,NA,-Inf,FALSE,0,0,2
"CD000028_pub4_data","3::overall","3","overall","Cardiovascular mortality and morbidity","binary",15,15,"ok","",-0.383482254499255,0.0519208460757257,-0.485245242854525,-0.281719266143985,26.7396907354951,0.00944712469329332,20.6687263030984,0.110428054633509,0.000955900801192788,0.742190191678602,NA,NA,0.162683236229046,FALSE,0,0,0
"CD000028_pub4_data","4::overall","4","overall","Cerebrovascular mortality and morbidity","binary",13,13,"ok","",-0.436235267694547,0.0630162341717522,-0.559744817112523,-0.31272571827657,0,0,6.75145588707594,0.873591825318885,0,0.149565829699645,NA,NA,0.235081451097377,FALSE,0,0,0
"CD000028_pub4_data","5::overall","5","overall","Coronary heart disease mortality and morbidity","binary",13,13,"ok","",-0.140192643710262,0.124944803026193,-0.385079957697052,0.104694670276528,72.1448911694065,0.111371603283192,66.7472279385056,1.29376324978614e-09,0.153446621320397,0.178721044016154,NA,NA,0.128389579619408,FALSE,0,0,0
"CD000028_pub4_data","6::overall","6","overall","Withdrawal due to adverse effects","binary",4,4,"ok","",0.805260630807161,0.478051366091096,-0.131702829491559,1.74222409110588,96.7491477942095,0.792215639702224,93.8280588152937,3.29730507092725e-20,0.277515906166608,NA,NA,NA,0.28479899893178,FALSE,0,0,0
"CD000028_pub4_data","1::1","1","1","All-cause mortality","binary",12,12,"ok","",-0.23965120466964,0.0729442308902617,-0.382619270094527,-0.0966831392447535,48.8904442604739,0.0264563123920212,19.3610136883869,0.0549131265860464,0.0495007587890267,0.160559031514614,NA,NA,0.15644347618951,FALSE,0,0,0
"CD000028_pub4_data","1::2","1","2","All-cause mortality","binary",11,11,"ok","",0.0932493150659765,0.104861398863037,-0.112275250074066,0.298773880206019,37.1628323630141,0.0367303462347191,15.2432280867468,0.12344261654606,0.100169385713415,0.0106401996648765,NA,NA,0.232669899093537,TRUE,1,0,1
"CD000028_pub4_data","3::1","3","1","Cerebrovascular mortality and morbidity","binary",11,11,"ok","",-0.445631027006216,0.0647319019053355,-0.572503223391453,-0.318758830620978,0,0,7.79123144180267,0.649220781876891,0,0.375840010002388,NA,NA,0.228661536616405,FALSE,0,0,0
"CD000028_pub4_data","3::2","3","2","Cerebrovascular mortality and morbidity","binary",10,10,"ok","",-0.481790299469252,0.108163049284627,-0.693785980525152,-0.269794618413353,0.00547636807268095,6.29015292387293e-06,8.66823416722089,0.371051420107923,5.93505538809547e-06,0.18600832448784,NA,NA,-Inf,FALSE,0,0,1
"CD000028_pub4_data","4::1","4","1","Coronary heart disease mortality and morbidity","binary",10,10,"ok","",-0.272302613392712,0.0611315825321277,-0.39211831347362,-0.152486913311804,0,0,2.51720945740699,0.980417083939519,0,0.991130180038159,NA,NA,0.247893910470975,FALSE,0,0,0
"CD000028_pub4_data","4::2","4","2","Coronary heart disease mortality and morbidity","binary",9,9,"ok","",-0.186596517328826,0.155592568522809,-0.491552347895612,0.11835931323796,0,0,2.81217427185201,0.945585873737156,0,NA,NA,NA,0.247761195119385,TRUE,1,0,4
