"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",-1.24953793128379,0.382078209457148,0,-3.27037213940863,67.4397583619246,0.00169369473483513
"frac_pre",-0.0795237685328169,0.463885516313458,0,-0.171429729397028,41.706254644805,0.864714954871247
"log_k_all",0.193138673125601,0.121570399749448,0,1.58869818248236,54.4126008764274,0.117922923608843
"data_typecontinuous",0.978448733885144,0.4180263073706,0,2.34063913355028,6.72739862399506,0.053245233524741
"data_typegiv",2.10955264590133,1.29591221141198,0,1.62785150670263,1.35106797183611,0.299871390964553
"outcome_categorybiomarker",-2.01766411962734,0.819656758610374,0,-2.46159639194342,8.37542586898104,0.0379401230787862
"outcome_categoryfunction_score",-0.859064657710243,0.632953695063365,0,-1.35723144427531,11.6725557947015,0.200371229774413
"outcome_categorylength_of_stay",-2.39191774478993,0.749594664272263,0,-3.1909482001344,13.9528210589071,0.00656101985359992
"outcome_categorymortality",-0.205693474255708,0.362127213498775,0,-0.568014406507462,43.8284668286989,0.572923855336975
"outcome_categoryother",-0.412660018731802,0.233270231103128,0,-1.76902134824639,60.1540266260785,0.0819596411431105
"outcome_categoryother_small",-12.6358515368188,0.28063038345338,0,-45.0266695335145,1.59184847450249,0.00183887129958595
"outcome_categorypain",-0.514073932249438,0.62979871864851,0,-0.816251156167154,18.3102450711982,0.424848948715724
"outcome_categoryquality_of_life",-3.75994820015212,1.11585980569584,0,-3.36955250198966,6.34880773738919,0.0138139890693903
"outcome_categoryrelapse",-0.902872374466881,0.635911296308517,0,-1.41980867411553,11.2248880274854,0.182835189419898
"outcome_categoryresponse",0.295793173825627,0.371396008454789,0,0.796436060409719,13.7719026829225,0.439292852626139
