"dataset_id","analysis_id","issue"
"CD000143_pub2_data","1::3::Bronchopulmonary dysplasia ","No usable data for effect sizes"
"CD000143_pub2_data","1::5::Combined outcome of bronchopulmonary dysplasia and mortality","No usable data for effect sizes"
"CD000143_pub2_data","1::6::Mortality at any time up to 28 days or discharge from hospital","No usable data for effect sizes"
"CD000143_pub2_data","1::7::Intraventricular haemorrhage","No usable data for effect sizes"
"CD000143_pub2_data","1::8::Retinopathy of prematurity","No usable data for effect sizes"
"CD000219_pub5_data","2::3::Abnormal tympanometry at 4 weeks","No usable data for effect sizes"
"CD000478_pub5_data","2::1::Failure to maintain remission","No usable data for effect sizes"
"CD000478_pub5_data","4::1::Failure to maintain remission","No usable data for effect sizes"
"CD000478_pub5_data","5::1::Failure to maintain remission","No usable data for effect sizes"
"CD000547_pub3_data","3::6::Proportion with vertical incision","No usable data for effect sizes"
"CD000547_pub3_data","3::9::Postoperative haemoglobin","No usable data for effect sizes"
"CD000547_pub3_data","4::2::Postoperative morbidity (complications)","No usable data for effect sizes"
"CD000547_pub3_data","4::3::Difficulty of surgery (visual analogue scale)","No usable data for effect sizes"
"CD000547_pub3_data","4::4::Fibroid recurrence","No usable data for effect sizes"
"CD000547_pub3_data","5::8::Intraoperative blood loss > 1000 ml","No usable data for effect sizes"
"CD000547_pub3_data","5::13::Postoperative haemoglobin","No usable data for effect sizes"
"CD000547_pub3_data","6::5::Change in menstrual blood loss from baseline to treatment end","No usable data for effect sizes"
"CD001072_pub2_data","1::1::Failure of treatment","No usable data for effect sizes"
"CD001072_pub2_data","1::2::Death in the first year","No usable data for effect sizes"
"CD001072_pub2_data","1::3::Tachycardia","No usable data for effect sizes"
"CD001155_pub3_data","1::10::Osteonecrosis of the Jaw","No usable data for effect sizes"
"CD001155_pub3_data","3::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","5::1::Non-vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","5::2::Hip fractures","No usable data for effect sizes"
"CD001155_pub3_data","5::3::Wrist fractures","No usable data for effect sizes"
"CD001155_pub3_data","5::4::Radiographic vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","6::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","6::2::Non-vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","6::3::Hip fractures","No usable data for effect sizes"
"CD001155_pub3_data","6::4::Radiographic vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","8::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","8::3::Hip fractures","No usable data for effect sizes"
"CD001155_pub3_data","8::4::Radiographic vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","11::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","14::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","14::3::Hip fractures","No usable data for effect sizes"
"CD001155_pub3_data","14::8::Atypical femoral fracture","No usable data for effect sizes"
"CD001155_pub3_data","15::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","15::2::Non-vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","15::3::Hip fractures","No usable data for effect sizes"
"CD001155_pub3_data","15::4::Radiographic vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","16::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","16::3::Hip fractures","No usable data for effect sizes"
"CD001155_pub3_data","17::1::Non-vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","17::2::Radiographic vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","18::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","18::3::Radiographic vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","19::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","19::3::Hip fractures","No usable data for effect sizes"
"CD001155_pub3_data","20::2::Hip fractures","No usable data for effect sizes"
"CD001155_pub3_data","21::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","21::2::Non-vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","22::2::Hip fractures","No usable data for effect sizes"
"CD001155_pub3_data","23::1::Clinical vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","23::2::Non-vertebral fractures","No usable data for effect sizes"
"CD001155_pub3_data","23::3::Wrist fractures","No usable data for effect sizes"
"CD001155_pub3_data","23::8::Atypical femoral fracture","No usable data for effect sizes"
"CD001155_pub3_data","31::1::Alendronate 70 mg/week vs Zolendronic acid 5 mg/year, Secondary","No usable data for effect sizes"
"CD001321_pub7_data","2::2::Clinical UTI: symptoms, no culture","No usable data for effect sizes"
"CD001321_pub7_data","4::1::Symptomatic UTI: culture-verified UTI","No usable data for effect sizes"
"CD001321_pub7_data","5::2::Microbiological UTI: positive culture without known symptoms","No usable data for effect sizes"
"CD001321_pub7_data","5::3::Clinical UTI without culture verification","No usable data for effect sizes"
"CD001321_pub7_data","8::1::Symptomatic UTI: culture-verified UTI","No usable data for effect sizes"
"CD001533_pub7_data","3::1::Number relapsing by 6 to 12 months","No usable data for effect sizes"
"CD001533_pub7_data","3::2::Number relapsing by 12 to 24 months","No usable data for effect sizes"
"CD001533_pub7_data","3::3::Number with frequent relapses","No usable data for effect sizes"
"CD001533_pub7_data","4::1::Number with relapse","No usable data for effect sizes"
"CD001533_pub7_data","5::1::Relapse at 12 months","No usable data for effect sizes"
"CD001533_pub7_data","5::2::Number with FRNS","No usable data for effect sizes"
"CD001533_pub7_data","6::2::Number with relapse","No usable data for effect sizes"
"CD001533_pub7_data","7::3::Number of relapses/patient at 2 years","No usable data for effect sizes"
"CD001533_pub7_data","9::3::Mean relapse rate/patient/year","No usable data for effect sizes"
"CD001533_pub7_data","10::1::Relapse by 6 months","No usable data for effect sizes"
"CD001533_pub7_data","11::2::Mean relapse rate","No usable data for effect sizes"
"CD001533_pub7_data","11::6::Cumulative steroid dose [mg/kg]","No usable data for effect sizes"
"CD001533_pub7_data","11::7::Number with HPA suppression","No usable data for effect sizes"
"CD001533_pub7_data","12::3::Number with FRNS or SDNS at 12 months","No usable data for effect sizes"
"CD001533_pub7_data","12::4::Cumulative prednisone dose to achieve remission [mg/kg]","No usable data for effect sizes"
"CD001533_pub7_data","13::1::Number of relapses in 12 months [number/year]","No usable data for effect sizes"
"CD001533_pub7_data","14::1::Number with relapse during treatment","No usable data for effect sizes"
"CD001533_pub7_data","14::2::Number with relapse by 6 months","No usable data for effect sizes"
"CD001533_pub7_data","16::3::Number with FRNS or SDNS","No usable data for effect sizes"
"CD001552_pub3_data","1::7::Health-related quality of life at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","1::9::Need for surgery or secondary surgery at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","2::5::Function at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","2::7::Pain at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","2::8::Pain at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","2::10::Need for surgery or secondary surgery at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","2::11::Need for surgery or secondary surgery at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","3::1::Clinical improvement at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","3::2::Clinical improvement at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","3::3::Symptoms at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","3::4::Symptoms at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","3::5::Function at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","3::6::Function at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","3::7::Adverse effects","No usable data for effect sizes"
"CD001552_pub3_data","4::1::Symptoms at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","4::2::Function at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","4::3::Pain at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","5::1::Clinical improvement at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","5::8::Health-related quality of life at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","5::9::Health-related quality of life at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","6::1::Clinical improvement at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","6::2::Symptoms at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","6::3::Function at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","6::4::Pain at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","6::6::Need for surgery or secondary surgery at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","7::1::Symptoms at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","7::2::Function at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","7::3::Pain at long-term follow-up: over 3 months","No usable data for effect sizes"
"CD001552_pub3_data","8::1::Symptoms at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","8::2::Function at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001552_pub3_data","8::3::Need for surgery or secondary surgery at short-term follow-up: 3 months or less","No usable data for effect sizes"
"CD001703_pub4_data","1::3::Non-specific low back pain: pain intensity (0 to 100) at mid-term follow-up (> 16 to 52 weeks)","No usable data for effect sizes"
"CD001703_pub4_data","1::5::Non-specific low back pain: disability (ODI, 0 to 100) at short-term follow-up (> 4 to 16 weeks): SSRI","No usable data for effect sizes"
"CD001703_pub4_data","1::7::Non-specific low back pain: disability (RMDQ, 0 to 24) at mid-term follow-up (> 16 to 52 weeks): TCA","No usable data for effect sizes"
"CD001703_pub4_data","1::9::Non-specific low back pain: depressive symptoms (MADRS, 0 to 60) at short-term follow-up (> 4 to 16 weeks): SSRI","No usable data for effect sizes"
"CD001703_pub4_data","1::11::Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at mid-term follow-up (> 16 to 52 weeks): TCA","No usable data for effect sizes"
"CD001703_pub4_data","1::12::Non-specific low back pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks): other antidepressants","No usable data for effect sizes"
"CD001703_pub4_data","1::15::Non-specific low back pain: HRQoL (EQ-5D, 0 to 100 VAS) at mid-term follow-up (> 16 to 52 weeks): TCA","No usable data for effect sizes"
"CD001703_pub4_data","1::18::Spine-related leg pain: pain intensity (0 to 100) at mid-term follow-up (> 16 to 52 weeks)","No usable data for effect sizes"
"CD001703_pub4_data","1::21::Spine-related leg pain: disability (ODI, 0 to 100) at mid-term follow-up (> 16 to 52 weeks)","No usable data for effect sizes"
"CD001703_pub4_data","1::22::Spine-related leg pain: depressive symptoms (HADS-D, 0 to 21) at immediate-term follow-up (≤ 4 weeks)","No usable data for effect sizes"
"CD001703_pub4_data","1::23::Spine-related leg pain: depressive symptoms (BDI, 0 to 63) at short-term follow-up (> 4 to 16 weeks)","No usable data for effect sizes"
"CD001703_pub4_data","1::24::Spine-related leg pain: HRQoL (SF-36, 0 to 100) at short-term follow-up (> 4 to 16 weeks)","No usable data for effect sizes"
"CD001797_pub4_data","1::5::Change in mean disability score within 6 weeks; generic inverse variance approach","No usable data for effect sizes"
"CD001797_pub4_data","1::8::Change in mean disability score at 24 weeks or later","No usable data for effect sizes"
"CD001797_pub4_data","2::1::Change in mean disability score within 6 weeks","No usable data for effect sizes"
"CD001797_pub4_data","3::1::Significant improvement in disability within 6 weeks","No usable data for effect sizes"
"CD001797_pub4_data","3::2::Improvement of ≥ 1 point on Rankin scale","No usable data for effect sizes"
"CD001797_pub4_data","3::3::Change in mean disability score within 6 weeks","No usable data for effect sizes"
"CD001797_pub4_data","3::4::Change in mean disability score on Rankin scale within 6 weeks","No usable data for effect sizes"
"CD001797_pub4_data","3::5::Change in muscle strength (mean Medical Research Council sum score) within 6 weeks","No usable data for effect sizes"
"CD001797_pub4_data","3::6::Frequency of serious side effects","No usable data for effect sizes"
"CD001797_pub4_data","3::7::Frequency of any side effects","No usable data for effect sizes"
"CD001797_pub4_data","4::1::Significant improvement in disability within 6 weeks","No usable data for effect sizes"
"CD001797_pub4_data","4::2::Improvement of ≥ 1 point on Rankin scale","No usable data for effect sizes"
"CD001797_pub4_data","4::3::Change in mean disability score within 6 weeks","No usable data for effect sizes"
"CD001797_pub4_data","4::4::Change in mean disability score on Rankin scale within 6 weeks","No usable data for effect sizes"
"CD001797_pub4_data","4::5::Change in muscle strength (Medical Research Council sum score) within 6 weeks","No usable data for effect sizes"
"CD001797_pub4_data","4::6::Change in mean disability score at 24 weeks or later","No usable data for effect sizes"
"CD001797_pub4_data","4::7::Frequency of serious side effects","No usable data for effect sizes"
"CD001797_pub4_data","4::8::Frequency of any side effects","No usable data for effect sizes"
"CD001920_pub4_data","1::5::Length of stay","No usable data for effect sizes"
"CD001920_pub4_data","2::5::Adverse eventsa","No usable data for effect sizes"
"CD001920_pub4_data","3::5::Length of stay","No usable data for effect sizes"
"CD001920_pub4_data","7::5::Functional task training compared to other: Length of hospital stay","No usable data for effect sizes"
"CD001920_pub4_data","7::11::Neurophysiological approach compared to other: Adverse events","No usable data for effect sizes"
"CD001920_pub4_data","8::5::Functional task training compared to other approaches: Adverse events","No usable data for effect sizes"
"CD001920_pub4_data","8::8::Neurophysiological approaches compared to other approaches: Balance (Berg Balance Scale)","No usable data for effect sizes"
"CD002042_pub6_data","2::13::Morbidity: pulmonary oedema","No usable data for effect sizes"
"CD002042_pub6_data","2::14::Morbidity: (N)MODS","No usable data for effect sizes"
"CD002042_pub6_data","2::21::Morbidity: acute kidney injury (AKI)","No usable data for effect sizes"
"CD002042_pub6_data","2::22::Morbidity: renal failure","No usable data for effect sizes"
"CD002052_pub4_data","1::1::Hypotension","No usable data for effect sizes"
"CD002052_pub4_data","1::2::Apnoea","No usable data for effect sizes"
"CD002052_pub4_data","2::1::Hypotension","No usable data for effect sizes"
"CD002052_pub4_data","2::2::Apnea","No usable data for effect sizes"
"CD002052_pub4_data","2::3::All‐cause mortality until hospital discharge ","No usable data for effect sizes"
"CD002052_pub4_data","2::5::Days of supplemental oxygen use","No usable data for effect sizes"
"CD002052_pub4_data","2::6::Intraventricular haemorrhage (any grade)","No usable data for effect sizes"
"CD002052_pub4_data","2::8::Length of NICU stay (days)","No usable data for effect sizes"
"CD002052_pub4_data","2::9::Number of infants requiring additional medications for sedation or analgesia or both","No usable data for effect sizes"
"CD002052_pub4_data","2::10::Seizures","No usable data for effect sizes"
"CD002052_pub4_data","2::11::Irritability","No usable data for effect sizes"
"CD002052_pub4_data","2::12::Drowsiness","No usable data for effect sizes"
"CD002052_pub4_data","3::1::Apnoea","No usable data for effect sizes"
"CD002052_pub4_data","3::2::Number of infants requiring additional medications for sedation or analgesia or both","No usable data for effect sizes"
"CD002052_pub4_data","3::3::Successful sedation","No usable data for effect sizes"
