"dataset_name","missing_study","duplicate_study","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch","variance_se_mismatch","weight_negative"
"CD001552_pub3_data",0,10,0,0,0,0,0,0,0,0,0,0,49,0,58,30,29,0,0,0,76,0,0
"CD001703_pub4_data",0,27,0,0,0,0,0,0,0,0,0,0,72,1,84,50,50,0,0,0,73,2,0
"CD001797_pub4_data",0,0,0,0,0,0,1,1,0,0,0,0,22,1,28,25,25,0,0,0,38,3,0
"CD001837_pub4_data",0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,144,0,0
"CD001909_pub4_data",0,60,0,0,0,0,0,0,0,0,0,0,8,0,38,133,133,0,0,0,125,0,0
"CD001920_pub4_data",0,577,1,0,0,0,0,0,0,0,0,0,1410,0,1417,23,21,0,0,0,261,0,0
"CD002042_pub6_data",0,0,0,0,0,0,0,0,0,0,0,0,89,8,278,0,0,0,0,0,0,0,0
"CD002052_pub4_data",0,6,0,0,0,0,0,0,0,0,0,0,13,0,20,26,26,0,0,0,34,0,0
"CD002112_pub2_data",0,30,0,0,0,0,0,0,0,0,0,0,79,0,102,156,155,0,0,0,223,3,0
"CD002115_pub6_data",0,0,0,0,0,0,0,3,0,0,0,0,46,0,50,34,34,0,0,0,37,4,0
"CD002122_pub3_data",0,5,0,0,0,0,0,0,0,0,0,0,4,0,72,0,0,0,0,0,0,0,0
"CD002203_pub5_data",0,72,0,0,0,0,8,8,0,0,0,0,70,8,85,114,114,0,0,0,168,8,0
"CD002243_pub5_data",0,1,0,0,0,0,0,0,0,0,0,0,123,0,204,981,981,0,0,0,1061,0,0
"CD002290_pub6_data",0,103,0,0,0,0,0,0,0,0,0,0,17,0,70,215,215,0,0,0,226,0,0
"CD002303_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,15,0,0
"CD002971_pub6_data",0,8,0,0,0,0,0,0,0,0,0,0,34,0,40,41,41,0,0,0,65,0,0
"CD003129_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,16,16,0,0,0,15,0,0
"CD003214_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,5,0,0,0,8,0,0
"CD003216_pub3_data",0,3,0,0,0,0,0,0,0,0,0,0,27,0,37,38,38,0,0,0,59,0,0
"CD003218_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,18,0,0,0,5,15,0
"CD003331_pub6_data",0,11,0,0,0,0,0,0,0,0,0,0,64,0,103,92,92,0,0,0,154,0,0
"CD003333_pub4_data",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,0,0,0,15,0,0
"CD003357_pub5_data",0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,34,34,0,0,0,34,0,0
"CD003376_pub4_data",0,198,0,0,0,0,0,0,0,0,0,0,90,0,166,276,276,0,0,0,186,0,0
"CD003414_pub4_data",0,18,0,0,0,0,0,0,0,0,0,0,19,0,34,116,116,0,0,0,135,0,0
"CD003429_pub5_data",0,0,0,0,0,0,0,0,0,0,0,0,23,0,26,10,10,0,0,0,19,0,0
"CD003451_pub3_data",0,24,0,0,0,0,0,0,0,0,0,0,82,0,82,1,1,0,0,0,74,0,0
"CD003477_pub5_data",0,61,0,0,0,0,0,0,0,0,0,0,158,0,158,0,0,0,0,0,20,0,0
"CD003511_pub6_data",0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,48,48,0,0,0,45,0,0
"CD003519_pub5_data",0,51,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"CD003594_pub7_data",0,0,0,0,0,0,0,0,0,0,0,0,25,1,67,150,150,0,0,0,167,0,0
"CD003598_pub3_data",0,74,0,0,0,0,0,0,0,0,0,0,386,0,518,372,372,0,0,0,552,10,0
"CD003743_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,20,20,0,0,0,34,0,0
"CD003774_pub5_data",0,401,0,0,0,0,0,0,0,0,0,0,69,0,219,756,756,0,0,0,697,0,0
"CD003833_pub5_data",0,16,0,0,0,0,0,0,0,0,0,0,32,0,35,6,6,0,0,0,34,0,0
"CD003962_pub3_data",0,27,0,0,0,0,0,0,0,0,0,0,162,0,188,84,84,0,0,0,230,0,0
"CD004184_pub3_data",0,95,0,0,0,0,0,0,0,0,0,0,154,0,164,166,166,0,0,0,42,132,0
"CD004307_pub7_data",0,9,0,0,0,0,0,0,0,0,0,0,46,0,63,157,157,0,0,0,157,1,0
"CD004372_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0
"CD004376_pub4_data",0,388,0,0,0,0,0,0,0,0,0,0,46,0,79,0,0,0,0,0,0,0,0
"CD004406_pub6_data",0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,79,79,0,0,0,78,0,0
"CD004417_pub6_data",0,91,0,0,0,0,0,0,0,0,0,0,29,0,29,93,93,0,0,0,122,0,0
"CD004508_pub5_data",0,0,0,0,0,0,0,0,0,0,0,0,23,0,32,36,36,0,0,0,55,0,0
"CD004661_pub4_data",0,378,0,0,0,0,22,22,0,0,0,0,99,22,138,446,446,0,0,0,437,14,0
"CD004667_pub6_data",0,270,0,0,0,0,0,0,0,0,0,0,7,0,59,490,490,0,0,0,482,0,0
"CD004703_pub3_data",0,44,0,0,0,0,0,0,0,0,0,0,68,0,104,98,98,0,0,0,68,0,0
"CD004736_pub6_data",0,494,0,0,0,0,0,0,0,0,0,0,419,0,549,1142,1142,0,0,0,1171,0,0
"CD004762_pub3_data",0,10,0,0,0,0,0,0,0,0,0,0,29,0,29,29,29,0,0,0,0,20,0
"CD004871_pub5_data",0,4,0,0,0,0,0,0,0,0,0,0,105,0,105,12,12,0,0,0,115,0,0
"CD004904_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,6,0,0
"CD004925_pub4_data",0,21,0,0,0,0,0,0,0,0,0,0,2,0,38,87,87,0,0,0,85,1,0
"CD004953_pub5_data",0,0,0,0,0,0,0,0,0,0,0,0,39,1,75,150,152,0,0,0,135,0,0
"CD004992_pub4_data",0,2,0,0,0,0,0,0,0,0,0,0,12,0,14,13,13,0,0,0,25,0,0
"CD005133_pub4_data",0,77,0,0,0,0,0,0,0,0,0,0,7,0,71,174,174,0,0,0,167,0,0
"CD005187_pub6_data",0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,26,26,0,0,0,26,0,0
"CD005343_pub7_data",0,115,0,0,0,0,0,0,0,0,0,0,112,0,126,80,80,0,0,0,156,25,0
"CD005495_pub5_data",0,254,0,0,0,0,0,0,0,0,0,0,294,0,299,49,49,0,0,0,340,0,0
"CD005566_pub4_data",0,540,0,0,0,0,0,0,0,0,0,0,348,0,602,558,558,0,0,0,906,0,0
"CD005582_pub5_data",0,2,0,0,0,0,0,0,0,0,0,0,4,0,10,15,15,0,0,0,12,1,0
"CD005595_pub4_data",0,125,0,0,0,0,0,0,0,0,0,0,167,0,249,152,152,0,0,0,246,0,0
"CD005951_pub5_data",0,0,0,0,0,0,0,0,0,0,0,0,12,0,25,72,72,0,0,0,76,0,0
"CD006023_pub4_data",0,108,0,0,0,0,0,0,0,0,0,0,453,0,655,545,545,0,0,0,777,0,0
"CD006027_pub3_data",0,11,0,0,0,0,0,0,0,0,0,0,24,0,31,65,65,0,0,0,83,0,0
"CD006124_pub3_data",0,30,0,0,0,0,0,0,0,0,0,0,57,0,77,45,45,0,0,0,90,0,0
"CD006140_pub3_data",0,1,0,0,0,0,0,0,0,0,0,0,13,4,28,3,3,0,0,0,3,0,0
"CD006182_pub3_data",0,52,0,0,0,0,0,0,0,0,0,0,11,0,21,69,69,0,0,0,78,0,0
"CD006185_pub6_data",0,175,0,0,0,0,0,0,0,0,0,0,563,113,637,595,595,0,0,0,754,0,0
"CD006214_pub5_data",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"CD006257_pub2_data",0,199,0,0,0,0,0,0,0,0,0,0,183,0,283,530,530,0,0,0,375,0,0
"CD006273_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,2,0,0,0,5,0,0
"CD006404_pub5_data",0,122,0,0,0,0,0,0,0,0,0,0,81,0,235,0,0,0,0,0,0,0,0
"CD006475_pub3_data",0,25,0,0,0,0,0,0,0,0,0,0,0,0,18,222,222,0,0,0,222,0,0
"CD006515_pub2_data",0,11,0,0,0,0,0,0,0,0,0,0,10,0,21,22,22,0,0,0,30,0,0
"CD006536_pub5_data",0,646,0,0,0,0,0,0,0,0,0,0,440,0,848,532,532,0,0,0,940,0,0
"CD006606_pub5_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,30,0,0,0,30,0,0
"CD006632_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,122,0,122,65,65,0,0,0,122,64,0
"CD006689_pub3_data",0,73,0,0,0,0,8,8,0,0,0,0,65,8,115,269,269,0,0,0,260,5,0
"CD006712_pub3_data",0,10,0,0,0,0,10,10,0,0,0,0,35,10,35,10,10,0,0,0,25,0,0
"CD006714_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,11,3,13,22,22,0,0,0,24,0,0
"CD006742_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,17,17,0,0,0,12,0,0
"CD006839_pub5_data",0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,14,14,0,0,0,16,0,0
"CD006913_pub3_data",0,351,0,0,0,0,0,0,0,0,0,0,750,10,750,136,136,0,0,0,549,2,0
"CD006919_pub5_data",0,5,0,0,0,0,0,0,0,0,0,0,57,0,73,108,108,0,0,0,161,0,0
"CD006942_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,33,0,0,0,33,0,0
"CD006982_pub5_data",0,1,0,0,0,0,0,0,0,0,0,0,18,0,19,7,7,0,0,0,17,0,0
"CD007024_pub3_data",0,48,0,0,0,0,0,0,0,0,0,0,53,0,58,84,84,0,0,0,137,0,0
"CD007026_pub7_data",0,25,0,0,0,0,0,0,0,0,0,0,4,0,20,56,56,0,0,0,52,0,0
"CD007079_pub4_data",0,41,0,0,0,0,0,0,0,0,0,0,50,0,60,118,118,0,0,0,148,0,0
"CD007110_pub4_data",0,35,0,0,0,0,0,0,0,0,0,0,48,0,62,63,63,0,0,0,62,10,0
"CD007130_pub5_data",0,19,0,0,0,0,0,0,0,0,0,0,98,2,101,46,47,0,0,0,129,0,0
"CD007156_pub3_data",0,34,0,0,0,0,0,0,0,0,0,0,68,0,69,9,9,0,0,0,71,0,0
"CD007310_pub3_data",0,63,0,0,0,0,0,0,0,0,0,0,28,6,77,173,173,0,0,0,200,0,0
"CD007374_pub3_data",0,56,0,0,0,0,1,1,0,0,0,0,67,1,77,35,35,0,0,0,89,4,0
"CD007388_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,26,0,60,114,114,0,0,0,88,0,0
"CD007491_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,20,0,0,0,20,20,0
"CD007569_pub4_data",0,6,0,0,0,0,0,0,0,0,0,0,19,0,19,19,19,0,0,0,25,10,0
"CD007572_pub4_data",0,3,0,0,0,0,0,0,0,0,0,0,8,0,11,63,63,0,0,0,67,3,0
"CD007639_pub3_data",0,33,0,0,0,0,2,2,0,0,0,0,108,2,114,29,29,0,0,0,123,2,0
"CD007674_pub3_data",0,193,0,0,0,0,0,0,0,0,0,0,192,0,194,143,143,0,0,0,333,6,0
"CD007693_pub3_data",0,25,0,0,0,0,51,51,0,0,0,0,51,51,51,52,52,0,0,0,52,51,0
"CD007784_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,654,0,724,302,302,0,0,0,907,0,0
"CD007809_pub3_data",0,40,0,0,0,0,0,0,0,0,0,0,83,0,88,17,17,0,0,0,88,0,0
"CD007837_pub3_data",0,5,0,0,0,0,0,0,0,0,0,0,44,0,44,1,1,0,0,0,45,0,0
"CD007859_pub5_data",0,122,0,0,0,0,1,1,0,0,0,0,162,1,162,5,5,0,0,0,166,1,0
"CD007872_pub4_data",0,1,0,0,0,0,0,0,0,0,0,0,16,0,17,38,38,0,0,0,25,0,0
"CD007895_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,4,4,0,0,0,14,0,0
"CD007896_pub4_data",0,1325,0,0,0,0,0,0,0,0,0,0,1264,0,1337,318,318,0,0,0,504,0,0
"CD008063_pub3_data",0,66,0,0,0,0,0,0,0,0,0,0,179,0,179,179,179,0,0,0,0,179,0
"CD008145_pub4_data",0,12,0,0,0,0,0,0,0,0,0,0,85,0,85,85,85,0,0,0,58,71,0
"CD008165_pub5_data",0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,20,20,0,0,0,38,0,0
"CD008176_pub3_data",0,530,0,0,0,0,0,0,0,0,0,0,436,0,623,485,485,0,0,0,861,0,0
"CD008237_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,14,14,0,0,0,25,0,0
"CD008309_pub3_data",0,56,0,0,0,0,0,0,0,0,0,0,67,0,94,139,139,0,0,0,114,0,0
"CD008349_pub5_data",0,10,0,0,0,0,0,0,0,0,0,0,588,0,588,0,0,0,0,0,482,0,0
"CD008469_pub3_data",0,17,0,1,0,0,0,0,0,0,0,0,27,0,29,32,32,0,0,0,48,32,0
"CD008493_pub5_data",0,72,0,0,0,0,0,0,0,0,0,0,32,0,54,92,92,0,0,0,92,1,0
"CD008552_pub8_data",0,6,0,0,0,0,0,0,0,0,0,0,226,0,226,226,226,0,0,0,0,173,0
"CD008564_pub3_data",0,226,0,0,0,0,0,0,0,0,0,0,16,0,19,265,265,0,0,0,265,0,0
"CD008628_pub3_data",0,25,0,0,0,0,0,0,0,0,0,0,25,0,37,44,44,0,0,0,66,0,0
"CD008688_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,16,16,0,0,0,16,0,0
"CD008709_pub4_data",0,9,0,0,0,0,0,0,0,0,0,0,44,0,157,340,340,0,0,0,322,0,0
"CD008771_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,2,2,0,0,0,42,0,0
"CD008858_pub5_data",0,133,0,0,0,0,0,0,0,0,0,0,15,0,44,151,151,0,0,0,148,0,0
"CD008873_pub5_data",0,2,0,0,0,0,0,0,0,0,0,0,27,0,38,34,34,0,0,0,55,0,0
"CD008879_pub3_data",0,8,0,0,0,0,0,0,0,0,0,0,13,0,14,35,35,0,0,0,48,0,0
"CD008940_pub4_data",0,12,0,0,0,0,0,0,0,0,0,0,67,0,99,151,151,0,0,0,142,2,0
"CD008973_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,60,60,0,0,0,53,0,0
"CD008995_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,5,0,0
"CD009022_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,43,0,60,30,30,0,0,0,68,0,0
"CD009102_pub2_data",0,1,0,0,0,0,0,0,0,0,0,0,6,0,8,23,23,0,0,0,29,0,0
"CD009235_pub4_data",0,116,0,0,0,0,0,0,0,0,0,0,660,0,718,223,223,0,0,0,623,0,0
"CD009244_pub3_data",0,14,0,0,0,0,0,0,0,0,0,0,3,0,4,27,27,0,0,0,24,0,0
"CD009252_pub2_data",0,21,0,0,0,0,0,0,0,0,0,0,73,0,73,23,23,0,0,0,52,7,0
"CD009298_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,109,2,156,0,0,0,0,0,0,0,0
"CD009362_pub4_data",0,49,0,0,0,0,0,0,0,0,0,0,6,0,39,129,129,0,0,0,129,0,0
"CD009417_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,15,0,22,24,24,0,0,0,37,0,0
"CD009508_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,56,1,56,22,23,0,0,0,64,3,0
"CD009531_pub3_data",0,85,0,0,0,0,1,1,0,0,0,0,109,1,113,28,28,0,0,0,135,1,0
"CD009535_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,67,0,69,17,17,0,0,0,84,0,0
"CD009609_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"CD009679_pub3_data",0,102,0,0,0,0,0,0,0,0,0,0,77,0,133,104,104,0,0,0,170,0,0
"CD009730_pub3_data",0,44,0,0,0,0,0,0,0,0,0,0,114,0,132,52,52,0,0,0,146,0,0
"CD009749_pub3_data",0,30,0,0,0,0,0,0,0,0,0,0,8,0,59,124,124,0,0,0,115,0,0
"CD009752_pub3_data",0,2,0,0,0,0,0,0,0,0,0,0,52,0,63,34,34,0,0,0,71,0,0
"CD009788_pub3_data",0,2,0,0,0,0,0,0,0,0,0,0,20,0,21,12,12,0,0,0,32,0,0
"CD009945_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,0,0,0,7,0,0
"CD010001_pub4_data",0,74,0,0,0,0,0,0,0,0,0,0,82,0,103,162,162,0,0,0,237,0,0
"CD010136_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,20,0,21,3,3,0,0,0,23,0,0
"CD010145_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,19,0,44,131,131,0,0,0,123,1,0
"CD010163_pub3_data",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,0,0,0,5,0,0
"CD010189_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,44,0,44,44,44,0,0,0,44,30,0
"CD010216_pub9_data",0,56,0,0,0,0,0,0,0,0,0,0,115,0,123,129,129,0,0,0,196,0,0
"CD010290_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,31,0,71,133,133,0,0,0,128,0,0
"CD010333_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,3,0,0,0,8,0,0
"CD010441_pub3_data",0,4,0,0,0,0,0,0,0,0,0,0,6,0,9,32,32,0,0,0,26,0,0
"CD010533_pub3_data",0,41,0,0,0,0,0,0,0,0,0,0,43,0,52,83,83,0,0,0,77,5,0
"CD010583_pub6_data",0,0,0,0,0,0,0,0,0,0,0,0,14,0,24,53,53,0,0,0,63,0,0
"CD010779_pub2_data",0,7,0,0,0,0,0,0,0,0,0,0,20,0,20,0,1,0,0,0,14,0,0
"CD010856_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,81,0,81,0,0,0,0,0,77,0,0
"CD010861_pub3_data",0,19,0,0,0,0,0,0,0,0,0,0,70,4,97,0,0,0,0,0,14,0,0
"CD010966_pub4_data",0,1057,0,0,0,0,3,3,0,0,0,0,361,8,877,1028,1028,0,0,0,1104,62,0
"CD011039_pub2_data",0,11,0,0,0,0,0,0,0,0,0,0,9,0,11,19,19,0,0,0,28,2,0
"CD011044_pub3_data",0,0,0,0,0,0,2,2,0,0,0,0,94,2,141,341,341,0,0,0,336,86,0
"CD011060_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,4,0,0
"CD011120_pub3_data",0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,27,27,0,0,0,27,0,0
"CD011192_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,22,22,0,0,0,21,0,0
"CD011197_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,127,0,134,23,23,0,0,0,124,0,0
"CD011204_pub3_data",0,233,0,0,0,0,0,0,0,0,0,0,76,0,95,244,244,0,0,0,320,19,0
"CD011218_pub2_data",0,8,0,0,0,0,3,3,0,0,0,0,10,3,10,9,9,0,0,0,12,0,0
"CD011305_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,26,2,43,53,53,0,0,0,52,0,0
"CD011330_pub2_data",0,1,0,0,0,0,0,0,0,0,0,0,41,0,48,11,11,0,0,0,46,0,0
"CD011381_pub3_data",0,82,0,0,0,0,0,0,0,0,0,0,14,0,52,245,245,0,0,0,259,0,0
"CD011468_pub2_data",0,3,0,0,0,0,0,0,0,0,0,0,4,0,6,6,6,0,0,0,10,0,0
"CD011535_pub7_data",0,659,0,0,0,0,0,0,0,0,0,0,15,2,78,35,35,0,0,0,34,0,0
"CD011575_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,60,60,0,0,0,68,0,0
"CD011600_pub3_data",0,84,0,0,0,0,18,18,0,0,0,0,105,18,107,134,134,0,0,0,169,70,0
"CD011624_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,70,0,71,57,57,0,0,0,50,39,0
"CD011626_pub3_data",0,32,0,0,0,0,0,0,0,0,0,0,54,0,62,11,11,0,0,0,64,0,0
"CD011627_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,24,24,0,0,0,22,0,0
"CD011670_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,9,0,19,23,23,0,0,0,30,0,0
"CD011671_pub3_data",0,1,0,0,0,0,16,16,0,0,0,0,20,16,23,97,97,0,0,0,94,0,0
"CD011689_pub4_data",0,1501,0,0,0,0,0,0,0,0,0,0,928,0,1465,3085,3085,0,0,0,3302,0,0
"CD011762_pub2_data",0,1629,0,0,0,0,0,0,0,0,0,0,214,0,838,1889,1889,0,0,0,1850,0,0
"CD011778_pub2_data",0,18,0,0,0,0,0,0,0,0,0,0,205,0,205,194,194,0,0,0,9,30,0
"CD011793_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,75,0,99,40,40,0,0,0,115,0,0
"CD011800_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,3,3,0,0,0,11,0,0
"CD011806_pub2_data",0,2,0,0,0,0,0,0,0,0,0,0,85,0,94,72,72,0,0,0,51,0,0
"CD011841_pub3_data",0,7,0,0,0,0,0,0,0,0,0,0,67,0,73,46,46,0,0,0,105,0,0
"CD011851_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,66,0,70,8,8,0,0,0,74,0,0
"CD011858_pub2_data",0,5,0,0,0,0,0,0,0,0,0,0,24,0,57,51,51,0,0,0,73,0,0
"CD011866_pub3_data",0,5,0,0,0,0,0,0,0,0,0,0,56,0,58,103,103,0,0,0,155,0,0
"CD011885_pub2_data",0,24,0,0,0,0,0,0,0,0,0,0,58,0,96,124,124,0,0,0,164,0,0
"CD012067_pub3_data",0,145,0,0,0,0,0,0,0,0,0,0,206,0,264,213,213,0,0,0,385,1,0
"CD012079_pub2_data",0,120,0,0,0,0,0,0,0,0,0,0,146,0,286,451,452,0,0,0,527,0,0
"CD012152_pub4_data",0,11,0,0,0,0,0,0,0,0,0,0,7,0,14,60,60,0,0,0,58,0,0
"CD012170_pub2_data",0,36,0,0,0,0,0,0,0,0,0,0,59,0,59,59,59,0,0,0,0,6,0
"CD012178_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,24,24,0,0,0,21,0,0
"CD012186_pub2_data",0,12,0,0,0,0,0,0,0,0,0,0,8,0,37,202,202,0,0,0,194,0,0
"CD012214_pub3_data",0,3,0,0,0,0,0,0,0,0,0,0,8,0,13,25,25,0,0,0,17,1,0
"CD012265_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0,0,0,4,0,0
"CD012268_pub2_data",0,37,0,0,0,0,0,0,0,0,0,0,207,0,207,0,0,0,0,0,207,0,0
"CD012335_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0,0
"CD012397_pub2_data",0,10,0,0,0,0,2,2,0,0,0,0,8,2,13,23,23,0,0,0,22,2,0
"CD012426_pub2_data",0,9,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
"CD012429_pub2_data",0,74,0,0,0,0,0,0,0,0,0,0,21,0,50,84,84,0,0,0,102,0,0
"CD012445_pub2_data",0,11,0,0,0,0,0,0,0,0,0,0,46,0,46,0,0,0,0,0,44,0,0
"CD012503_pub3_data",0,214,0,0,0,0,0,0,0,0,0,0,70,0,133,259,259,0,0,0,251,0,0
"CD012532_pub2_data",0,2,0,0,0,0,0,0,0,0,0,0,14,0,14,14,14,0,0,0,14,0,0
"CD012570_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,21,0,26,28,28,0,0,0,49,0,0
"CD012572_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,31,0,40,14,14,0,0,0,45,0,0
"CD012586_pub2_data",0,84,0,0,0,0,0,0,0,0,0,0,124,0,175,472,472,0,0,0,566,0,0
"CD012594_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0
"CD012609_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,28,0,0,0,28,0,0
"CD012623_pub2_data",0,20,0,0,0,0,0,0,0,0,0,0,6,2,6,25,25,0,0,0,31,0,0
"CD012635_pub2_data",0,0,0,0,0,0,2,2,0,0,0,0,3,2,14,52,52,0,0,0,51,2,0
"CD012642_pub2_data",0,72,0,0,0,0,0,0,0,0,0,0,16,0,51,101,101,0,0,0,99,0,0
"CD012693_pub3_data",0,164,0,0,0,0,37,37,0,0,0,0,150,37,229,417,417,0,0,0,406,49,0
"CD012712_pub2_data",0,276,0,0,0,0,0,0,0,0,0,0,105,0,199,464,464,0,0,0,461,1,0
"CD012718_pub2_data",0,22,0,0,0,0,11,11,0,0,0,0,38,11,38,38,38,0,0,0,59,11,0
"CD012757_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,24,0,0
"CD012850_pub2_data",0,20,0,0,0,0,0,0,0,0,0,0,65,0,72,39,39,0,0,0,104,0,0
"CD012886_pub3_data",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD012891_pub2_data",0,4,0,0,0,0,10,10,0,0,0,0,15,10,30,54,54,0,0,0,53,4,0
"CD012905_pub2_data",0,25,0,0,0,0,0,0,0,0,0,0,33,0,52,74,74,0,0,0,95,0,0
"CD012925_pub2_data",0,54,0,0,0,0,0,0,0,0,0,0,78,0,79,97,97,0,0,0,53,2,0
"CD012942_pub2_data",0,648,0,0,0,0,0,0,0,0,0,0,126,0,152,699,699,0,0,0,760,4,0
"CD012967_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,3,3,0,0,0,8,0,0
"CD012993_pub2_data",0,27,0,0,0,0,0,0,0,0,0,0,28,0,31,27,27,0,0,0,55,0,0
"CD012997_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,12,12,0,0,0,11,0,0
"CD013023_pub2_data",0,35,0,0,0,0,0,0,0,0,0,0,4,0,26,53,53,0,0,0,49,1,0
"CD013038_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,35,0,36,4,4,0,0,0,30,0,0
"CD013042_pub2_data",0,207,0,0,0,0,0,0,0,0,0,0,231,0,241,89,89,0,0,0,298,0,0
"CD013051_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,19,0,0
"CD013052_pub3_data",0,1,0,0,0,0,0,0,0,0,0,0,2,1,5,44,44,0,0,0,42,0,0
"CD013053_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,11,0,0
"CD013054_pub3_data",0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,54,54,0,0,0,54,1,0
"CD013055_pub3_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,0,0,0,11,0,0
