"Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)",1.89006691030274,3.00405778505056,0,0.629171289483346,65.7730223489931,0.531416184428536
"frac_pre",-11.5407824414088,3.46560008905979,0,-3.33009641759901,31.3368786217166,0.00223244881726604
"log_k_all",-0.0877176989048125,0.659634161605493,0,-0.132979314914975,50.9619363164606,0.894733443260588
"data_typecontinuous",-6.61915540241438,2.84226214940988,0,-2.3288335327509,10.2027289995037,0.0416547660315084
"data_typegiv",-1.78326140604791,1.28717069986953,0,-1.38541174548851,1.60024882539755,0.327634004977058
"outcome_categorybiomarker",2.57929133533305,3.01186886681116,0,0.856375708702048,12.7714557302529,0.407571239499869
"outcome_categoryfunction_score",3.16839953820224,3.3528998056265,0,0.944972925491346,17.4672921327876,0.357561924308314
"outcome_categorylength_of_stay",2.41188873683719,2.65370546682424,0,0.908875821748057,16.4976501086514,0.376502339667604
"outcome_categorymortality",0.342518678044436,2.93975340046519,0,0.116512724499353,42.0431364529027,0.907800985424454
"outcome_categoryother",1.21983666887602,2.07512223346869,0,0.587838465224767,64.4961832181785,0.558693403122543
"outcome_categoryother_small",0.95404463132666,2.24642210297686,0,0.424695176415155,1.87545183687823,0.714784284339944
"outcome_categorypain",3.66698641256635,2.43773481487119,0,1.5042597702573,18.8256374099195,0.149106984563242
"outcome_categoryquality_of_life",-1.50825632069697,2.3067196490103,0,-0.65385332861932,14.2288121657144,0.523633664147735
"outcome_categoryrelapse",-3.01547925434313,2.54119689106541,0,-1.18663739316904,11.9237025408713,0.25847599845721
"outcome_categoryresponse",-7.33401845298994,3.72154945335667,0,-1.97068950578501,13.3748877673665,0.0698173753402346
