"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","method_orig","method_fix","method_changed","chosen_effect_orig","chosen_effect_fix","chosen_ci_lb_orig","chosen_ci_ub_orig","chosen_ci_lb_fix","chosen_ci_ub_fix","sparse_events","double_zero","effect_delta"
"CD000028_pub4_data","1::1",1,"1","All-cause mortality","OR_cc","OR_cc",FALSE,-0.23965120466964,-0.23965120466964,-0.382619270094527,-0.0966831392447535,-0.382619270094527,-0.0966831392447535,0,0,0
"CD000028_pub4_data","1::2",1,"2","All-cause mortality","RD","RD",FALSE,0.0399949512151858,0.0399949512151858,0.00109562825034308,0.0788942741800285,0.00109562825034308,0.0788942741800285,1,1,0
"CD000028_pub4_data","1::overall",1,"overall","All-cause mortality","OR_cc","OR_cc",FALSE,-0.115253952293261,-0.115253952293261,-0.198462120609324,-0.0320457839771983,-0.198462120609324,-0.0320457839771983,0,0,0
"CD000028_pub4_data","2::1",2,"1","Cause of cardiovascular mortality","RD","RD",FALSE,-0.0215566238944025,-0.0215566238944025,-0.03109647130223,-0.012016776486575,-0.03109647130223,-0.012016776486575,2,0,0
"CD000028_pub4_data","2::2",2,"2","Cause of cardiovascular mortality","RD","RD",FALSE,-0.00733849764600748,-0.00733849764600748,-0.0115152930475941,-0.00316170224442087,-0.0115152930475941,-0.00316170224442087,2,0,0
"CD000028_pub4_data","3::1",3,"1","Cerebrovascular mortality and morbidity","OR_cc","OR_cc",FALSE,-0.445631027006216,-0.445631027006216,-0.572503223391453,-0.318758830620978,-0.572503223391453,-0.318758830620978,0,0,0
"CD000028_pub4_data","3::2",3,"2","Cerebrovascular mortality and morbidity","RD","RD",FALSE,-0.0241968216463642,-0.0241968216463642,-0.0398647915890239,-0.00852885170370438,-0.0398647915890239,-0.00852885170370438,1,0,0
"CD000028_pub4_data","3::overall",3,"overall","Cardiovascular mortality and morbidity","OR_cc","OR_cc",FALSE,-0.383482254499255,-0.383482254499255,-0.485245242854525,-0.281719266143985,-0.485245242854525,-0.281719266143985,0,0,0
"CD000028_pub4_data","4::1",4,"1","Coronary heart disease mortality and morbidity","OR_cc","OR_cc",FALSE,-0.272302613392712,-0.272302613392712,-0.39211831347362,-0.152486913311804,-0.39211831347362,-0.152486913311804,0,0,0
"CD000028_pub4_data","4::2",4,"2","Coronary heart disease mortality and morbidity","RD","RD",FALSE,-0.00178445538060141,-0.00178445538060141,-0.00728473074063453,0.00371581997943171,-0.00728473074063453,0.00371581997943171,4,1,0
"CD000028_pub4_data","4::overall",4,"overall","Cerebrovascular mortality and morbidity","OR_cc","OR_cc",FALSE,-0.436235267694547,-0.436235267694547,-0.559744817112523,-0.31272571827657,-0.559744817112523,-0.31272571827657,0,0,0
"CD000028_pub4_data","5::overall",5,"overall","Coronary heart disease mortality and morbidity","OR_cc","OR_cc",FALSE,-0.140192643710262,-0.140192643710262,-0.385079957697052,0.104694670276528,-0.385079957697052,0.104694670276528,0,0,0
"CD000028_pub4_data","6::overall",6,"overall","Withdrawal due to adverse effects","OR_cc","OR_cc",FALSE,0.805260630807161,0.805260630807161,-0.131702829491559,1.74222409110588,-0.131702829491559,1.74222409110588,0,0,0
"CD000143_pub2_data","1::overall",1,"overall","Extubation failure","RD","RD",FALSE,-0.187237216702086,-0.187237216702086,-0.259470095058291,-0.11500433834588,-0.259470095058291,-0.11500433834588,3,0,0
"CD000143_pub2_data","2::overall",2,"overall","Endotracheal reintubation","RD","RD",FALSE,-0.0692555504467284,-0.0692555504467284,-0.137574243233744,-0.000936857659713242,-0.137574243233744,-0.000936857659713242,3,0,0
"CD000143_pub2_data","4::overall",4,"overall","Oxygen dependency at 28 days","OR_cc","OR_cc",FALSE,-0.17791741421883,-0.17791741421883,-0.975921812951837,0.620086984514177,-0.975921812951837,0.620086984514177,0,0,0
"CD000219_pub5_data","1::overall",1,"overall","Pain","OR_cc","OR_cc",FALSE,-0.391475083466115,-0.391475083466115,-0.538581645713975,-0.244368521218255,-0.538581645713975,-0.244368521218255,0,0,0
"CD000219_pub5_data","2::overall",2,"overall","Vomiting, diarrhoea or rash","RD","RD",FALSE,0.0780540465499313,0.0780540465499313,0.0366268229237578,0.119481270176105,0.0366268229237578,0.119481270176105,2,0,0
"CD000219_pub5_data","3::overall",3,"overall","Abnormal tympanometry","OR_cc","OR_cc",FALSE,-0.24432973093191,-0.24432973093191,-0.430440957387393,-0.0582185044764273,-0.430440957387393,-0.0582185044764273,0,0,0
"CD000219_pub5_data","4::overall",4,"overall","Tympanic membrane perforation","RD","RD",FALSE,-0.0167414916007323,-0.0167414916007323,-0.0361508894047324,0.0026679062032678,-0.0361508894047324,0.0026679062032678,4,2,0
"CD000219_pub5_data","5::overall",5,"overall","Contralateral otitis (in unilateral cases)","OR_cc","OR_cc",FALSE,-0.435430088842618,-0.435430088842618,-0.993564772979594,0.122704595294358,-0.993564772979594,0.122704595294358,0,0,0
"CD000219_pub5_data","6::overall",6,"overall","Late AOM recurrences","OR_cc","OR_cc",FALSE,-0.107287777800948,-0.107287777800948,-0.340120380923341,0.125544825321445,-0.340120380923341,0.125544825321445,0,0,0
"CD000478_pub5_data","1::overall",1,"overall","Failure to maintain remission","RD","RD",FALSE,-0.193089453412727,-0.193089453412727,-0.275832429108513,-0.110346477716941,-0.275832429108513,-0.110346477716941,8,1,0
"CD000478_pub5_data","2::overall",2,"overall","Withdrawal due to adverse event","RD","RD",FALSE,0.0964145889662329,0.0964145889662329,0.00926373329538287,0.183565444637083,0.00926373329538287,0.183565444637083,5,2,0
"CD000478_pub5_data","3::overall",3,"overall","Pancreatitis","RD","RD",FALSE,0.0879730980162044,0.0879730980162044,-0.00849182569634768,0.184438021728756,-0.00849182569634768,0.184438021728756,2,0,0
"CD000478_pub5_data","4::overall",4,"overall","Bone marrow suppression","RD","RD",FALSE,0.0244316006336923,0.0244316006336923,-0.0242742769859096,0.0731374782532942,-0.0242742769859096,0.0731374782532942,2,0,0
"CD000547_pub3_data","1::overall",1,"overall","Uterine volume (mL) (preoperative)","OR_cc","RD",TRUE,0.0655894329313119,NA,-0.683198577470479,0.814377443333103,NA,NA,28,28,NA
"CD000547_pub3_data","10::overall",10,"overall","Proportion with vertical incision","RD","RD",FALSE,0.11427180464374,0.11427180464374,0.0270266259480239,0.201516983339455,0.0270266259480239,0.201516983339455,10,0,0
"CD000547_pub3_data","11::overall",11,"overall","Duration of hospital stay (days)","OR_cc","RD",TRUE,0.00502055638585296,NA,-1.96695646526597,1.97699757803768,NA,NA,4,4,NA
"CD000547_pub3_data","13::overall",13,"overall","Postoperative haemoglobin","OR_cc","RD",TRUE,0.0200018946120046,NA,-1.95518859220477,1.99519238142878,NA,NA,4,4,NA
"CD000547_pub3_data","2::overall",2,"overall","Postoperative morbidity (complications)","OR_cc","RD",TRUE,0.0299441052219701,NA,-1.94655953448393,2.00644774492787,NA,NA,4,4,NA
"CD000547_pub3_data","3::overall",3,"overall","Fibroid volume (mL) (preoperative)","OR_cc","RD",TRUE,-0.00720866156329724,NA,-0.817862021178761,0.803444698052166,NA,NA,24,24,NA
"CD000547_pub3_data","4::overall",4,"overall","Frequency of blood transfusions","RD","RD",FALSE,0.242998724626201,0.242998724626201,-0.105936896018933,0.591934345271335,-0.105936896018933,0.591934345271335,6,3,0
"CD000547_pub3_data","5::overall",5,"overall","Haemoglobin (preoperative)","RD","RD",FALSE,-0.0385717406780236,-0.0385717406780236,-0.0793913542271233,0.00224787287107607,-0.0793913542271233,0.00224787287107607,18,14,0
"CD000547_pub3_data","6::overall",6,"overall","Postoperative morbidity (complications)","RD","RD",FALSE,-0.0149074373138737,-0.0149074373138737,-0.0340013574305625,0.00418648280281516,-0.0340013574305625,0.00418648280281516,9,0,0
"CD000547_pub3_data","7::overall",7,"overall","Total frequency of adverse events","RD","RD",FALSE,0.0138916375729962,0.0138916375729962,0.00517144843639135,0.0226118267096011,0.00517144843639135,0.0226118267096011,35,5,0
"CD000547_pub3_data","8::overall",8,"overall","Individual adverse events","RD","RD",FALSE,0.0978985736017303,0.0978985736017303,0.057299465143645,0.138497682059816,0.057299465143645,0.138497682059816,12,1,0
"CD000547_pub3_data","9::overall",9,"overall","Proportion undergoing vaginal rather than abdominal procedure","RD","RD",FALSE,0.347787409899426,0.347787409899426,-0.0249776487822888,0.720552468581142,-0.0249776487822888,0.720552468581142,1,1,0
"CD001155_pub3_data","1::overall",1,"overall","Clinical vertebral fractures","RD","RD",FALSE,-0.0100284526713295,-0.0100284526713295,-0.017677772308817,-0.00237913303384186,-0.017677772308817,-0.00237913303384186,128,89,0
"CD001155_pub3_data","2::overall",2,"overall","Non-vertebral fractures","RD","RD",FALSE,-0.00277364437550082,-0.00277364437550082,-0.00448541234465428,-0.00106187640634736,-0.00448541234465428,-0.00106187640634736,284,195,0
"CD001155_pub3_data","3::overall",3,"overall","Hip fractures","RD","RD",FALSE,-0.00297338291797557,-0.00297338291797557,-0.00422466225942529,-0.00172210357652584,-0.00422466225942529,-0.00172210357652584,50,43,0
"CD001155_pub3_data","4::overall",4,"overall","Wrist fractures","RD","RD",FALSE,-0.00179715119018787,-0.00179715119018787,-0.00568497056471581,0.00209066818434007,-0.00568497056471581,0.00209066818434007,49,29,0
"CD001155_pub3_data","5::overall",5,"overall","Radiographic vertebral fractures","RD","RD",FALSE,-0.0321527541160525,-0.0321527541160525,-0.0416300150072439,-0.0226754932248612,-0.0416300150072439,-0.0226754932248612,14,7,0
"CD001155_pub3_data","6::overall",6,"overall","Withdrawals due to adverse events","RD","RD",FALSE,0.00138003227089727,0.00138003227089727,-0.00642630198600479,0.00918636652779932,-0.00642630198600479,0.00918636652779932,15,4,0
"CD001155_pub3_data","7::overall",7,"overall","Serious adverse events","RD","RD",FALSE,-0.00463821131866989,-0.00463821131866989,-0.0183143005064433,0.00903787786910354,-0.0183143005064433,0.00903787786910354,2,1,0
"CD001155_pub3_data","8::overall",8,"overall","Gastrointestinal adverse events","RD","RD",FALSE,0.00433262093223695,0.00433262093223695,-0.0136843377706545,0.0223495796351284,-0.0136843377706545,0.0223495796351284,3,2,0
"CD001155_pub3_data","9::overall",9,"overall","Atypical femoral fracture","OR_cc","RD",TRUE,-0.00941616274101494,NA,-1.25252699365975,1.23369466817772,NA,NA,10,10,NA
"CD001321_pub7_data","1::overall",1,"overall","Symptomatic UTI: culture-verified UTI","RD","RD",FALSE,-0.0757943812958723,-0.0757943812958723,-0.097042734283471,-0.0545460283082737,-0.097042734283471,-0.0545460283082737,11,4,0
"CD001321_pub7_data","2::overall",2,"overall","Clinical UTI: symptoms, no culture","RD","RD",FALSE,-0.0593927793715584,-0.0593927793715584,-0.0904992267551737,-0.0282863319879431,-0.0904992267551737,-0.0282863319879431,4,1,0
"CD001321_pub7_data","3::overall",3,"overall","Microbiological UTI: positive culture without known symptoms","RD","RD",FALSE,0.0143322263162177,0.0143322263162177,-0.0252326987490909,0.0538971513815263,-0.0252326987490909,0.0538971513815263,1,0,0
"CD001321_pub7_data","4::overall",4,"overall","Death","RD","RD",FALSE,0.00742624782038314,0.00742624782038314,-0.0137853942814444,0.0286378899222107,-0.0137853942814444,0.0286378899222107,1,1,0
"CD001321_pub7_data","5::overall",5,"overall","Gastrointestinal adverse events","RD","RD",FALSE,0.0080710934066093,0.0080710934066093,0.00080373880766298,0.0153384480055556,0.00080373880766298,0.0153384480055556,5,0,0
"CD001396_pub4_data","1::overall",1,"overall","Self-rated overall premenstrual symptoms","RD","RD",FALSE,-0.0255665937301966,-0.0255665937301966,-0.217721056399212,0.166587868938819,-0.217721056399212,0.166587868938819,46,46,0
"CD001396_pub4_data","10::overall",10,"overall","Dry mouth","RD","RD",FALSE,0.055798728885026,0.055798728885026,0.0298134864167108,0.0817839713533413,0.0298134864167108,0.0817839713533413,3,0,0
"CD001396_pub4_data","11::overall",11,"overall","Asthenia/decreased energy","RD","RD",FALSE,0.102512996754108,0.102512996754108,0.0765620485424826,0.128463944965734,0.0765620485424826,0.128463944965734,3,0,0
"CD001396_pub4_data","12::overall",12,"overall","Diarrhoea","RD","RD",FALSE,0.044446567415679,0.044446567415679,0.0308159575527691,0.0580771772785888,0.0308159575527691,0.0580771772785888,5,0,0
"CD001396_pub4_data","13::overall",13,"overall","Constipation","RD","RD",FALSE,0.0355987158408401,0.0355987158408401,0.00869195013617921,0.062505481545501,0.00869195013617921,0.062505481545501,7,0,0
"CD001396_pub4_data","14::overall",14,"overall","Withdrawal due to adverse effects","RD","RD",FALSE,0.0231949619015941,0.0231949619015941,0.00339695112128241,0.0429929726819059,0.00339695112128241,0.0429929726819059,7,0,0
"CD001396_pub4_data","15::overall",15,"overall","Psychological symptoms","OR_cc","RD",TRUE,-0.333554005017934,NA,-1.72518222107234,1.05807421103647,NA,NA,8,8,NA
"CD001396_pub4_data","16::overall",16,"overall","Physical symptoms","OR_cc","RD",TRUE,-0.19972890160598,NA,-1.69030934884366,1.2908515456317,NA,NA,7,7,NA
"CD001396_pub4_data","17::overall",17,"overall","Functional symptoms","OR_cc","RD",TRUE,-0.448234716936244,NA,-2.72407899371958,1.82760955984709,NA,NA,3,3,NA
"CD001396_pub4_data","18::overall",18,"overall","Irritability","OR_cc","RD",TRUE,-0.179512118301563,NA,-1.67390536083197,1.31488112422885,NA,NA,7,7,NA
"CD001396_pub4_data","19::overall",19,"overall","Response rates","OR_cc","OR_cc",FALSE,0.849725194880363,0.849725194880363,0.700195722281875,0.999254667478851,0.700195722281875,0.999254667478851,0,0,0
"CD001396_pub4_data","2::overall",2,"overall","Nausea","RD","RD",FALSE,0.171361490582361,0.171361490582361,0.139711293310696,0.203011687854026,0.139711293310696,0.203011687854026,4,0,0
"CD001396_pub4_data","20::overall",20,"overall","Withdrawal for any reason","RD","RD",FALSE,-0.00150471687067638,-0.00150471687067638,-0.0400980122258685,0.0370885784845158,-0.0400980122258685,0.0370885784845158,2,2,0
"CD001396_pub4_data","3::overall",3,"overall","Insomnia or sleep disturbance","RD","RD",FALSE,0.0545554131702025,0.0545554131702025,0.0391817279731932,0.0699290983672117,0.0391817279731932,0.0699290983672117,6,0,0
"CD001396_pub4_data","4::overall",4,"overall","Sexual dysfunction or decreased libido","RD","RD",FALSE,0.0570622484143037,0.0570622484143037,0.034129786472479,0.0799947103561285,0.034129786472479,0.0799947103561285,6,0,0
"CD001396_pub4_data","5::overall",5,"overall","Fatigue or sedation","RD","RD",FALSE,0.052722551126549,0.052722551126549,0.017068754261489,0.0883763479916091,0.017068754261489,0.0883763479916091,4,0,0
"CD001396_pub4_data","6::overall",6,"overall","Dizziness or vertigo","RD","RD",FALSE,0.0404531815626793,0.0404531815626793,0.0233684468469985,0.0575379162783601,0.0233684468469985,0.0575379162783601,5,0,0
