"Analysis.group","Analysis.number","Analysis.name","Subgroup","Subgroup.number","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
5,5,"Multifactorial interventions (grouped by alignment with QCA theory): Risk of falling sensitivity analyses: excluding trials at high risk of bias","Facility engagement and tailored intervention delivery",1,"SUBGROUP_AND_OVERALL","Dyer 2004","2004",0.01,0.17,0,0,0,102,0,0,0,94,0,0.0784,8.790669,1.01005,0.723834,1.409442,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
5,5,"Multifactorial interventions (grouped by alignment with QCA theory): Risk of falling sensitivity analyses: excluding trials at high risk of bias","Facility engagement and tailored intervention delivery",1,"SUBGROUP_AND_OVERALL","Jensen 2002","2002",-0.34,0.14,0,0,0,188,0,0,0,196,0,0.0440999999999999,12.927948,0.71177,0.540968,0.936501,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
6,5,"Adverse events","Active exercise: Severe soreness",1,"SUBGROUP_AND_OVERALL","Mulrow 1994","1994",0,0,0,0,10,97,0,0,11,97,0,0,100,0.909091,0.4049,2.04111,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
9,5,"Risk of falling (grouped by level of cognition) sensitivity analysis: excluding trials at high risk of bias","No cognitive impairment",1,"SUBGROUP_AND_OVERALL","Yokoi 2015","2015",-1.56,1.02,0,0,0,51,0,0,0,54,0,0,0.884015,0.210136,0.028463,1.551409,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
10,5,"Risk of falling sensitivity analysis: excluding trials at high risk of bias","Moderate/low intensity group OR ≥ 1h/wk for ambulatory residents",1,"SUBGROUP_AND_OVERALL","Brett 2021","2021",-0.734,0.301,0,0,0,36,0,0,0,19,0,0,8.915427,0.479985,0.266082,0.865844,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
10,5,"Risk of falling sensitivity analysis: excluding trials at high risk of bias","Moderate/low intensity group OR ≥ 1h/wk for ambulatory residents",1,"SUBGROUP_AND_OVERALL","Dhargave 2020","2020",-0.329,0.311,0,0,0,75,0,0,0,77,0,0,8.533773,0.719643,0.391195,1.323856,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
10,5,"Risk of falling sensitivity analysis: excluding trials at high risk of bias","Moderate/low intensity group OR ≥ 1h/wk for ambulatory residents",1,"SUBGROUP_AND_OVERALL","Hewitt 2018","2018",-0.431,0.149,0,0,0,113,0,0,0,108,0,0.0302759999999999,17.82525,0.649859,0.485277,0.870258,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
10,5,"Risk of falling sensitivity analysis: excluding trials at high risk of bias","Moderate/low intensity group OR ≥ 1h/wk for ambulatory residents",1,"SUBGROUP_AND_OVERALL","Kerse 2009","2009",-0.062,0.254,0,0,0,33,0,0,0,29,0,0.0625,11.01513,0.939883,0.571306,1.546247,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
10,5,"Risk of falling sensitivity analysis: excluding trials at high risk of bias","Moderate/low intensity group OR ≥ 1h/wk for ambulatory residents",1,"SUBGROUP_AND_OVERALL","Taylor 2024","2024",0.1,0.11,0,0,0,262,0,0,0,258,0,0.0121,20.911411,1.105171,0.890835,1.371076,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
10,5,"Risk of falling sensitivity analysis: excluding trials at high risk of bias","Moderate/low intensity group OR ≥ 1h/wk for ambulatory residents",1,"SUBGROUP_AND_OVERALL","Yokoi 2015","2015",-1.56,1.02,0,0,0,51,0,0,0,54,0,0,1.122738,0.210136,0.028463,1.551409,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
12,5,"Adverse events","Adverse events",1,"SUBGROUP_AND_OVERALL","Cateau 2021b","2021",0,0,0,0,3,31,0,0,0,27,0,0,15.519399,6.125,0.330523,113.503884,"Pharmacist led individual desprescribing intervention (IDeI) with collaborative multiD treatment modification plan","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
15,5,"Adverse events","Gastrointestinal disorders",1,"SUBGROUP_AND_OVERALL","Bischoff 2003","",0,0,0,0,2,62,0,0,0,60,0,0,2.301095,4.84127,0.237235,98.7963,"Constipation","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
15,5,"Adverse events","Gastrointestinal disorders",1,"SUBGROUP_AND_OVERALL","Chapuy 2002","2002",0,0,0,0,27,393,0,0,16,190,0,0,97.698905,0.81584,0.450612,1.47709,"Vitamin D + calcium supplementation","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016064/full","10.1002/14651858.CD016064","5::1","CD016064_data","direction_only",FALSE,FALSE,FALSE,-0.0731073313258786,0.0162084790444035,-0.548513812990718,0.402299150338961,-0.0220883219201325,0.0545052800089395,TRUE,TRUE
