"Analysis.group","Analysis.number","Analysis.name","Subgroup","Subgroup.number","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","Bias.arising.from.the.randomization.process.judgement","Bias.arising.from.the.randomization.process.support","Bias.due.to.deviations.from.intended.interventions.judgement","Bias.due.to.deviations.from.intended.interventions.support","Bias.due.to.missing.outcome.data.judgement","Bias.due.to.missing.outcome.data.support","Bias.in.measurement.of.the.outcome.judgement","Bias.in.measurement.of.the.outcome.support","Bias.in.selection.of.the.reported.result.judgement","Bias.in.selection.of.the.reported.result.support","Overall.bias.judgement","Overall.bias.support","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,11,"Adverse events (total): duration of administration subgroup analysis","≤1 day",3,"SUBGROUP_AND_OVERALL","Lumanauw 2019","2019",NA,NA,NA,NA,29,68,NA,NA,1,32,NA,NA,22.248935,13.647059,1.944172,95.795156,"","Low risk","<p>Computer-generated randomisation sequence. All study medications were identical in appearance and prepared by a study pharmacist that was likely independent of the enrollment personnel. Observed between-group differences in the distribution of baseline variables compatible with chance.</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","11::3","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,2.20297778156645,0.305829032058789,-0.136075618785215,4.54203118191812,0.00464509068979058,0.607012973427788,TRUE,FALSE
1,11,"Adverse events (total): duration of administration subgroup analysis","≤1 day",3,"SUBGROUP_AND_OVERALL","Niesters 2013","2013",NA,NA,NA,NA,3,3,NA,NA,0,4,NA,NA,14.20214,8.75,0.614791,124.534174,"Data from first phase crossover provided by study author.","Some concerns","<p>The only information about randomisation and concealment methods was a statement that the study was randomised. No useful baseline information to assess adequacy of the randomisation process.</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","11::3","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,2.20297778156645,0.305829032058789,-0.136075618785215,4.54203118191812,0.00464509068979058,0.607012973427788,TRUE,FALSE
1,11,"Adverse events (total): duration of administration subgroup analysis","≤1 day",3,"SUBGROUP_AND_OVERALL","Pickering 2020","2020",NA,NA,NA,NA,3,8,NA,NA,2,6,NA,NA,31.732312,1.125,0.26588,4.760142,"Data from first phase crossover provided by study author.","Low risk","<p>Method to generate random sequence not reported but use of blocks described (probably random). Allocation process controlled by researcher independent of enrolment personnel. Crossover trial; baseline information not reported by treatment phase to assess adequacy of randomisation.</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","11::3","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,2.20297778156645,0.305829032058789,-0.136075618785215,4.54203118191812,0.00464509068979058,0.607012973427788,TRUE,FALSE
1,23,"Tolerability","",NA,"SUBGROUP_AND_OVERALL","Lumanauw 2019","2019",NA,NA,NA,NA,3,68,NA,NA,0,32,NA,NA,51.033185,3.347826,0.178049,62.94857,"","Low risk","<p>Computer-generated randomisation sequence. All study medications were identical in appearance and prepared by a study pharmacist that was likely independent of the enrollment personnel. Observed between-group differences in the distribution of baseline variables compatible with chance.</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","23::overall","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,0.507094797797082,0.0444705582103977,-0.505004434958881,1.51919403055305,0.00757194717615613,0.0813691692446392,TRUE,TRUE
1,23,"Tolerability","",NA,"SUBGROUP_AND_OVERALL","Noppers 2011a","2011",NA,NA,NA,NA,0,12,NA,NA,0,12,NA,NA,NA,NA,NA,NA,"","Low risk","<p>Computer-generated random list prepared by independent physician who also packed study medicines according to list. The independent physician was probably not involved in enrolment. Observed between-group differences in distributions of baseline variables compatible with chance.</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","23::overall","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,0.507094797797082,0.0444705582103977,-0.505004434958881,1.51919403055305,0.00757194717615613,0.0813691692446392,TRUE,TRUE
1,23,"Tolerability","",NA,"SUBGROUP_AND_OVERALL","Sigtermans 2009","2009",NA,NA,NA,NA,2,30,NA,NA,0,30,NA,NA,48.966815,5,0.250115,99.954163,"","Low risk","<p>Computer-generated random sequence. Allocation process controlled by independent physician not otherwise involved in the study. Observed between-group differences in distributions of baseline variables compatible with chance.&nbsp;</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","23::overall","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,0.507094797797082,0.0444705582103977,-0.505004434958881,1.51919403055305,0.00757194717615613,0.0813691692446392,TRUE,TRUE
7,23,"Tolerability","",NA,"SUBGROUP_AND_OVERALL","Eisenberg 1998","1998",NA,NA,NA,NA,3,12,NA,NA,1,12,NA,NA,26.210985,3,0.361176,24.918621,"","Some concerns","<p>Method to generated random sequence not reported but random blocks of 4 were described (probably adequately generated). No information on allocation concealment. Limited baseline information presented but observed between-group differences in distributions of variables compatible with chance.</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","23::overall","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,0.507094797797082,0.0444705582103977,-0.505004434958881,1.51919403055305,0.00757194717615613,0.0813691692446392,TRUE,TRUE
7,23,"Tolerability","",NA,"SUBGROUP_AND_OVERALL","Maier 2003","2003",NA,NA,NA,NA,2,18,NA,NA,0,18,NA,NA,14.344171,5,0.256766,97.365074,"","Some concerns","<p>Computer-generated random sequence. Insufficient information to establish whether the allocation schedule was concealed. Observed between-group differences in distribution of baseline variables compatible with chance.</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","23::overall","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,0.507094797797082,0.0444705582103977,-0.505004434958881,1.51919403055305,0.00757194717615613,0.0813691692446392,TRUE,TRUE
7,23,"Tolerability","",NA,"SUBGROUP_AND_OVERALL","Martin 2019","2019",NA,NA,NA,NA,1,20,NA,NA,2,20,NA,NA,22.381138,0.5,0.049183,5.08306,"","Low risk","<p>Computer-generated random sequence. Allocation process reported to be controlled by independent party. Observed between-group differences in distributions of baseline variables compatible with chance.</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","23::overall","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,0.507094797797082,0.0444705582103977,-0.505004434958881,1.51919403055305,0.00757194717615613,0.0813691692446392,TRUE,TRUE
7,23,"Tolerability","",NA,"SUBGROUP_AND_OVERALL","Nikolajsen 2000","2000",NA,NA,NA,NA,0,9,NA,NA,2,6,NA,NA,15.182588,0.14,0.00787,2.490612,"","Some concerns","<p>The only information about randomisation methods is a statement that the study is randomised. Drug containers sequentially numbered and identical in appearance but there was no information on the process of allocating participants to interventions. Crossover trial; baseline information not reported by treatment phase to assess adequacy of randomisation process.</p>","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015373.pub2/full","10.1002/14651858.CD015373.pub2","23::overall","CD015373_pub2_data","significance_only",TRUE,FALSE,TRUE,0.507094797797082,0.0444705582103977,-0.505004434958881,1.51919403055305,0.00757194717615613,0.0813691692446392,TRUE,TRUE
