"Analysis.group","Analysis.number","Analysis.name","Subgroup","Subgroup.number","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","Bias.arising.from.the.randomization.process.judgement","Bias.arising.from.the.randomization.process.support","Bias.due.to.deviations.from.intended.interventions.judgement","Bias.due.to.deviations.from.intended.interventions.support","Bias.due.to.missing.outcome.data.judgement","Bias.due.to.missing.outcome.data.support","Bias.in.measurement.of.the.outcome.judgement","Bias.in.measurement.of.the.outcome.support","Bias.in.selection.of.the.reported.result.judgement","Bias.in.selection.of.the.reported.result.support","Overall.bias.judgement","Overall.bias.support","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,3,"Mortality from illness caused by RSV","",NA,"SUBGROUP_AND_OVERALL","Papi 2023",2023,0,0,0,0,0,4991,0,0,0,10033,0,0,NA,NA,NA,NA,NA,"Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","3::overall","CD016131_data","direction_and_significance",FALSE,FALSE,TRUE,-0.0878733196940228,0.044982155106917,-1.17505394340899,0.999307304020942,0.00433465500984514,0.0856296552039889,TRUE,TRUE
1,3,"Mortality from illness caused by RSV","",NA,"SUBGROUP_AND_OVERALL","Wilson 2023",2023,0,0,0,0,0,17734,0,0,0,17679,0,0,NA,NA,NA,NA,NA,"Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","3::overall","CD016131_data","direction_and_significance",FALSE,FALSE,TRUE,-0.0878733196940228,0.044982155106917,-1.17505394340899,0.999307304020942,0.00433465500984514,0.0856296552039889,TRUE,TRUE
1,5,"Serious adverse events (SAEs) related to vaccination","Authorised vaccines",1,"SUBGROUP_AND_OVERALL","Papi 2023",2023,0,0.865251805653604,0,0,2,4991,0,0,4,10033,0,0.748660687186822,38.263461,1.005109,0.184161,5.485648,NA,"Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","5::1","CD016131_data","direction_only",FALSE,FALSE,FALSE,-0.1354563715032,6.55792229365448e-06,-1.03748453937445,0.766571796368055,-0.00047470343786294,0.000487819282450249,TRUE,FALSE
1,5,"Serious adverse events (SAEs) related to vaccination","Authorised vaccines",1,"SUBGROUP_AND_OVERALL","Walsh 2023",2023,0,0,0,0,3,17215,0,0,0,17069,0,0,12.550816,6.940637,0.358539,134.357599,NA,"Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","5::1","CD016131_data","direction_only",FALSE,FALSE,FALSE,-0.1354563715032,6.55792229365448e-06,-1.03748453937445,0.766571796368055,-0.00047470343786294,0.000487819282450249,TRUE,FALSE
1,5,"Serious adverse events (SAEs) related to vaccination","Authorised vaccines",1,"SUBGROUP_AND_OVERALL","Wilson 2023",2023,0,0,0,0,4,17734,0,0,3,17679,0,0,49.185722,1.329198,0.297534,5.938034,NA,"Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","5::1","CD016131_data","direction_only",FALSE,FALSE,FALSE,-0.1354563715032,6.55792229365448e-06,-1.03748453937445,0.766571796368055,-0.00047470343786294,0.000487819282450249,TRUE,FALSE
1,6,"Any unsolicited adverse events (spontaneously reported/ other adverse events)","Authorised vaccines",1,"SUBGROUP_AND_OVERALL","Papi 2023",2023,0,0.040398990426689,0,0,791,4991,0,0,1495,10033,0,0.0016320784274957,21.845668,1.063601,0.982608,1.151269,NA,"Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","6::1","CD016131_data","significance_only",TRUE,TRUE,FALSE,0.0946709977754856,0.00789581181229729,0.0488956796937072,0.140446315857264,-0.00170670359428967,0.0174983272188842,TRUE,TRUE
1,6,"Any unsolicited adverse events (spontaneously reported/ other adverse events)","Authorised vaccines",1,"SUBGROUP_AND_OVERALL","Wilson 2023",2023,0,0,0,0,3624,17734,0,0,3331,17679,0,0,77.02126,1.084587,1.039789,1.131316,NA,"Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","6::1","CD016131_data","significance_only",TRUE,TRUE,FALSE,0.0946709977754856,0.00789581181229729,0.0488956796937072,0.140446315857264,-0.00170670359428967,0.0174983272188842,TRUE,TRUE
2,3,"Mortality from illness caused by RSV","",NA,"SUBGROUP_AND_OVERALL","Falloon 2017",2017,0,0,0,0,0,946,0,0,0,948,0,0,NA,NA,NA,NA,NA,"Some concerns","<p>There is some concern in bias arising from the randomisation process.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Some concerns","<p>There is some concern in bias arising from the randomisation process.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","3::overall","CD016131_data","direction_and_significance",FALSE,FALSE,TRUE,-0.0878733196940228,0.044982155106917,-1.17505394340899,0.999307304020942,0.00433465500984514,0.0856296552039889,TRUE,TRUE
3,2,"Medically attended RSV-associated severe lower respiratory tract illness in infants","Authorised vaccines (RSV prefusion F protein-based vaccine)",1,"SUBGROUP_AND_OVERALL","Kampmann 2023",2023,0,0,0,0,6,3495,0,0,33,3480,0,0,36.815443,0.181038,0.075953,0.431512,NA,"Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","2::1","CD016131_data","significance_only",TRUE,TRUE,FALSE,-1.81644118997276,-0.00986853424070365,-2.62991092928844,-1.00297145065709,-0.0215131196624575,0.00177605118105016,TRUE,FALSE
3,2,"Medically attended RSV-associated severe lower respiratory tract illness in infants","Authorised vaccines (RSV prefusion F protein-based vaccine)",1,"SUBGROUP_AND_OVERALL","Simões 2022",2022,0,0,0,0,1,405,0,0,3,103,0,0,10.149807,0.084774,0.00891,0.806575,NA,"Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","Low risk","<p>No concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD016131/full","10.1002/14651858.CD016131","2::1","CD016131_data","significance_only",TRUE,TRUE,FALSE,-1.81644118997276,-0.00986853424070365,-2.62991092928844,-1.00297145065709,-0.0215131196624575,0.00177605118105016,TRUE,FALSE
