"Analysis.group","Analysis.number","Analysis.name","Subgroup","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,1,"Venous thromboembolism","","SUBGROUP_AND_OVERALL","Gavin 2020",2020,0,0,0,0,1,56,0,0,0,55,0,0,16.925898,2.947368,0.122655,70.824493,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","1::overall","CD013366_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.589822656971029,-0.00504073439379699,-1.1115604989405,-0.0680848150015563,-0.0136937687471917,0.00361229995959769,TRUE,FALSE
1,1,"Venous thromboembolism","","SUBGROUP_AND_OVERALL","Kleidon 2018",2018,0,0,0,0,2,72,0,0,5,74,0,0,66.215719,0.411111,0.082389,2.051384,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","1::overall","CD013366_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.589822656971029,-0.00504073439379699,-1.1115604989405,-0.0680848150015563,-0.0136937687471917,0.00361229995959769,TRUE,FALSE
1,1,"Venous thromboembolism","","SUBGROUP_AND_OVERALL","Pittiruti 2014",2014,0,0,0,0,1,121,0,0,0,59,0,0,16.858384,1.47541,0.06101,35.67991,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","1::overall","CD013366_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.589822656971029,-0.00504073439379699,-1.1115604989405,-0.0680848150015563,-0.0136937687471917,0.00361229995959769,TRUE,FALSE
1,2,"Venous thromboembolism (subgroup analysis - age)","Paediatric patients","SUBGROUP_AND_OVERALL","Kleidon 2018",2018,0,0,0,0,2,72,0,0,5,74,0,0,100,0.411111,0.082389,2.051384,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","2::overall","CD013366_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.164390104397035,0.00436719986323987,-0.383522982617584,0.054742773823513,-0.00629471553811929,0.015029115264599,TRUE,FALSE
1,2,"Venous thromboembolism (subgroup analysis - age)","Adult patients","SUBGROUP_AND_OVERALL","Gavin 2020",2020,0,0,0,0,1,56,0,0,0,55,0,0,50.099919,2.947368,0.122655,70.824493,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","2::overall","CD013366_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.164390104397035,0.00436719986323987,-0.383522982617584,0.054742773823513,-0.00629471553811929,0.015029115264599,TRUE,FALSE
1,2,"Venous thromboembolism (subgroup analysis - age)","Adult patients","SUBGROUP_AND_OVERALL","Pittiruti 2014",2014,0,0,0,0,1,121,0,0,0,59,0,0,49.900081,1.47541,0.06101,35.67991,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","2::overall","CD013366_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.164390104397035,0.00436719986323987,-0.383522982617584,0.054742773823513,-0.00629471553811929,0.015029115264599,TRUE,FALSE
1,4,"PICC-associated BSI","","SUBGROUP_AND_OVERALL","Gavin 2020",2020,0,0,0,0,0,56,0,0,2,55,0,0,100,0.196491,0.009648,4.001818,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","4::overall","CD013366_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.563327910129308,-0.0446085386145543,-1.00176592874205,-0.124889891516566,-0.0919149049530042,0.00269782772389565,TRUE,TRUE
1,4,"PICC-associated BSI","","SUBGROUP_AND_OVERALL","Kleidon 2018",2018,0,0,0,0,0,72,0,0,0,74,0,0,NA,NA,NA,NA,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","4::overall","CD013366_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.563327910129308,-0.0446085386145543,-1.00176592874205,-0.124889891516566,-0.0919149049530042,0.00269782772389565,TRUE,TRUE
1,5,"Occlusion","","SUBGROUP_AND_OVERALL","Gavin 2020",2020,0,0,0,0,3,56,0,0,1,55,0,0,4.498447,2.946429,0.316073,27.466576,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","5::overall","CD013366_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.488718495286161,-0.0328047941112949,-0.897686343480545,-0.079750647091777,-0.0688743211279393,0.00326473290534945,TRUE,TRUE
1,5,"Occlusion","","SUBGROUP_AND_OVERALL","Hoffer 1999",1999,0,0,0,0,2,180,0,0,3,182,0,0,7.09708,0.674074,0.113983,3.986353,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013366.pub2/full","10.1002/14651858.CD013366.pub2","5::overall","CD013366_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.488718495286161,-0.0328047941112949,-0.897686343480545,-0.079750647091777,-0.0688743211279393,0.00326473290534945,TRUE,TRUE
