"Analysis.group","Analysis.number","Analysis.name","Subgroup","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","Bias.arising.from.the.randomization.process.judgement","Bias.arising.from.the.randomization.process.support","Bias.due.to.deviations.from.intended.interventions.judgement","Bias.due.to.deviations.from.intended.interventions.support","Bias.due.to.missing.outcome.data.judgement","Bias.due.to.missing.outcome.data.support","Bias.in.measurement.of.the.outcome.judgement","Bias.in.measurement.of.the.outcome.support","Bias.in.selection.of.the.reported.result.judgement","Bias.in.selection.of.the.reported.result.support","Overall.bias.judgement","Overall.bias.support","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,1,"All-cause death","CKD stages 3-5","SUBGROUP_AND_OVERALL","EXSCEL 2017",2017,0,0,0,0,195,1557,0,0,200,1620,0,0,31.334522,1.014451,0.843471,1.22009,"","Low risk","<p>Quote: ""An interactive voice-response system assigned patients on the basis of computer generated block randomization.""</p>","Low risk","<p>Quote: ""Double blind.""</p>","Low risk","<p>Comment: The rates of non-completers were 262/7356 (3.6%) and 303/7396 (4.1%) for exenatide group and placebo group, respectively. The rate and cause of adverse events leading to discontinuation of study drugs were almost the same between the groups (43.0% and 45.2% for exenatide group and placebo group, respectively). ITT was performed</p>","Low risk","<p>Quote: ""The events which constitute the principal endpoints of this trial will be adjudicated by the Clinical Events Classification Committee (CEC), coordinated through the Duke Clinical Research Institute (DCRI), which will be comprised of approximately 5-7 physicians and a coordinator.""</p>","Low risk","<p>Comment: All outcomes that were planned in the methods were reported in the results.</p>","Low risk","<p>The study is judged to be at <b>low risk of bias</b> for all domains for this result</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
1,1,"All-cause death","CKD stages 3-5","SUBGROUP_AND_OVERALL","LEADER 2017",2017,0,0,0,0,144,1116,0,0,178,1042,0,0,28.107151,0.755346,0.616694,0.925172,"","Low risk","<p>Quote: ""A randomisation session will be carried out for all subjects by using the Interactive Voice/Web Response System.""</p>","Low risk","<p>Quote: ""Double blind.""</p>","Low risk","<p>Comment: overall, 139/4668 (3.0%) of the liraglutide group and 159/4672 (3.4%) of the control group did not complete the study. ITT was performed</p>","Low risk","<p>Quote: ""External Event Adjudication Committees (EAC) will be constituted for the trial to perform ongoing adjudication of the below events in an independent and blinded manner.""</p>","Low risk","<p>Comment: All outcomes that were planned in the methods were reported in the results.</p>","Low risk","<p>The study is judged to be at low risk of bias for all domains<b> </b>for this result</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
1,1,"All-cause death","CKD stages 3-5","SUBGROUP_AND_OVERALL","LIRA-RENAL 2016",2016,0,0,0,0,4,140,0,0,1,137,0,0,0.403621,3.914286,0.443092,34.578897,"","Low risk","<p>Quote: ""Trial patients who met the eligibility criteria at screening were randomised (1:1), using a sponsor-provided telephone- or Web-based randomisation system, to receive (treatment)""</p>","Low risk","<p>Quote: ""Double blind study.""</p>","Low risk","<p>Comment: Discontinuation rates were almost the same between two groups: 35/140 (25%) from the liraglutide group versus 34/137 (24.8%) in the control group. However, the high rate of adverse events in the liraglutide group compared to the control group (13.6% versus 2.9%) might contribute to the attrition bias. ITT was performed.</p>","Some concerns","<p>Comment: No information provided detailing specifically how outcome assessors were kept blind to treatment groups.</p>","Low risk","<p>Comment: All outcomes that were planned in the methods were reported in the results.</p>","Some concerns","<p>The study is judged to raise <b>some concerns </b>in at least one domain for this result, but not to be at high risk of bias for any domain.&nbsp;</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
1,1,"All-cause death","CKD stages 3-5","SUBGROUP_AND_OVERALL","PIONEER 5 2019",2019,0,1.21969416271073,0,0,1,163,0,0,1,161,0,1.48765385055062,0.251444,0.98773,0.062313,15.656611,"","Low risk","<p>Quote: ""Randomisation was done by use of an interactive web-response system, which allocated dispensing unit numbers for each patient. Randomisation was stratified by background glucose-lowering medication (metformin alone, sulphonylurea with or without metformin, or basal insulin with or without metformin) and renal function (eGFR 45–59 mL/min per 1·73 m² [CKD-EPI stage 3A] or 30–44 mL/min per 1·73 m² [stage 3B]; at least 40% of patients had to be at stage 3B at screening).""</p>","Low risk","<p>Comment: Double-blind study. Patients and site staff were masked to assignment, which was maintained by use of visually identical oral semaglutide and placebo tablets.</p>","Low risk","<p>Comment: ITT was performed, however some participants discontinued.</p>","Low risk","<p>Comment: Outcome assessment was undertaken by an independent event adjudication committee and a central laboratory blinded to the participants allocation assessed blood glucose.</p>","Low risk","<p>Comment: All prespecified and key outcomes were reported.</p>","Low risk","<p>The study is judged to be at low risk of bias in at least one domain for this result.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
1,1,"All-cause death","Dialysis (HD/PD)","SUBGROUP_AND_OVERALL","Idorn 2013",2013,0,0,0,0,0,14,0,0,0,10,0,0,NA,NA,NA,NA,"","Low risk","<p>Quote: “Patients and control subjects were assigned to receive either liraglutide or pIacebo according to a computer-generated randomisation list provided by Novo Nordisk”.</p>","Low risk","<p>Quote: “Participants, Investigators, and healthcare staff were blinded for the allocated treatment and remained so until the last patient’s last visit”.</p>","High risk","<p>Comment: &gt;5% lost to follow up with discrepancies between groups.</p>","Some concerns","<p>Comment: Objective and subjective outcomes were reported.</p>","Low risk","<p>Comment: All outcomes that were planned in the methods were reported in the results.</p>","High risk","<p>The study is judged to be <b>at high risk</b> of bias in at least one domain for this result.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
1,1,"All-cause death","All CKD stages","SUBGROUP_AND_OVERALL","Selvarajah 2024a",2024,0,0,0,0,0,45,0,0,0,31,0,0,NA,NA,NA,NA,"","Some concerns","<p>Comment: Study was described as randomised, but a method of randomisation was not reported</p>","Low risk","<p>Quote: ""Double blind.""</p>","Low risk","<p>Comment: All participants completed the study and were included into the analysis.</p>","Some concerns","<p>Comment: Not reported. However, objective and subjective outcomes were reported.</p>","Low risk","<p>Comment: All prespecified and key outcomes were reported.</p>","Some concerns","<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
1,1,"All-cause death","All CKD stages","SUBGROUP_AND_OVERALL","Selvarajah 2024b",2024,0,0,0,0,2,151,0,0,0,20,0,0,0.213171,0.690789,0.034328,13.901029,"","Some concerns","<p>Comment: Study was described as randomised, but a method of randomisation was not reported</p>","Low risk","<p>Quote: ""Double blind.""</p>","Low risk","<p>Comment: All participants completed the study and were included into the analysis.</p>","Some concerns","<p>Comment: Not reported. However, objective and subjective outcomes were reported.</p>","Low risk","<p>Comment: All prespecified and key outcomes were reported.</p>","Some concerns","<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
1,1,"All-cause death","All CKD stages","SUBGROUP_AND_OVERALL","Sivalingam 2024",2024,0,0,0,0,1,30,0,0,1,30,0,0,0.258483,1,0.065532,15.25976,"","Low risk","<p>Quote: ""One person not involved in the study had access to the computer generated random semaglutide/placebo allocation sequence.""</p>","Low risk","<p>Quote: ""Investigators, participants and treating physicians were blinded to treatment allocation.""</p>","Low risk","<p>Quote: ""All participants completed the study and were included into the analysis."" Comment: 54/60 participants were included in the analysis. 28/30 participsnts were included in the interevention group and 26/30 In the control group. However, data were seemed to be reported on the ITT</p>","Some concerns","<p>Comment: Not reported. However, objective and subjective outcomes were reported.</p>","Low risk","<p>Comment: All prespecified and key outcomes were reported.</p>","Some concerns","<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
1,1,"All-cause death","CKD stages 1-2","SUBGROUP_AND_OVERALL","EXSCEL 2017",2017,0,0.0740151983038937,0,0,302,5769,0,0,382,5745,0,0.0054782495799647,39.431608,0.787287,0.680048,0.911437,"","Low risk","<p>Quote: ""An interactive voice-response system assigned patients on the basis of computer generated block randomization.""</p>","Low risk","<p>Quote: ""Double blind.""</p>","Low risk","<p>Comment: The rates of non-completers were 262/7356 (3.6%) and 303/7396 (4.1%) for exenatide group and placebo group, respectively. The rate and cause of adverse events leading to discontinuation of study drugs were almost the same between the groups (43.0% and 45.2% for exenatide group and placebo group, respectively). ITT was performed</p>","Low risk","<p>Quote: ""The events which constitute the principal endpoints of this trial will be adjudicated by the Clinical Events Classification Committee (CEC), coordinated through the Duke Clinical Research Institute (DCRI), which will be comprised of approximately 5-7 physicians and a coordinator.""</p>","Low risk","<p>Comment: All outcomes that were planned in the methods were reported in the results.</p>","Low risk","<p>The study is judged to be at <b>low risk of bias</b> for all domains for this result</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
1,1,"All-cause death","CKD stages 1-2","SUBGROUP_AND_OVERALL","Ma 2024",2024,0,0,0,0,0,40,0,0,0,40,0,0,NA,NA,NA,NA,"","Low risk","<p>Quote: ""Randomization of patients was performed using a computer-generated random number table. […] This randomization process ensures that the allocation of patients to each group is completely random, reducing potential bias and thereby improving the scientific nature and reliability of the study.""</p>","Some concerns","<p>Comment: Not reported. However, participants and/or investigators could be aware of treatment assigned.</p>","Low risk","<p>Comment: All participants completed the study and were included into the analysis.</p>","Some concerns","<p>Comment: Not reported. However, objective and subjective outcomes were reported.</p>","Some concerns","<p>Comment: Prespecified outcomes were reported. However, major clinical outcomes (death, kidney failure and cardiovascular events) were not reported.</p>","Some concerns","<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015849.pub2/full","10.1002/14651858.CD015849.pub2","1::overall","CD015849_pub2_data","significance_only",TRUE,TRUE,FALSE,-0.172262845924745,-0.000476660290895169,-0.287859706818699,-0.056665985030792,-0.00671701488465776,0.00576369430286742,TRUE,TRUE
