"Analysis.group","Analysis.number","Analysis.name","Subgroup","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,2,"Maternal death","","SUBGROUP_AND_OVERALL","Regmi 2010",2012,0,0,0,0,1,43,0,0,0,37,0,0,100,2.590909,0.108714,61.747198,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
2,2,"Perinatal death","Lower dose vs. Pritchard regimen","SUBGROUP_AND_OVERALL","Muhammad 2013",2013,0,0,0,0,9,39,0,0,5,33,0,0,100,1.523077,0.565907,4.099193,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
3,2,"Stillbirth","","SUBGROUP_AND_OVERALL","Bhattacharjee 2011",2011,0,0,0,0,5,67,0,0,6,70,0,0,100,0.870647,0.27885,2.718397,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
4,2,"Severe morbidity: renal failure","Short (12 hours) vs standard (24 hours) IV maintenance regimen","SUBGROUP_AND_OVERALL","Rao 2015",2015,0,0,0,0,0,60,0,0,0,60,0,0,NA,NA,NA,NA,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
5,2,"Perinatal death","","SUBGROUP_AND_OVERALL","Keepanasseril 2018",2018,0,0,0,0,8,201,0,0,11,201,0,0,65.364228,0.727273,0.298813,1.77009,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
5,2,"Perinatal death","","SUBGROUP_AND_OVERALL","Rimal 2017",2017,0,0,0,0,2,30,0,0,8,30,0,0,34.635772,0.25,0.057797,1.081365,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
6,2,"Stillbirth","","SUBGROUP_AND_OVERALL","Chissel 1994",1993,0,0,0,0,0,8,0,0,1,9,0,0,100,0.37037,0.017171,7.988903,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
7,2,"Severe morbidity","Short maintenance regimen for 12 hours","SUBGROUP_AND_OVERALL","Leal 2014",2014,0,0,0,0,0,60,0,0,0,60,0,0,NA,NA,NA,NA,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
7,2,"Severe morbidity","Stop maintenance dose immediately after birth","SUBGROUP_AND_OVERALL","Vigil-De Gracia 2018",2018,0,0,0,0,73,558,0,0,76,555,0,0,100,0.955362,0.708504,1.288232,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
8,2,"Side effects","2g per hour vs 1g per hour maintenance dose","SUBGROUP_AND_OVERALL","Katz 2016",2016,0,0,0,0,22,31,0,0,28,31,0,0,100,0.785714,0.610128,1.011832,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007388.pub3/full","10.1002/14651858.CD007388.pub3","2::overall","CD007388_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.129655697108189,0.000425557881605592,-0.416207684615033,0.156896290398655,-0.0262781732868258,0.0271292890500369,TRUE,TRUE
