"Analysis.group","Analysis.number","Analysis.name","Subgroup","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","Bias.arising.from.the.randomization.process.judgement","Bias.arising.from.the.randomization.process.support","Bias.due.to.deviations.from.intended.interventions.judgement","Bias.due.to.deviations.from.intended.interventions.support","Bias.due.to.missing.outcome.data.judgement","Bias.due.to.missing.outcome.data.support","Bias.in.measurement.of.the.outcome.judgement","Bias.in.measurement.of.the.outcome.support","Bias.in.selection.of.the.reported.result.judgement","Bias.in.selection.of.the.reported.result.support","Overall.bias.judgement","Overall.bias.support","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,2,"Mental state: clinically important change (binary) - 12 months ","","SUBGROUP_AND_OVERALL","Chatterjee 2011",2011,0,0,0,0,85,167,0,0,44,86,0,0,100,0.994829,0.771206,1.283293,"Positive And Negative Syndrome Scale (PANSS) score","Low risk","<p>A random allocation sequence was used.&nbsp; Allocation was concealed until after participant enrolment.&nbsp; There were no substantial differences between arms at baseline.&nbsp;&nbsp;</p>","Low risk","<p>We assumed that an ethical consent to a psychosocial intervention would require participants to be aware of which arm they were assigned to.&nbsp; We also assumed it would require intervention practitioners to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors.&nbsp; No deviation from the intervention was noted.&nbsp; The study does not report fidelity to intervention.&nbsp; Analysis was on an intent-to-treat basis.&nbsp;</p>","Low risk","<p>Data were available for nearly all participants randomised: 167/187 intervention arm, 86/95 control arm (overall 90%).&nbsp;</p>","Low risk","<p>The Positive and Negative Syndrome Scale (PANSS) is used to measure schizophrenia symptoms.&nbsp; This is an appropriate measure for this concept.&nbsp; It is unlikely measurement could vary between arms.&nbsp; This is a clinician rated outcome, therefore we deemed it important in determining&nbsp;risk of bias whether outcome assessors were blinded as to allocation.&nbsp; Outcome assessors were masked as to allocation.</p>","Low risk","<p>Results were produced in line with a pre-specified analysis plan in the form of a protocol paper.&nbsp; The extent to which this was published before unblinded outcome data was available is unknown and likely limited by the nature of psychosocial interventions.&nbsp; We did not deem this to increase risk of bias. Results were not considered to have been selected from multiple eligible analyses of the data.</p>","Low risk","<p>There was a random allocation sequence to which participants and researchers were masked.&nbsp; There was little missing outcome data.&nbsp; An appropriate measure was used and there was masking of assessors.&nbsp; There was a preplaned analysis plan.&nbsp;</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","2::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.26797923241828,-0.0358121693287788,-0.529598927407602,-0.00635953742895717,-0.121613946029057,0.0499896073714992,TRUE,TRUE
1,3,"Psychiatric hospital admissions - 12 months","Number of participants admitted to hospital (up to 12 months)","SUBGROUP_AND_OVERALL","Chatterjee 2011",2011,0,0,0,0,10,167,0,0,1,86,0,0,100,5.149701,0.670211,39.568756,"","Low risk","<p>A random allocation sequence was used.&nbsp; Allocation was concealed until after participant enrolment.&nbsp; There were no substantial differences between arms at baseline.&nbsp;&nbsp;</p>","Low risk","<p>We assumed that an ethical consent to a psychosocial intervention would require participants to be aware of which are they were assigned to.&nbsp; We also assumed it would require intervention practitioners to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors.&nbsp; No deviation from the intervention was noted.&nbsp; The study does not report fidelity to model.&nbsp; Analysis was conducted on an intent-to-treat basis.</p>","Low risk","<p>Follow up data were available from nearly all participants randomised; 167/187 intervention arm, 86/95 control arm (overall 90%).&nbsp; We have assumed this is the same for all outcomes.&nbsp;</p>","Low risk","<p>Count of hospital admissions has been used as one of four indications of severe adverse events.&nbsp; We consider this to be an appropriate measure.&nbsp;Researchers&nbsp;were masked as to allocation.</p>","Low risk","<p>Results were produced in line with a pre-specified analysis plan in the form of a protocol paper.&nbsp; The extent to which this was published before unblinded outcome data was available is unknown and likely limited by the nature of psychosocial interventions.&nbsp; We did not deem this to increase risk of bias. Results were not considered to have been selected from multiple eligible analyses of the data.</p>","Low risk","<p>There was a random allocation sequence, which was concealed from participants.&nbsp; Data were available for nearly all partipants randomised.&nbsp; An appropriate measure was used.&nbsp; Results were produced in line with protocol paper.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","3::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.40710472100089,-0.0473751110394831,-0.730244488314869,-0.0839649536869102,-0.159048293811185,0.0642980717322187,TRUE,TRUE
2,2,"Mental state","Mental state (depressive symptoms) up to 6 months","SUBGROUP_AND_OVERALL","Chwastiak 2018",2018,0,0,0,6.11,0,14,-0.9,5.63,0,15,0,0,17.697163,0.149124,-0.58039,0.878639,"PHQ-9 (Patient Health Questionnaire-9)","Low risk","<p>A stratified&nbsp;random allocation sequence was used.&nbsp; Further detail was not provided, but descriptions of the research roles and timing of tasks suggests that allocation was concealed until after enrolment.&nbsp; The authors reported that there were no significant differences between the arms at baseline.</p>","Low risk","<p>We assumed that an ethical consent to a psychosocial intervention would require participants to be aware of which are they were assigned to.&nbsp; We also assumed it would require intervention practitioners to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors.&nbsp; No deviation from the intervention was noted.&nbsp; This study did not report a quantitative measure of fidelity to intervention.&nbsp; Although not explicitly stated in the study we assumed an intent-to-treat to treat analysis was used.&nbsp;</p>","Some concerns","<p>Data were not available for nearly all participants randomised.&nbsp; However, levels of missingness was similiar across arms (control: 3/17, intervention: 4/18), suggesting the results are not bias by missingness.&nbsp; As mental health state may affect ability to take part in data collection it is likely that any missingness depends on the true value of the outcome, leading to some concerns of risk of bias.&nbsp;&nbsp;</p>","Some concerns","<p>The Brief Psychiatric Rating Scale (BPRS) is used to measure positive and negative psychosis symptoms.&nbsp; This measure is designed to measure general psychiatric symptoms, rather than psychosis or schizophrenia symptoms.&nbsp; However, this latter use is common.&nbsp; Therefore, we decided overall that this is an appropriate measure.&nbsp; This measure is clinician rated.<br>The Patient Health Question-9 (PHQ-9) is a common and appropriate measure for depression symptoms.&nbsp; It is a patient rated measure.&nbsp;</p><p>It is unlikely either measure&nbsp;could vary between arms.&nbsp; It was not reported whether researchers were masked to allocation, if they were not this would&nbsp;increase risk of bias for the clinician rated measure; we considered this to increase risk of bias.&nbsp; For the&nbsp;self-report measure,&nbsp;it will not have been possible to mask the participants completing the measure which increases the risk of social desirability bias.&nbsp; However, to avoid the ethical conundrum of marking down participant rated measures, we did not deem this to increase the risk of bias.</p>","High risk","<p>There was not a pre-specified analysis plan, as this was a feasbility study.&nbsp; We deemed this to increase the risk of bias in this study, and increase the likelihood that results were selected from multiple eligible outcomes.&nbsp; For the depression scale it appears that a later follow-up period has not been reported on all subdomains, suggesting that results are based on multiple eligible analyses of the data.</p>","High risk","<p>There are moderate levels of missingness that may depend on their true value.&nbsp; It is unclear whether those collecting clinician rated data were masked to allocation.&nbsp; It is likely that outcomes and results are selected from multiple eligible analyses.&nbsp;</p><p>&nbsp;</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","2::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.26797923241828,-0.0358121693287788,-0.529598927407602,-0.00635953742895717,-0.121613946029057,0.0499896073714992,TRUE,TRUE
2,2,"Mental state","Mental state (depressive symptoms) up to 6 months","SUBGROUP_AND_OVERALL","Kilbourne 2012",2012,0,0,6.4,6,0,32,9,6.3,0,33,0,0,26.053165,-0.417426,-0.909294,0.074443,"Internal State Scale (ISS)","Low risk","<p>The study used a random allocation sequence.&nbsp; The description of the job roles and tasks suggests that allocation was concealed prior to consent.&nbsp; There were no substantial differences between the arms at baseline.&nbsp;&nbsp;</p>","Low risk","<p>We assumed that an ethical consent to a psychosocial intervention would require participants to be aware of which are they were assigned to.&nbsp; We also assumed it would require intervention practitioners to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors. No deviation from the intervention was noted.&nbsp; Fidelity score of 79%.&nbsp; The authors do not state if the analysis is on an intent to treat basis, but the reviewers have assumed this to be the case.</p>","Low risk","<p>Data were available for nearly all participants randomised.&nbsp;&nbsp;</p>","Low risk","<p>The Internal State Scale (ISS) is used to measure bipolar symptoms (both mania and depression).&nbsp; The reviewers consider this to be an appropriate measure of this concept.&nbsp;It is unlikely measurement could vary between arms.&nbsp; It was not reported whether researchers were masked to allocation.&nbsp; However, this is a self-report measure, and, as mentioned above, it will not have been possible to mask the participants; we did not consider this to increase risk of bias.</p>","Some concerns","<p>This study did not have a pre-published analysis plan.&nbsp; This was a feasibility study and its authors mention that testing analysis options as one of the aims of the study.&nbsp; We considered this to still increase the risk of bias in the result as it possible the published result was selected from multiple eligible analyses of the data.&nbsp;</p>","Some concerns","<p>Results were not produced in line with a pre-specified analysis plan.&nbsp; Therefore, there is a risk of published results having been selected by the authors.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","2::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.26797923241828,-0.0358121693287788,-0.529598927407602,-0.00635953742895717,-0.121613946029057,0.0499896073714992,TRUE,TRUE
2,2,"Mental state","Mental state (depressive symptoms) up to 6 months","SUBGROUP_AND_OVERALL","Kilbourne 2013",NA,0,0,52.3,43.4,0,35,75.5,53.9,0,36,0,0,26.892756,-0.468227,-0.940183,0.003729,"Internal State Scale (ISS)","Low risk","<p>The study used a random allocation sequence.&nbsp; The description of the job roles and tasks suggests that allocation was concealed prior to consent.&nbsp; There were no substantial differences between the arms at baseline.&nbsp;&nbsp;</p>","Low risk","<p>We assumed that an ethical consent to a psychosocial intervention would require participants to be aware of which are they were assigned to.&nbsp; We also assumed it would require intervention practitioners to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors. No deviation from the intervention was noted.&nbsp;&nbsp;Fidelity score of 68%.&nbsp; The authors do not state if the analysis is on an intent to treat basis, but the reviewers have assumed this to be the case.</p>","Some concerns","<p>&nbsp;The study did not report if missingness was different for different outcomes. High drop out rates were recorded at months 12 and 24 (71 and 75 of 118 randomised participants, respectively), leading to missing outcome data. Drop outs were similar across both arms, minimising the impact of this missingness.&nbsp;The study did not report drop outs at month 6, and the authors could not provide this information.&nbsp; We did not mark down further for this missing drop out data, as we have conservatively utilised the number of participants from the 12 month time point.&nbsp;</p>","Low risk","<p>ISS was used to capture bipolar depression and mania symptoms: we consider this to be an appropriate measure.&nbsp; It is unlikely measurement could vary between arms.&nbsp; Researchers were not masked to allocation.&nbsp; However, this is a self-report measure, and we considered the participants to be the primary data collector in this instance.&nbsp; As mentioned above, it will not have been possible to mask the participants; we do not consider this to increase risk of bias.</p>","Low risk","<p>Results were published inline with a pre-specified analysis plan.&nbsp; It was unclear to whether these were published before unmasked outcome data was available.&nbsp; We did not consider that results had been selected from multiple eligible analyses of the data.</p>","Some concerns","<p>High drop out rates across both arms have led to missing data.&nbsp;&nbsp;</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","2::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.26797923241828,-0.0358121693287788,-0.529598927407602,-0.00635953742895717,-0.121613946029057,0.0499896073714992,TRUE,TRUE
2,2,"Mental state","Mental state (depressive symptoms) up to 6 months","SUBGROUP_AND_OVERALL","van der Voort 2015",NA,0,0,9.8,5.9,0,37,8.3,5.3,0,57,0,0,29.356916,0.268423,-0.147214,0.684059,"Quick Inventory for Depressive Symptomatology (QIDS)","High risk","<p>Allocation was not concealed from potential participants, recruiting researchers or intervention practitioners prior to consent.&nbsp; There were substantial differences at baseline across arms, which the study authors suggest was due to the lack of concealment.&nbsp;&nbsp;This study was cluster-randomised: individual participants were not identified before clusters were allocated, and the clinician responsible for identifying eligible participants was aware of allocation.&nbsp; We consider this to create a high risk of bias.</p>","Some concerns","<p>We assumed that an ethical consent to a psychosocial intervention would require participant to be aware of which arm they were assigned to.&nbsp; We also assumed it would be necessary for intervention practitioner to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors.&nbsp; The study authors note several deviations from the intended intervention in the intervention arm, increasing risk of bias.&nbsp; It is unclear whether these were due to the research context.&nbsp; Analysis was conducted on an intent-to-treat basis.</p>","High risk","<p>Data were not available for all randomised participants, and drop out varied across arms.&nbsp; 26 of 71 participants randomised to the intervention dropped out.&nbsp; 10 participants dropped out of the control arm; inconsistent reporting makes it difficult to ascertain whether 80 or 82 participants were allocated to this arm.&nbsp; A large number of the drop outs are due to 2 clusters withdrawing from the intervention arm.&nbsp; This suggests that missing data may be due to difficulties implementing the intervention and therefore missingness may be related to true value; increasing risk of bias.</p>","Low risk","<p>Depression was measured using the Quick Inventory of Depression Symptomatology (QIDS), and mania was measured using Altman Self-rating Mania Scale (ASRMS).&nbsp; We considered both of these to be appropriate measures.&nbsp; Researchers were masked to allocation.&nbsp; However, these are both self-report measures, and, as mentioned above, it will not have been possible to mask participants; we did not consider this to increase risk of bias.&nbsp;&nbsp;</p>","High risk","<p>There is a pre-published analysis plan.&nbsp; It is unclear whether this was published before unmasked results were not available.&nbsp; However. the lack of masking of the majority of the study team suggests it was not.&nbsp; In the protocol paper it is unclear which outcome was intended to be the primary outcome of the study and some outcomes are missing from the published results (brief symptom inventory and clinical global impression for bipolar disorder). We&nbsp;judged this to mean results may have been selected from multiple eligible analyses.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>","High risk","<p>Allocation was not concealed prior to recruitment.&nbsp; There were baseline data imbalances.&nbsp; There were deviations from the intended intervention.&nbsp; There were high drop out rates, with concern that missingness may reflect true data value.&nbsp; The published results inconsistent with pre-specified analysis plan.&nbsp;&nbsp;</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","2::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.26797923241828,-0.0358121693287788,-0.529598927407602,-0.00635953742895717,-0.121613946029057,0.0499896073714992,TRUE,TRUE
2,2,"Mental state","Mental state (depressive symptoms) more than 12 months","SUBGROUP_AND_OVERALL","Kilbourne 2013",NA,0,0,50.6,46.4,0,35,60.3,55.9,0,40,0,0,100,-0.185712,-0.640382,0.268958,"Internal State Scale (ISS)","Low risk","<p>The study used a random allocation sequence.&nbsp; The description of the job roles and tasks suggests that allocation was concealed prior to consent.&nbsp; There were no substantial differences between the arms at baseline.&nbsp;&nbsp;</p>","Low risk","<p>We assumed that an ethical consent to a psychosocial intervention would require participants to be aware of which are they were assigned to.&nbsp; We also assumed it would require intervention practitioners to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors. No deviation from the intervention was noted.&nbsp;&nbsp;Fidelity score of 68%.&nbsp; The authors do not state if the analysis is on an intent to treat basis, but the reviewers have assumed this to be the case.</p>","Some concerns","<p>&nbsp;The study did not report if missingness was different for different outcomes. High drop out rates were recorded at months 12 and 24 (71 and 75 of 118 randomised participants, respectively), leading to missing outcome data. Drop outs were similar across both arms, minimising the impact of this missingness.&nbsp;The study did not report drop outs at month 6, and the authors could not provide this information.&nbsp; We did not mark down further for this missing drop out data, as we have conservatively utilised the number of participants from the 12 month time point.&nbsp;</p>","Low risk","<p>ISS was used to capture bipolar depression and mania symptoms: we consider this to be an appropriate measure.&nbsp; It is unlikely measurement could vary between arms.&nbsp; Researchers were not masked to allocation.&nbsp; However, this is a self-report measure, and we considered the participants to be the primary data collector in this instance.&nbsp; As mentioned above, it will not have been possible to mask the participants; we do not consider this to increase risk of bias.</p>","Low risk","<p>Results were published inline with a pre-specified analysis plan.&nbsp; It was unclear to whether these were published before unmasked outcome data was available.&nbsp; We did not consider that results had been selected from multiple eligible analyses of the data.</p>","Some concerns","<p>High drop out rates across both arms have led to missing data.&nbsp;&nbsp;</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","2::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.26797923241828,-0.0358121693287788,-0.529598927407602,-0.00635953742895717,-0.121613946029057,0.0499896073714992,TRUE,TRUE
2,2,"Mental state","Mental state (manic symptoms) more than 12 months","SUBGROUP_AND_OVERALL","Kilbourne 2013",NA,0,0,148.9,120.9,0,35,193.9,125.9,0,40,0,0,100,-0.360335,-0.81783,0.097161,"Internal State Scale (ISS), 24 months follow-up","Low risk","<p>The study used a random allocation sequence.&nbsp; The description of the job roles and tasks suggests that allocation was concealed prior to consent.&nbsp; There were no substantial differences between the arms at baseline.&nbsp;&nbsp;</p>","Low risk","<p>We assumed that an ethical consent to a psychosocial intervention would require participants to be aware of which are they were assigned to.&nbsp; We also assumed it would require intervention practitioners to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors. No deviation from the intervention was noted.&nbsp;&nbsp;Fidelity score of 68%.&nbsp; The authors do not state if the analysis is on an intent to treat basis, but the reviewers have assumed this to be the case.</p>","Some concerns","<p>&nbsp;The study did not report if missingness was different for different outcomes. High drop out rates were recorded at months 12 and 24 (71 and 75 of 118 randomised participants, respectively), leading to missing outcome data. Drop outs were similar across both arms, minimising the impact of this missingness.&nbsp;The study did not report drop outs at month 6, and the authors could not provide this information.&nbsp; We did not mark down further for this missing drop out data, as we have conservatively utilised the number of participants from the 12 month time point.&nbsp;</p>","Low risk","<p>ISS was used to capture bipolar depression and mania symptoms: we consider this to be an appropriate measure.&nbsp; It is unlikely measurement could vary between arms.&nbsp; Researchers were not masked to allocation.&nbsp; However, this is a self-report measure, and we considered the participants to be the primary data collector in this instance.&nbsp; As mentioned above, it will not have been possible to mask the participants; we do not consider this to increase risk of bias.</p>","Low risk","<p>Results were published inline with a pre-specified analysis plan.&nbsp; It was unclear to whether these were published before unmasked outcome data was available.&nbsp; We did not consider that results had been selected from multiple eligible analyses of the data.</p>","Some concerns","<p>High drop out rates across both arms have led to missing data.&nbsp;&nbsp;</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","2::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.26797923241828,-0.0358121693287788,-0.529598927407602,-0.00635953742895717,-0.121613946029057,0.0499896073714992,TRUE,TRUE
2,2,"Mental state","Mental state (negative symptoms) 12 months","SUBGROUP_AND_OVERALL","Chatterjee 2011",2011,0,0,19.59,6.95,0,167,20.13,6.11,0,86,0,0,100,-0.080628,-0.340861,0.179604,"PANSS negative subscale","Low risk","<p>A random allocation sequence was used.&nbsp; Allocation was concealed until after participant enrolment.&nbsp; There were no substantial differences between arms at baseline.&nbsp;&nbsp;</p>","Low risk","<p>We assumed that an ethical consent to a psychosocial intervention would require participants to be aware of which are they were assigned to.&nbsp; We also assumed it would require intervention practitioners to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors.&nbsp; No deviation from the intervention was noted.&nbsp;&nbsp;</p>","Low risk","<p>Data were available for nearly all participants randomised: 167/187 intervention arm, 86/95 control arm.&nbsp;</p>","Low risk","<p>The Positive and Negative Syndrome Scale (PANSS) is used to measure schizophrenia symptoms.&nbsp; This is an appropriate measure for this concept.&nbsp; It is unlikely measurement could vary between arms.&nbsp; This is a clinician rated outcome, therefore we deemed it important in determining&nbsp;risk of bias whether outcome assessors were blinded as to allocation.&nbsp; Outcome assessors were masked as to allocation.</p>","Low risk","<p>Results were produced in line with a pre-specified analysis plan in the form of a protocol paper.&nbsp; The extent to which this was published before unblinded outcome data was available is unknown and likely limited by the nature of psychosocial interventions.&nbsp; We did not deem this to increase risk of bias. Results were not considered to have been selected from multiple eligible analyses of the data.</p><p>&nbsp;</p>","Low risk","<p>A random allocation sequence was used.&nbsp; No deviation from intervention was noted.&nbsp; Data from nearly all participants were available.&nbsp; The measure was appropriate and assessors were masked to allocation.&nbsp; Results were produced in line with a pre-specified analysis plan.&nbsp;</p><p>&nbsp;</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","2::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.26797923241828,-0.0358121693287788,-0.529598927407602,-0.00635953742895717,-0.121613946029057,0.0499896073714992,TRUE,TRUE
2,2,"Mental state","Mental state (negative symptoms) 6 months","SUBGROUP_AND_OVERALL","Salman 2014",2014,0,0,-2.3,7.63,0,41,0,9.64,0,39,0,0,100,-0.262795,-0.703178,0.177588,"PANSS negative subscale (change from baseline)","Some concerns","<p>The study uses a random allocation sequence.&nbsp; There was no detail as to allocation concealment, leading to a judgement of some concerns.&nbsp;There were no substantial differences between the arms at baseline.&nbsp; This lead to some concerns of risk of bias.</p>","Some concerns","<p>We assumed that an ethical consent to a psychosocial intervention would require participants to be aware of which are they were assigned to.&nbsp; We also assumed it would require intervention practitioners to be aware of allocation.&nbsp; We did not mark risk of bias based on these factors. However, this study was described by the authors as double blinded, even though informed consent was taken.&nbsp; This lead to a judgement of some concerns.&nbsp; No deviation from the intervention was noted.&nbsp; This study did not report a quantitative measure of fidelity.&nbsp; Although not explicitly stated in the study we assume an intent-to-treat analysis was used.</p>","Some concerns","<p>&nbsp;The study does not break down drop outs by outcome. &nbsp;Data were not available for all participants randomised: 16 of 96 participants dropped out.&nbsp; Although drop outs were similiar across arms there is no evidence that the results were not biased by this missingness and the state of a person's quality of life is likely to be related to whether or not they attend a research data collection point.&nbsp; We deemed this to increase risk of bias.</p>","Some concerns","<p>The Positive and Negative Syndrome Scale (PANSS) was used to measure schizophrenia symptoms.&nbsp; This is an appropriate measure for this concept.&nbsp; It is unlikely measurement could vary between arms.&nbsp; As this is a clinician rated measure we deemed it important that assessors were masked as to allocation.&nbsp; The study authors describe the study as 'double blinded', which we think is unlikely if informed consent was received.&nbsp; However, we assumed that&nbsp;researchers were masked to allocation. &nbsp;Lack of clarity on masking led to an assessment of some concerns of risk of bias.</p>","High risk","<p>We could not find a pre-published analysis plan.&nbsp; &nbsp;We considered this to increase the risk of bias in the result as it possible the published result was selected from multiple eligible analyses of the data.&nbsp;</p>","High risk","<p>There was no detail on allocation concealment at consent.&nbsp; There is confusion over ongoing masking.&nbsp; There were moderate drop out rates and a likelihood missingness affected the result.&nbsp; There was no pre-published analysis plan.</p><p>&nbsp;</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009531.pub3/full","10.1002/14651858.CD009531.pub3","2::overall","CD009531_pub3_data","significance_only",TRUE,TRUE,FALSE,-0.26797923241828,-0.0358121693287788,-0.529598927407602,-0.00635953742895717,-0.121613946029057,0.0499896073714992,TRUE,TRUE
