"Analysis.group","Analysis.number","Analysis.name","Subgroup","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,1,"Irritability","Aripiprazole vs placebo","SUBGROUP_AND_OVERALL","Ichikawa 2017",2017,0,0,-11.4,1.3,0,47,-7.5,1.4,0,45,0,0,6.784261,-2.865141,-3.453487,-2.276795,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
1,1,"Irritability","Aripiprazole vs placebo","SUBGROUP_AND_OVERALL","Marcus 2009",2009,0,0,-14.4,9.54,0,53,-8.4,9.73,0,16,0,0,6.870173,-0.619083,-1.188193,-0.049972,"15mg/day aripiprazole","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
1,1,"Irritability","Aripiprazole vs placebo","SUBGROUP_AND_OVERALL","Marcus 2009",2009,0,0,-13.2,9.6,0,59,-8.4,9.73,0,17,0,0,6.974576,-0.493463,-1.038961,0.052035,"10mg/day aripiprazole","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
1,1,"Irritability","Aripiprazole vs placebo","SUBGROUP_AND_OVERALL","Marcus 2009",2009,0,0,-12.4,9.81,0,52,-8.4,9.73,0,16,0,0,6.889889,-0.403842,-0.968515,0.160831,"5mg/day aripiprazole","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
1,1,"Irritability","Aripiprazole vs placebo","SUBGROUP_AND_OVERALL","NCT00198107",NA,0,0,18.6,8.52,0,38,25.5,8.6,0,40,0,0,7.329776,-0.797987,-1.260202,-0.335772,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
1,1,"Irritability","Aripiprazole vs placebo","SUBGROUP_AND_OVERALL","NCT00468130",2007,0,0,6.83,6.87,0,7,8.67,10.69,0,6,0,0,4.590488,-0.194193,-1.288276,0.89989,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
1,1,"Irritability","Aripiprazole vs placebo","SUBGROUP_AND_OVERALL","Owen 2009",2009,0,0.212389382625055,-12.9,9.77,0,46,-5,10.11,0,50,0,0.0451092498518522,7.513784,-0.787722,-1.203998,-0.371447,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
1,1,"Irritability","Risperidone vs placebo","SUBGROUP_AND_OVERALL","Kent 2013",2013,0,0,-12.4,6.52,0,29,-3.5,10.67,0,34,0,0,7.060751,-0.976058,-1.501825,-0.450291,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
1,1,"Irritability","Risperidone vs placebo","SUBGROUP_AND_OVERALL","McCracken 2002",2002,0,0,11.3,7.4,0,49,21.9,9.5,0,51,0,0,7.463664,-1.232239,-1.661285,-0.803193,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
1,1,"Irritability","Risperidone vs placebo","SUBGROUP_AND_OVERALL","McDougle 1998",1998,0,0,0.35,0.37,0,14,0.82,0.57,0,16,0,0,5.998589,-0.938129,-1.699277,-0.17698,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013232.pub2/full","10.1002/14651858.CD013232.pub2","1::overall","CD013232_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.0141185523737285,0.0635466340408015,-0.443745705763491,0.415508601016034,-0.0201626799705496,0.147255948052152,TRUE,TRUE
