"Analysis.group","Analysis.number","Analysis.name","Subgroup","Subgroup.number","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,3,"Moderate to severe CP among surviving infants","BW <1000g",1,"SUBGROUP_AND_OVERALL","Blakely 2021",2021,0,0,0,0,31,109,0,0,17,101,0,0,100,1.689692,0.998611,2.859032,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","3::1","CD006182_pub3_data","significance_only",TRUE,FALSE,TRUE,0.324646105382712,0.0224495302098105,-0.0160706105451358,0.66536282131056,0.000259839463296861,0.0446392209563241,TRUE,FALSE
1,5,"Mortality before 18 to 24 months","BW <1000g",1,"SUBGROUP_AND_OVERALL","Blakely 2021",2021,0,0,0,0,48,162,0,0,41,146,0,0,100,1.055104,0.742248,1.499827,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","5::1","CD006182_pub3_data","direction_only",FALSE,FALSE,FALSE,0.0776560249690618,-0.0042292727017977,-0.281656161188047,0.43696821112617,-0.051794507423982,0.0433359620203866,FALSE,FALSE
2,3,"Mortality within 6 months of primary procedure","BW <1000g",1,"SUBGROUP_AND_OVERALL","Blakely 2021",2021,0,0,0,0,40,162,0,0,38,148,0,0,76.275856,0.961663,0.655017,1.411867,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","3::1","CD006182_pub3_data","significance_only",TRUE,FALSE,TRUE,0.324646105382712,0.0224495302098105,-0.0160706105451358,0.66536282131056,0.000259839463296861,0.0446392209563241,TRUE,FALSE
2,3,"Mortality within 6 months of primary procedure","BW <1000g",1,"SUBGROUP_AND_OVERALL","Rees 2008",2008,0,0,0,0,17,35,0,0,12,33,0,0,23.724144,1.335714,0.758696,2.351577,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","3::1","CD006182_pub3_data","significance_only",TRUE,FALSE,TRUE,0.324646105382712,0.0224495302098105,-0.0160706105451358,0.66536282131056,0.000259839463296861,0.0446392209563241,TRUE,FALSE
5,3,"Intestinal fistula ","BW <1000g",1,"SUBGROUP_AND_OVERALL","Blakely 2021",2021,0,0,0,0,4,162,0,0,1,148,0,0,30.260468,3.654321,0.413113,32.325426,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","3::1","CD006182_pub3_data","significance_only",TRUE,FALSE,TRUE,0.324646105382712,0.0224495302098105,-0.0160706105451358,0.66536282131056,0.000259839463296861,0.0446392209563241,TRUE,FALSE
5,3,"Intestinal fistula ","BW <1000g",1,"SUBGROUP_AND_OVERALL","Moss 2006",2006,0,0,0,0,1,45,0,0,1,45,0,0,28.952917,1,0.064516,15.499949,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","3::1","CD006182_pub3_data","significance_only",TRUE,FALSE,TRUE,0.324646105382712,0.0224495302098105,-0.0160706105451358,0.66536282131056,0.000259839463296861,0.0446392209563241,TRUE,FALSE
5,3,"Intestinal fistula ","BW <1000g",1,"SUBGROUP_AND_OVERALL","Rees 2008",2008,0,0,0,0,4,35,0,0,1,33,0,0,29.804474,3.771429,0.444136,32.025518,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","3::1","CD006182_pub3_data","significance_only",TRUE,FALSE,TRUE,0.324646105382712,0.0224495302098105,-0.0160706105451358,0.66536282131056,0.000259839463296861,0.0446392209563241,TRUE,FALSE
5,5,"Wound dehiscence","BW <1000g",1,"SUBGROUP_AND_OVERALL","Blakely 2021",2021,0,0,0,0,8,162,0,0,11,146,0,0,100,0.655443,0.271099,1.58468,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","5::1","CD006182_pub3_data","direction_only",FALSE,FALSE,FALSE,0.0776560249690618,-0.0042292727017977,-0.281656161188047,0.43696821112617,-0.051794507423982,0.0433359620203866,FALSE,FALSE
5,7,"Sepsis","BW <1000g",1,"SUBGROUP_AND_OVERALL","Blakely 2021",2021,0,0,0,0,34,160,0,0,23,146,0,0,100,1.348913,0.835309,2.178316,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","7::1","CD006182_pub3_data","significance_only",TRUE,FALSE,TRUE,0.66199191682282,0.0392967083475815,-0.640794869550294,1.96477870319593,0.00660762506879956,0.0719857916263635,TRUE,FALSE
6,3,"Need for TPN for more than 3 months after the primary procedure among survivors","BW <1000g",1,"SUBGROUP_AND_OVERALL","Moss 2006",2006,0,0,0,0,15,29,0,0,12,30,0,0,69.840745,1.293103,0.737247,2.268054,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006182.pub3/full","10.1002/14651858.CD006182.pub3","3::1","CD006182_pub3_data","significance_only",TRUE,FALSE,TRUE,0.324646105382712,0.0224495302098105,-0.0160706105451358,0.66536282131056,0.000259839463296861,0.0446392209563241,TRUE,FALSE
