"Analysis.group","Analysis.number","Analysis.name","Subgroup","Subgroup.number","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
2,1,"Bladder function ","Urinary tract infections ",1,"SUBGROUP_AND_OVERALL","Aslam 2020",2020,0,0,0,0,0,32,0,0,2,32,0,0,2.641458,0.187692,0.008658,4.068821,"Control was IDC removal overnight and experimental arm was immediate IDC removal ","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
2,1,"Bladder function ","Urinary tract infections ",1,"SUBGROUP_AND_OVERALL","Bray 2017",2017,0,0,0,0,5,31,0,0,15,29,0,0,17.281274,0.179487,0.053914,0.59754,"Control was SPC and experimental arm was immediate IDC removal ","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
2,1,"Bladder function ","Urinary tract infections ",1,"SUBGROUP_AND_OVERALL","Carter-Brooks 2018",2018,0,0,0,0,0,27,0,0,3,30,0,0,2.759187,0.142857,0.007042,2.898083,"Control was IDC removal 6am next day while experimental arm was IDC removal at 4 hours post-operatively ","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
2,1,"Bladder function ","Urinary tract infections ",1,"SUBGROUP_AND_OVERALL","Rajan 2017",2017,0,0,0,0,26,100,0,0,26,100,0,0,62.601002,1,0.531571,1.881215,"Control is IDC removal at 24 hours and experimental arm is IDC removal at 3 hours ","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
3,1,"Adverse events ","Bladder injury ",1,"SUBGROUP_AND_OVERALL","Fernandez-Gonzalez 2019",2019,0,0,0,0,0,37,0,0,0,40,0,0,NA,NA,NA,NA,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
5,1,"Awareness of prolapse  ","Awareness of Prolapse",1,"SUBGROUP_AND_OVERALL","Ballard 2014",2015,0,0,0,0,61,72,0,0,66,73,0,0,100,0.588154,0.214314,1.614103,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
7,1,"Perioperative outcomes ","Operating time (mins) ",1,"SUBGROUP_AND_OVERALL","Nimodia 2021",2021,0,0,128.57,9.4,0,35,133.6,10.3,0,35,0,0,100,-5.03,-9.649745,-0.410255,"vasopressin versus saline","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
8,1,"Bladder function ","Urinary tract infections ",1,"SUBGROUP_AND_OVERALL","Rockefeller 2021",2021,0,0.680948218435496,0,0,7,55,0,0,10,51,0,0.463690476190476,100,0.649091,0.267205,1.576765,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
11,1,"Bladder function ","Urinary tract infections ",1,"SUBGROUP_AND_OVERALL","Letouzey 2017",2017,0,0,0,0,29,108,0,0,24,96,0,0,96.213808,1.074074,0.674145,1.711256,"UTI=bacteriuria, cranberry versus placebo","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
11,1,"Bladder function ","Urinary tract infections ",1,"SUBGROUP_AND_OVERALL","Russo 2020",2020,0,0,0,0,1,20,0,0,1,20,0,0,3.786192,1,0.067096,14.903915,"cranberry, D-Manose and anti-inflammatory versus no treatment at 2 weeks","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013105.pub2/full","10.1002/14651858.CD013105.pub2","1::1","CD013105_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.434231168066537,-0.0479553025040729,-0.890795677517514,0.02233334138444,-0.0824136723705559,-0.01349693263759,TRUE,TRUE
