"dataset","source","term"
"CD000028_pub4_data","Analysis.group","1"
"CD000028_pub4_data","Analysis.group","2"
"CD000028_pub4_data","Analysis.group","3"
"CD000028_pub4_data","Analysis.name","All-cause mortality"
"CD000028_pub4_data","Analysis.name","Cause of cardiovascular mortality"
"CD000028_pub4_data","Analysis.name","Cardiovascular mortality and morbidity"
"CD000028_pub4_data","Analysis.name","Cerebrovascular mortality and morbidity"
"CD000028_pub4_data","Analysis.name","Coronary heart disease mortality and morbidity"
"CD000028_pub4_data","Analysis.name","Withdrawal due to adverse effects"
"CD000028_pub4_data","Analysis.name","Cardiovascular morbidity and mortality"
"CD000028_pub4_data","Analysis.name","Cerebrovascular morbidity and mortality"
"CD000028_pub4_data","Analysis.name","Coronary heart disease morbidity and mortality"
"CD000028_pub4_data","Analysis.name","Withdrawal due to adverse effects 60 years or older"
"CD000028_pub4_data","Subgroup","Fatal stroke"
"CD000028_pub4_data","Subgroup","Fatal CHD"
"CD000028_pub4_data","Subgroup","60 to 79 years old"
"CD000028_pub4_data","Subgroup","80 years or older"
"CD000143_pub2_data","Analysis.group","1"
"CD000143_pub2_data","Analysis.group","2"
"CD000143_pub2_data","Analysis.group","3"
"CD000143_pub2_data","Analysis.group","4"
"CD000143_pub2_data","Analysis.group","5"
"CD000143_pub2_data","Analysis.name","Extubation failure"
"CD000143_pub2_data","Analysis.name","Endotracheal reintubation"
"CD000143_pub2_data","Analysis.name","Bronchopulmonary dysplasia "
"CD000143_pub2_data","Analysis.name","Oxygen dependency at 28 days"
"CD000143_pub2_data","Analysis.name","Combined outcome of bronchopulmonary dysplasia and mortality"
"CD000143_pub2_data","Analysis.name","Mortality at any time up to 28 days or discharge from hospital"
"CD000143_pub2_data","Analysis.name","Intraventricular haemorrhage"
"CD000143_pub2_data","Analysis.name","Retinopathy of prematurity"
"CD000143_pub2_data","Subgroup","CPAP level ≥ 7 cm H2O "
"CD000143_pub2_data","Subgroup","CPAP level < 7 cm H2O"
"CD000143_pub2_data","Subgroup","Birthweight ≤ 1000g"
"CD000143_pub2_data","Subgroup","Birthweight > 1500g"
